trade_date,AUD,BRL,CAD,CHF,CLP,CNH,CNY,COP,CZK,DKK,EUR,GBP,HKD,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RUB,SAR,SEK,SGD,THB,TRY,TWD,ZAR
2007-02-28,0.7879,,,,,,,,,,1.3231,1.9636,,,,,,,,,,,,0.7016,,,,,,,,,,
2007-03-01,0.7853,,,,,,,,,,1.3197,1.9604,,,,,,,,,,,,0.6935,,,,,,,,,,
2007-03-02,0.7821,,,,,,,,,,1.3191,1.9433,,,,,,,,,,,,0.6887,,,,,,,,,,
2007-03-05,0.7705,,,,,,,,,,1.3099,1.9224,,,,,,,,,,,,0.6756,,,,,,,,,,
2007-03-06,0.7746,,,,,,,,,,1.312,1.9292,,,,,,,,,,,,0.682,,,,,,,,,,
2007-03-07,0.7794,,,,,,,,,,1.3184,1.9339,,,,,,,,,,,,0.6851,,,,,,,,,,
2007-03-08,0.7768,,,,,,,,,,1.3135,1.9294,,,,,,,,,,,,0.6843,,,,,,,,,,
2007-03-09,0.7797,,,,,,,,,,1.3115,1.9317,,,,,,,,,,,,0.6899,,,,,,,,,,
2007-03-12,0.7852,,,,,,,,,,1.3188,1.9317,,,,,,,,,,,,0.6954,,,,,,,,,,
2007-03-13,0.784,,,,,,,,,,1.3196,1.9304,,,,,,,,,,,,0.6914,,,,,,,,,,
2007-03-14,0.7847,,,,,,,,,,1.3228,1.9352,,,,,,,,,,,,0.6911,,,,,,,,,,
2007-03-15,0.7895,,,,,,,,,,1.3234,1.9364,,,,,,,,,,,,0.6958,,,,,,,,,,
2007-03-16,0.796,,,,,,,,,,1.331,1.942,,,,,,,,,,,,0.6981,,,,,,,,,,
2007-03-19,0.7992,,,,,,,,,,1.33,1.9443,,,,,,,,,,,,0.7015,,,,,,,,,,
2007-03-20,0.8027,,,,,,,,,,1.3308,1.9609,,,,,,,,,,,,0.706,,,,,,,,,,
2007-03-21,0.808,,,,,,,,,,1.3381,1.9688,,,,,,,,,,,,0.7105,,,,,,,,,,
2007-03-22,0.8066,,,,,,,,,,1.3333,1.965,,,,,,,,,,,,0.7121,,,,,,,,,,
2007-03-23,0.8057,,,,,,,,,,1.3289,1.9613,,,,,,,,,,,,0.7121,,,,,,,,,,
2007-03-26,0.8104,,,,,,,,,,1.333,1.9699,,,,,,,,,,,,0.7169,,,,,,,,,,
2007-03-27,0.8082,,,,,,,,,,1.3345,1.9656,,,,,,,,,,,,0.7179,,,,,,,,,,
2007-03-28,0.8052,,,,,,,,,,1.3322,1.9619,,,,,,,,,,,,0.7095,,,,,,,,,,
