market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
42,198703,1900-01-01 00:00:00,1987-03-09 00:00:00,1900-01-01 17:35:00,1987-03-09 17:35:00,-1,198706,,,0.679,0.662,,-0.017,,0.974963181149,1,0,-0.6002,1,0.47082534123
42,198706,1987-03-09 00:00:00,1987-06-08 00:00:00,1987-03-09 17:35:00,1987-06-08 17:35:00,198703,198709,0.679,0.662,0.714,0.703,0.017,-0.011,1.02567975831,0.984593837535,1,0.017,-0.5832,1.02567975831,0.482916022199
42,198709,1987-06-08 00:00:00,1987-09-04 00:00:00,1987-06-08 17:35:00,1987-09-04 17:35:00,198706,198712,0.714,0.703,0.723,0.7147,0.011,-0.0083,1.01564722617,0.988520055325,1,0.028,-0.5722,1.04172880147,0.490472318421
42,198712,1987-09-04 00:00:00,1987-12-07 00:00:00,1987-09-04 17:35:00,1987-12-07 17:35:00,198709,198803,0.723,0.7147,0.6975,0.691,0.0083,-0.0065,1.01161326431,0.990681003584,1,0.0363,-0.5639,1.05382667338,0.49616830309
42,198803,1987-12-07 00:00:00,1988-03-07 00:00:00,1987-12-07 17:35:00,1988-03-07 17:35:00,198712,198806,0.6975,0.691,0.7294,0.7224,0.0065,-0.007,1.00940665702,0.990403071017,1,0.0428,-0.5574,1.06373965945,0.50083558814
42,198806,1988-03-07 00:00:00,1988-06-06 00:00:00,1988-03-07 17:35:00,1988-06-06 17:35:00,198803,198809,0.7294,0.7224,0.7917,0.7825,0.007,-0.0092,1.00968992248,0.988379436655,1,0.0498,-0.5504,1.07404721429,0.505688646165
42,198809,1988-06-06 00:00:00,1988-09-12 00:00:00,1988-06-06 17:35:00,1988-09-12 17:35:00,198806,198812,0.7917,0.7825,0.7994,0.7898,0.0092,-0.0096,1.0117571885,0.987990993245,1,0.059,-0.5412,1.08667498984,0.511634122899
42,198812,1988-09-12 00:00:00,1988-12-12 00:00:00,1988-09-12 17:35:00,1988-12-12 17:35:00,198809,198903,0.7994,0.7898,0.856,0.846,0.0096,-0.01,1.01215497594,0.988317757009,1,0.0686,-0.5316,1.0998834982,0.517853023355
42,198903,1988-12-12 00:00:00,1989-03-06 00:00:00,1988-12-12 17:35:00,1989-03-06 17:35:00,198812,198906,0.856,0.846,0.8122,0.7989,0.01,-0.0133,1.01182033097,0.983624722975,1,0.0786,-0.5216,1.11288448518,0.523974217485
42,198906,1989-03-06 00:00:00,1989-06-12 00:00:00,1989-03-06 17:35:00,1989-06-12 17:35:00,198903,198909,0.8122,0.7989,0.74,0.7235,0.0133,-0.0165,1.01664789085,0.977702702703,1,0.0919,-0.5083,1.13141166462,0.532697283065
42,198909,1989-06-12 00:00:00,1989-09-11 00:00:00,1989-06-12 17:35:00,1989-09-11 17:35:00,198906,198912,0.74,0.7235,0.7623,0.7456,0.0165,-0.0167,1.02280580511,0.978092614456,1,0.1084,-0.4918,1.15721441854,0.544845873488
42,198912,1989-09-11 00:00:00,1989-12-11 00:00:00,1989-09-11 17:35:00,1989-12-11 17:35:00,198909,199003,0.7623,0.7456,0.7825,0.765,0.0167,-0.0175,1.02239806867,0.977635782748,1,0.1251,-0.4751,1.18313378656,0.557049368776
42,199003,1989-12-11 00:00:00,1990-03-12 00:00:00,1989-12-11 17:35:00,1990-03-12 17:35:00,198912,199006,0.7825,0.765,0.7566,0.7426,0.0175,-0.014,1.02287581699,0.981496167063,1,0.1426,-0.4576,1.21019893854,0.569792328193
42,199006,1990-03-12 00:00:00,1990-06-11 00:00:00,1990-03-12 17:35:00,1990-06-11 17:35:00,199003,199009,0.7566,0.7426,0.7748,0.7629,0.014,-0.0119,1.01885267977,0.984641197728,1,0.1566,-0.4436,1.23301443159,0.580534440494
42,199009,1990-06-11 00:00:00,1990-09-10 00:00:00,1990-06-11 17:35:00,1990-09-10 17:35:00,199006,199012,0.7748,0.7629,0.8107,0.8009,0.0119,-0.0098,1.01559837462,0.987911681263,1,0.1685,-0.4317,1.25224745261,0.589589834178
42,199012,1990-09-10 00:00:00,1990-12-10 00:00:00,1990-09-10 17:35:00,1990-12-10 17:35:00,199009,199103,0.8107,0.8009,0.7648,0.7567,0.0098,-0.0081,1.01223623424,0.989408995816,1,0.1783,-0.4219,1.26757024576,0.596804193493
42,199103,1990-12-10 00:00:00,1991-03-11 00:00:00,1990-12-10 17:35:00,1991-03-11 17:35:00,199012,199106,0.7648,0.7567,0.7666,0.758,0.0081,-0.0086,1.01070437426,0.988781633185,1,0.1864,-0.4138,1.28113879207,0.603192608938
42,199106,1991-03-11 00:00:00,1991-06-10 00:00:00,1991-03-11 17:35:00,1991-06-10 17:35:00,199103,199109,0.7666,0.758,0.7523,0.7453,0.0086,-0.007,1.01134564644,0.990695201382,1,0.195,-0.4052,1.29567413984,0.610036219013
42,199109,1991-06-10 00:00:00,1991-09-09 00:00:00,1991-06-10 17:35:00,1991-09-09 17:35:00,199106,199112,0.7523,0.7453,0.7917,0.7843,0.007,-0.0074,1.00939219106,0.990653025136,1,0.202,-0.3982,1.30784335892,0.615765795738
