market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
86,199112,1900-01-01 00:00:00,1991-11-29 00:00:00,1900-01-01 17:35:00,1991-11-29 17:35:00,-1,199203,,,90.52,90.92,,0.4,,1.00441891295,1,0,-46.91,1,0.665376605932
86,199203,1991-11-29 00:00:00,1992-02-28 00:00:00,1991-11-29 17:35:00,1992-02-28 17:35:00,199112,199206,90.52,90.92,92.37,92.63,-0.4,0.26,0.995600527937,1.0028147667,1,-0.4,-47.31,0.995600527937,0.662449300143
86,199206,1992-02-28 00:00:00,1992-05-29 00:00:00,1992-02-28 17:35:00,1992-05-29 17:35:00,199203,199209,92.37,92.63,91.96,92.31,-0.26,0.35,0.997193133974,1.00380600261,1,-0.66,-47.57,0.992806010639,0.660589893708
86,199209,1992-05-29 00:00:00,1992-09-01 00:00:00,1992-05-29 17:35:00,1992-09-01 17:35:00,199206,199212,91.96,92.31,91.67,92.2,-0.35,0.53,0.996208428123,1.00578160794,1,-1.01,-47.92,0.98904171529,0.658085219645
86,199212,1992-09-01 00:00:00,1992-12-01 00:00:00,1992-09-01 17:35:00,1992-12-01 17:35:00,199209,199303,91.67,92.2,95.59,96.13,-0.53,0.54,0.994251626898,1.00564912648,1,-1.54,-48.45,0.983356334497,0.65430230027
86,199303,1992-12-01 00:00:00,1993-03-01 00:00:00,1992-12-01 17:35:00,1993-03-01 17:35:00,199212,199306,95.59,96.13,99.19,99.76,-0.54,0.57,0.994382606887,1.00574654703,1,-2.08,-48.99,0.977832435395,0.650626827034
86,199306,1993-03-01 00:00:00,1993-06-01 00:00:00,1993-03-01 17:35:00,1993-06-01 17:35:00,199303,199309,99.19,99.76,98.08,98.43,-0.57,0.35,0.994286287089,1.0035685155,1,-2.65,-49.56,0.972245381584,0.646909332132
86,199309,1993-06-01 00:00:00,1993-09-01 00:00:00,1993-06-01 17:35:00,1993-09-01 17:35:00,199306,199312,98.08,98.43,100.85,101,-0.35,0.15,0.996444173524,1.00148735746,1,-3,-49.91,0.968788245716,0.644609034801
86,199312,1993-09-01 00:00:00,1993-12-01 00:00:00,1993-09-01 17:35:00,1993-12-01 17:35:00,199309,199403,100.85,101,102.9,103.1,-0.15,0.2,0.998514851485,1.0019436346,1,-3.15,-50.06,0.967349451291,0.643651694651
86,199403,1993-12-01 00:00:00,1994-03-01 00:00:00,1993-12-01 17:35:00,1994-03-01 17:35:00,199312,199406,102.9,103.1,100.64,100.7,-0.2,0.06,0.99806013579,1.00059618442,1,-3.35,-50.26,0.965472924713,0.642403097765
