market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
72,199012,1900-01-01 00:00:00,1990-11-23 00:00:00,1900-01-01 17:35:00,1990-11-23 17:35:00,-1,199103,,,83.19,83.02,,-0.17,,0.997956485154,1,0,-72.84,1,0.572416092573
72,199103,1990-11-23 00:00:00,1991-02-28 00:00:00,1990-11-23 17:35:00,1991-02-28 17:35:00,199012,199106,83.19,83.02,85.51,85.75,0.17,0.24,1.00204769935,1.00280668928,1,0.17,-72.67,1.00204769935,0.573588228634
72,199106,1991-02-28 00:00:00,1991-05-29 00:00:00,1991-02-28 17:35:00,1991-05-29 17:35:00,199103,199109,85.51,85.75,85.89,86.01,-0.24,0.12,0.997201166181,1.00139713587,1,-0.07,-72.91,0.99924313436,0.571982850501
72,199109,1991-05-29 00:00:00,1991-08-30 00:00:00,1991-05-29 17:35:00,1991-08-30 17:35:00,199106,199112,85.89,86.01,84.87,85.05,-0.12,0.18,0.998604813394,1.00212089077,1,-0.19,-73.03,0.997849003723,0.571184827689
72,199112,1991-08-30 00:00:00,1991-11-29 00:00:00,1991-08-30 17:35:00,1991-11-29 17:35:00,199109,199203,84.87,85.05,85.61,86.04,-0.18,0.43,0.997883597884,1.00502277771,1,-0.37,-73.21,0.995737153979,0.569975970911
72,199203,1991-11-29 00:00:00,1992-02-28 00:00:00,1991-11-29 17:35:00,1992-02-28 17:35:00,199112,199206,85.61,86.04,88.21,88.8,-0.43,0.59,0.9950023245,1.00668858406,1,-0.8,-73.64,0.990760782801,0.567127415966
72,199206,1992-02-28 00:00:00,1992-05-29 00:00:00,1992-02-28 17:35:00,1992-05-29 17:35:00,199203,199209,88.21,88.8,87.86,88.13,-0.59,0.27,0.993355855856,1.00307307079,1,-1.39,-74.23,0.984178025347,0.563359339666
72,199209,1992-05-29 00:00:00,1992-09-01 00:00:00,1992-05-29 17:35:00,1992-09-01 17:35:00,199206,199212,87.86,88.13,87.93,88.53,-0.27,0.6,0.996936344037,1.00682360969,1,-1.66,-74.5,0.981162842472,0.561633400466
72,199212,1992-09-01 00:00:00,1992-12-01 00:00:00,1992-09-01 17:35:00,1992-12-01 17:35:00,199209,199303,87.93,88.53,91.04,91.15,-0.6,0.11,0.993222636394,1.00120826011,1,-2.26,-75.1,0.974513145132,0.557827006698
72,199303,1992-12-01 00:00:00,1993-03-01 00:00:00,1992-12-01 17:35:00,1993-03-01 17:35:00,199212,199306,91.04,91.15,95.66,96.1,-0.11,0.44,0.998793198025,1.00459962367,1,-2.37,-75.21,0.973337100744,0.557153819964
72,199306,1993-03-01 00:00:00,1993-06-01 00:00:00,1993-03-01 17:35:00,1993-06-01 17:35:00,199303,199309,95.66,96.1,93.83,94.13,-0.44,0.3,0.995421436004,1.00319727166,1,-2.81,-75.65,0.968880614539,0.554602855544
