market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
43,197706,1900-01-01 00:00:00,1977-06-07 00:00:00,1900-01-01 17:35:00,1977-06-07 17:35:00,-1,197709,,,0.9472,0.9429,,-0.0043,,0.995460304054,1,0,-0.20055,1,0.785935343869
43,197709,1977-06-07 00:00:00,1977-09-13 00:00:00,1977-06-07 17:35:00,1977-09-13 17:35:00,197706,197712,0.9472,0.9429,0.9321,0.9297,0.0043,-0.0024,1.00456039877,0.997425168973,1,0.0043,-0.19625,1.00456039877,0.789519522444
43,197712,1977-09-13 00:00:00,1977-12-13 00:00:00,1977-09-13 17:35:00,1977-12-13 17:35:00,197709,197803,0.9321,0.9297,0.9103,0.9103,0.0024,0,1.0025814779,1,1,0.0067,-0.19385,1.00715364923,0.79155764964
43,197803,1977-12-13 00:00:00,1978-03-07 00:00:00,1977-12-13 17:35:00,1978-03-07 17:35:00,197712,197806,0.9103,0.9103,0.889,0.888,0,-0.001,1,0.998875140607,1,0.0067,-0.19385,1.00715364923,0.79155764964
43,197806,1978-03-07 00:00:00,1978-06-13 00:00:00,1978-03-07 17:35:00,1978-06-13 17:35:00,197803,197809,0.889,0.888,0.8915,0.8904,0.001,-0.0011,1.00112612613,0.998766124509,1,0.0077,-0.19285,1.00828783127,0.79244904339
43,197809,1978-06-13 00:00:00,1978-09-12 00:00:00,1978-06-13 17:35:00,1978-09-12 17:35:00,197806,197812,0.8915,0.8904,0.8593,0.858,0.0011,-0.0013,1.00123539982,0.998487140696,1,0.0088,-0.19175,1.00953346988,0.793428034795
43,197812,1978-09-12 00:00:00,1978-12-12 00:00:00,1978-09-12 17:35:00,1978-12-12 17:35:00,197809,197903,0.8593,0.858,0.8497,0.851,0.0013,0.0013,1.00151515152,1.00152995175,1,0.0101,-0.19045,1.01106306604,0.794630198485
43,197903,1978-12-12 00:00:00,1979-03-13 00:00:00,1978-12-12 17:35:00,1979-03-13 17:35:00,197812,197906,0.8497,0.851,0.854,0.8542,-0.0013,0.0002,0.998472385429,1.00023419204,1,0.0088,-0.19175,1.00951855137,0.793416309815
43,197906,1979-03-13 00:00:00,1979-06-12 00:00:00,1979-03-13 17:35:00,1979-06-12 17:35:00,197903,197909,0.854,0.8542,0.852,0.8511,-0.0002,-0.0009,0.999765862796,0.998943661972,1,0.0086,-0.19195,1.00928218552,0.793230541538
43,197909,1979-06-12 00:00:00,1979-09-11 00:00:00,1979-06-12 17:35:00,1979-09-11 17:35:00,197906,197912,0.852,0.8511,0.8618,0.8639,0.0009,0.0021,1.00105745506,1.00243676027,1,0.0095,-0.19105,1.01034945607,0.794069347186
