market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
38,197509,1900-01-01 00:00:00,1975-09-08 00:00:00,1900-01-01 17:35:00,1975-09-08 17:35:00,-1,197512,,,0.3732,0.377,,0.0038,,1.01018220793,1,0,0.8513,1,3.55647154109
38,197512,1975-09-08 00:00:00,1975-12-08 00:00:00,1975-09-08 17:35:00,1975-12-08 17:35:00,197509,197603,0.3732,0.377,0.3818,0.3849,-0.0038,0.0031,0.989920424403,1.00811943426,1,-0.0038,0.8475,0.989920424403,3.52062381733
38,197603,1975-12-08 00:00:00,1976-03-08 00:00:00,1975-12-08 17:35:00,1976-03-08 17:35:00,197512,197606,0.3818,0.3849,0.3872,0.3907,-0.0031,0.0035,0.99194595999,1.0090392562,1,-0.0069,0.8444,0.981947565698,3.49226857224
38,197606,1976-03-08 00:00:00,1976-06-07 00:00:00,1976-03-08 17:35:00,1976-06-07 17:35:00,197603,197609,0.3872,0.3907,0.406,0.411,-0.0035,0.005,0.99104171999,1.01231527094,1,-0.0104,0.8409,0.973151004449,3.4609838525
38,197609,1976-06-07 00:00:00,1976-09-03 00:00:00,1976-06-07 17:35:00,1976-09-03 17:35:00,197606,197612,0.406,0.411,0.4032,0.4075,-0.005,0.0043,0.987834549878,1.01066468254,1,-0.0154,0.8359,0.961312184444,3.41887942607
38,197612,1976-09-03 00:00:00,1976-12-06 00:00:00,1976-09-03 17:35:00,1976-12-06 17:35:00,197609,197703,0.4032,0.4075,0.4088,0.4117,-0.0043,0.0029,0.989447852761,1.00709393346,1,-0.0197,0.8316,0.95116827673,3.38280290698
38,197703,1976-12-06 00:00:00,1977-03-07 00:00:00,1976-12-06 17:35:00,1977-03-07 17:35:00,197612,197706,0.4088,0.4117,0.392,0.3947,-0.0029,0.0027,0.992956035949,1.0068877551,1,-0.0226,0.8287,0.944468281582,3.35897456491
38,197706,1977-03-07 00:00:00,1977-06-06 00:00:00,1977-03-07 17:35:00,1977-06-06 17:35:00,197703,197709,0.392,0.3947,0.4027,0.4049,-0.0027,0.0022,0.99315936154,1.00546312391,1,-0.0253,0.826,0.938007515531,3.33599703431
38,197709,1977-06-06 00:00:00,1977-09-12 00:00:00,1977-06-06 17:35:00,1977-09-12 17:35:00,197706,197712,0.4027,0.4049,0.419,0.423,-0.0022,0.004,0.994566559644,1.00954653938,1,-0.0275,0.8238,0.932910907643,3.3178710934
38,197712,1977-09-12 00:00:00,1977-12-12 00:00:00,1977-09-12 17:35:00,1977-12-12 17:35:00,197709,197803,0.419,0.423,0.471,0.4767,-0.004,0.0057,0.990543735225,1.01210191083,1,-0.0315,0.8198,0.924089055088,3.28649642585
38,197803,1977-12-12 00:00:00,1978-03-06 00:00:00,1977-12-12 17:35:00,1978-03-06 17:35:00,197712,197806,0.471,0.4767,0.5371,0.5479,-0.0057,0.0108,0.98804279421,1.02010798734,1,-0.0372,0.8141,0.913039532088,3.24719911176
38,197806,1978-03-06 00:00:00,1978-06-12 00:00:00,1978-03-06 17:35:00,1978-06-12 17:35:00,197803,197809,0.5371,0.5479,0.5295,0.5384,-0.0108,0.0089,0.980288373791,1.01680830973,1,-0.048,0.8033,0.895042038118,3.18319153664
38,197809,1978-06-12 00:00:00,1978-09-11 00:00:00,1978-06-12 17:35:00,1978-09-11 17:35:00,197806,197812,0.5295,0.5384,0.6165,0.6278,-0.0089,0.0113,0.983469539376,1.01832927818,1,-0.0569,0.7944,0.88024658095,3.13057191429
38,197812,1978-09-11 00:00:00,1978-12-11 00:00:00,1978-09-11 17:35:00,1978-12-11 17:35:00,197809,197903,0.6165,0.6278,0.5917,0.6089,-0.0113,0.0172,0.982000637146,1.02906878486,1,-0.0682,0.7831,0.864402703338,3.07422361446
