market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
78,198101,1900-01-01,1980-12-23,,,-1,198103,,,342.6,356.3,,13.7,,1.03998832458,1,0,109.8,1,3.19039276782
78,198103,1980-12-23,1981-02-24,,,198101,198111,342.6,356.3,321.3,363.5,-13.7,42.2,0.961549256245,1.13134142546,1,-13.7,96.1,0.961549256245,3.06771979302
78,198111,1981-02-24,1981-10-23,,,198103,198201,321.3,363.5,332,343.8,-42.2,11.8,0.883906464924,1.03554216867,1,-55.9,53.9,0.849919603938,2.71157735763
78,198201,1981-10-23,1981-12-03,,,198111,198203,332,343.8,325.5,335,-11.8,9.5,0.965677719604,1.0291858679,1,-67.7,42.1,0.820748424978,2.61850983925
78,198203,1981-12-03,1982-02-02,,,198201,198211,325.5,335,325.2,343.6,-9.5,18.4,0.971641791045,1.05658056581,1,-77.2,32.6,0.797473469643,2.54425359007
78,198211,1982-02-02,1982-10-04,,,198203,198301,325.2,343.6,306.8,316.6,-18.4,9.8,0.946449359721,1.03194263364,1,-95.6,14.2,0.754768254737,2.40800718129
78,198301,1982-10-04,1982-12-02,,,198211,198303,306.8,316.6,327.3,331.8,-9.8,4.5,0.969046114972,1.01374885426,1,-105.4,4.4,0.731405244957,2.33347000385
78,198303,1982-12-02,1983-02-02,,,198301,198311,327.3,331.8,324,329.4,-4.5,5.4,0.98643761302,1.01666666667,1,-109.9,-0.1,0.721485643986,2.30182258066
78,198311,1983-02-02,1983-10-04,,,198303,198401,324,329.4,423.1,432.6,-5.4,9.5,0.983606557377,1.02245332073,1,-115.3,-5.5,0.709658010478,2.26408778425
78,198401,1983-10-04,1983-12-02,,,198311,198403,423.1,432.6,395.3,402.2,-9.5,6.9,0.978039759593,1.01745509739,1,-124.8,-15,0.694073749961,2.21436787221
78,198403,1983-12-02,1984-02-03,,,198401,198411,395.3,402.2,403.6,364,-6.9,-39.6,0.982844356042,0.901883052527,1,-131.7,-21.9,0.682166467826,2.1763789654
78,198411,1984-02-03,1984-10-04,,,198403,198501,403.6,364,402,405.2,39.6,3.2,1.10879120879,1.007960199,1,-92.1,17.7,0.756380182458,2.41314986383
78,198501,1984-10-04,1984-11-30,,,198411,198503,402,405.2,399.1,407.2,-3.2,8.1,0.99210266535,1.02029566525,1,-95.3,14.5,0.750406795035,2.3940924118
78,198503,1984-11-30,1985-02-04,,,198501,198511,399.1,407.2,392.2,404.1,-8.1,11.9,0.98010805501,1.03034166242,1,-103.4,6.4,0.735479744347,2.34646925724
78,198511,1985-02-04,1985-10-04,,,198503,198601,392.2,404.1,320.4,326.7,-11.9,6.3,0.970551843603,1.01966292135,1,-115.3,-5.5,0.713821221809,2.27737006357
78,198601,1985-10-04,1985-12-03,,,198511,198603,320.4,326.7,316.9,324.1,-6.3,7.2,0.980716253444,1.02272010098,1,-121.6,-11.8,0.700056074281,2.23345383645
78,198603,1985-12-03,1986-02-04,,,198601,198611,316.9,324.1,316.5,337.7,-7.2,21.2,0.977784634372,1.06698262243,1,-128.8,-19,0.684504072631,2.18383684286
78,198611,1986-02-04,1986-10-06,,,198603,198701,316.5,337.7,242.5,248.2,-21.2,5.7,0.937222386734,1.02350515464,1,-150,-40.2,0.64153254068,2.04674077811
78,198701,1986-10-06,1986-12-03,,,198611,198703,242.5,248.2,253.7,259.9,-5.7,6.2,0.977034649476,1.02443831297,1,-155.7,-45.9,0.626799521011,1.9997366587
78,198703,1986-12-03,1987-02-03,,,198701,198711,253.7,259.9,244.1,259,-6.2,14.9,0.976144671027,1.06104055715,1,-161.9,-52.1,0.611847012237,1.95203228285
78,198711,1987-02-03,1987-10-05,,,198703,198801,244.1,259,255.7,260.8,-14.9,5.1,0.942471042471,1.01994524834,1,-176.8,-67,0.576648091456,1.83973390056
78,198801,1987-10-05,1987-12-03,,,198711,198803,255.7,260.8,277.2,281.6,-5.1,4.4,0.980444785276,1.01587301587,1,-181.9,-72.1,0.565371614208,1.8037575091
78,198803,1987-12-03,1988-02-03,,,198801,198811,277.2,281.6,299.4,303.5,-4.4,4.1,0.984375,1.01369405478,1,-186.3,-76.5,0.556537682736,1.77557379802
78,198811,1988-02-03,1988-09-06,,,198803,198901,299.4,303.5,401.2,410.4,-4.1,9.2,0.986490939044,1.02293120638,1,-190.4,-80.6,0.549019381255,1.75158746335
78,198901,1988-09-06,1988-11-03,,,198811,198903,401.2,410.4,350,357,-9.2,7,0.977582846004,1.02,1,-199.6,-89.8,0.536711929239,1.71232185745
78,198903,1988-11-03,1989-01-03,,,198901,198911,350,357,349.1,371.5,-7,22.4,0.980392156863,1.0641649957,1,-206.6,-96.8,0.526188165921,1.67874691906
78,198911,1989-01-03,1989-09-05,,,198903,199001,349.1,371.5,305.7,313.3,-22.4,7.6,0.939703903096,1.02486097481,1,-229,-119.2,0.494461073278,1.57752503215
78,199001,1989-09-05,1989-12-01,,,198911,199003,305.7,313.3,306.8,314.2,-7.6,7.4,0.975742100223,1.02411994785,1,-236.6,-126.8,0.482466486119,1.53925758803
78,199003,1989-12-01,1990-01-02,,,199001,199011,306.8,314.2,306.6,315.6,-7.4,9,0.976448122215,1.02935420744,1,-244,-134.2,0.471103494403,1.50300518144
78,199011,1990-01-02,1990-09-04,,,199003,199101,306.6,315.6,296.6,305.5,-9,8.9,0.971482889734,1.03000674309,1,-253,-143.2,0.457668984106,1.46014381695
78,199101,1990-09-04,1990-11-05,,,199011,199103,296.6,305.5,304.1,311.7,-8.9,7.6,0.970867430442,1.02499177902,1,-261.9,-152.1,0.444335910592,1.41760607563
78,199103,1990-11-05,1991-01-02,,,199101,199111,304.1,311.7,285.8,304.8,-7.6,19,0.975617581007,1.06648005598,1,-269.5,-159.7,0.433501926247,1.38304141033
78,199111,1991-01-02,1991-09-04,,,199103,199201,285.8,304.8,270.9,277.9,-19,7,0.937664041995,1.02583979328,1,-288.5,-178.7,0.406479168377,1.29682819906
78,199201,1991-09-04,1991-11-04,,,199111,199203,270.9,277.9,271.1,276.5,-7,5.4,0.974811083123,1.01991884913,1,-295.5,-185.7,0.396240398393,1.26416250135
