market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
13,196003,1900-01-01 00:00:00,1960-01-28 00:00:00,1900-01-01 17:35:00,1960-01-28 17:35:00,-1,196005,,,622,619,,-3,,0.995176848875,1,0,1485,1,11.7043048573
13,196005,1960-01-28 00:00:00,1960-04-04 00:00:00,1960-01-28 17:35:00,1960-04-04 17:35:00,196003,196007,622,619,565,569,3,4,1.00484652666,1.00707964602,1,3,1488,1.00484652666,11.7610300828
13,196007,1960-04-04 00:00:00,1960-06-03 00:00:00,1960-04-04 17:35:00,1960-06-03 17:35:00,196005,196009,565,569,565,580,-4,15,0.992970123023,1.02654867257,1,-1,1484,0.997782579193,11.6783514882
13,196009,1960-06-03 00:00:00,1960-08-04 00:00:00,1960-06-03 17:35:00,1960-08-04 17:35:00,196007,196012,565,580,571,586,-15,15,0.974137931034,1.02626970228,1,-16,1469,0.971977857317,11.3763251566
13,196012,1960-08-04 00:00:00,1960-10-31 00:00:00,1960-08-04 17:35:00,1960-10-31 17:35:00,196009,196103,571,586,566,574,-15,8,0.974402730375,1.01413427562,1,-31,1454,0.947097878034,11.0851222942
13,196103,1960-10-31 00:00:00,1961-01-30 00:00:00,1960-10-31 17:35:00,1961-01-30 17:35:00,196012,196105,566,574,475,479,-8,4,0.98606271777,1.00842105263,1,-39,1446,0.933897907608,10.9306258163
13,196105,1961-01-30 00:00:00,1961-04-03 00:00:00,1961-01-30 17:35:00,1961-04-03 17:35:00,196103,196107,475,479,459,466,-4,7,0.991649269311,1.01525054466,1,-43,1442,0.926099177691,10.8393471038
13,196107,1961-04-03 00:00:00,1961-07-10 00:00:00,1961-04-03 17:35:00,1961-07-10 17:35:00,196105,196109,459,466,457,471,-7,14,0.984978540773,1.0306345733,1,-50,1435,0.912187816653,10.6765242933
13,196109,1961-07-10 00:00:00,1961-08-04 00:00:00,1961-07-10 17:35:00,1961-08-04 17:35:00,196107,196112,457,471,444,462,-14,18,0.970276008493,1.04054054054,1,-64,1421,0.885073953737,10.3591753758
13,196112,1961-08-04 00:00:00,1961-11-01 00:00:00,1961-08-04 17:35:00,1961-11-01 17:35:00,196109,196203,444,462,502,517,-18,15,0.961038961039,1.02988047809,1,-82,1403,0.850590552942,9.95557114041
