market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
7,195909,1900-01-01 00:00:00,1959-08-21 00:00:00,1900-01-01 17:35:00,1959-08-21 17:35:00,-1,195912,,,1.18875,1.125,,-0.06375,,0.946372239748,1,0,7.861875,1,59.9390182371
7,195912,1959-08-21 00:00:00,1959-11-20 00:00:00,1959-08-21 17:35:00,1959-11-20 17:35:00,195909,196003,1.18875,1.125,1.10625,1.145,0.06375,0.03875,1.05666666667,1.03502824859,1,0.06375,7.925625,1.05666666667,63.3355626038
7,196003,1959-11-20 00:00:00,1960-02-18 00:00:00,1959-11-20 17:35:00,1960-02-18 17:35:00,195912,196005,1.10625,1.145,1.1275,1.16625,-0.03875,0.03875,0.96615720524,1.03436807095,1,0.025,7.886875,1.02090611354,61.1921101576
7,196005,1960-02-18 00:00:00,1960-04-22 00:00:00,1960-02-18 17:35:00,1960-04-22 17:35:00,196003,196007,1.1275,1.16625,1.1925,1.21625,-0.03875,0.02375,0.966773847803,1.01991614256,1,-0.01375,7.848125,0.98698533163,59.1589317923
7,196007,1960-04-22 00:00:00,1960-06-23 00:00:00,1960-04-22 17:35:00,1960-06-23 17:35:00,196005,196009,1.1925,1.21625,1.16125,1.16625,-0.02375,0.005,0.980472764645,1.00430570506,1,-0.0375,7.824375,0.967712236767,58.0037214078
7,196009,1960-06-23 00:00:00,1960-08-24 00:00:00,1960-06-23 17:35:00,1960-08-24 17:35:00,196007,196012,1.16125,1.16625,1.15875,1.10875,-0.005,-0.05,0.995712754555,0.956850053937,1,-0.0425,7.819375,0.963563416888,57.7550452174
7,196012,1960-08-24 00:00:00,1960-11-22 00:00:00,1960-08-24 17:35:00,1960-11-22 17:35:00,196009,196103,1.15875,1.10875,1.0275,1.08,0.05,0.0525,1.04509582864,1.05109489051,1,0.0075,7.869375,1.00701610762,60.3595568394
7,196103,1960-11-22 00:00:00,1961-02-20 00:00:00,1960-11-22 17:35:00,1961-02-20 17:35:00,196012,196105,1.0275,1.08,1.1325,1.1725,-0.0525,0.04,0.951388888889,1.0353200883,1,-0.045,7.816875,0.958063935718,57.4254117153
7,196105,1961-02-20 00:00:00,1961-04-21 00:00:00,1961-02-20 17:35:00,1961-04-21 17:35:00,196103,196107,1.1325,1.1725,1.115,1.1525,-0.04,0.0375,0.965884861407,1.033632287,1,-0.085,7.776875,0.92537945177,55.4663358359
7,196107,1961-04-21 00:00:00,1961-06-23 00:00:00,1961-04-21 17:35:00,1961-06-23 17:35:00,196105,196109,1.115,1.1525,1.13875,1.17375,-0.0375,0.035,0.967462039046,1.03073545554,1,-0.1225,7.739375,0.895269491301,53.6615743662
7,196109,1961-06-23 00:00:00,1961-08-24 00:00:00,1961-06-23 17:35:00,1961-08-24 17:35:00,196107,196112,1.13875,1.17375,1.1225,1.15875,-0.035,0.03625,0.970181043663,1.03229398664,1,-0.1575,7.704375,0.86857348943,52.0614422232
7,196112,1961-08-24 00:00:00,1961-11-22 00:00:00,1961-08-24 17:35:00,1961-11-22 17:35:00,196109,196203,1.1225,1.15875,1.1,1.13625,-0.03625,0.03625,0.968716289105,1.03295454545,1,-0.19375,7.668125,0.841401287495,50.4327671159
7,196203,1961-11-22 00:00:00,1962-02-20 00:00:00,1961-11-22 17:35:00,1962-02-20 17:35:00,196112,196205,1.1,1.13625,1.05,1.09,-0.03625,0.04,0.968096809681,1.0380952381,1,-0.23,7.631875,0.814557902086,48.8238009483
7,196205,1962-02-20 00:00:00,1962-04-23 00:00:00,1962-02-20 17:35:00,1962-04-23 17:35:00,196203,196207,1.05,1.09,1.12,1.15375,-0.04,0.03375,0.963302752294,1.03013392857,1,-0.27,7.591875,0.784665868982,47.0321018309
7,196207,1962-04-23 00:00:00,1962-06-22 00:00:00,1962-04-23 17:35:00,1962-06-22 17:35:00,196205,196209,1.12,1.15375,1.10375,1.12375,-0.03375,0.02,0.970747562297,1.0181200453,1,-0.30375,7.558125,0.761712479532,45.656298202
7,196209,1962-06-22 00:00:00,1962-08-24 00:00:00,1962-06-22 17:35:00,1962-08-24 17:35:00,196207,196212,1.10375,1.12375,1.07,1.075,-0.02,0.005,0.982202447164,1.0046728972,1,-0.32375,7.538125,0.748155861431,44.8437278225
7,196212,1962-08-24 00:00:00,1962-11-21 00:00:00,1962-08-24 17:35:00,1962-11-21 17:35:00,196209,196303,1.07,1.075,1.0675,1.09625,-0.005,0.02875,0.995348837209,1.02693208431,1,-0.32875,7.533125,0.744676066727,44.6351523442
7,196303,1962-11-21 00:00:00,1963-02-20 00:00:00,1962-11-21 17:35:00,1963-02-20 17:35:00,196212,196305,1.0675,1.09625,1.16125,1.17375,-0.02875,0.0125,0.973774230331,1.01076426265,1,-0.3575,7.504375,0.725146363722,43.4645611197
7,196305,1963-02-20 00:00:00,1963-04-23 00:00:00,1963-02-20 17:35:00,1963-04-23 17:35:00,196303,196307,1.16125,1.17375,1.1775,1.1875,-0.0125,0.01,0.989350372737,1.008492569,1,-0.37,7.491875,0.717423825238,43.0016797446
7,196307,1963-04-23 00:00:00,1963-06-21 00:00:00,1963-04-23 17:35:00,1963-06-21 17:35:00,196305,196309,1.1775,1.1875,1.2575,1.22875,-0.01,-0.02875,0.991578947368,0.977137176938,1,-0.38,7.481875,0.711382361446,42.6395603362
7,196309,1963-06-21 00:00:00,1963-08-23 00:00:00,1963-06-21 17:35:00,1963-08-23 17:35:00,196307,196312,1.2575,1.22875,1.24375,1.13,0.02875,-0.11375,1.02339776195,0.908542713568,1,-0.35125,7.510625,0.728027116597,43.6372306188
7,196312,1963-08-23 00:00:00,1963-11-20 00:00:00,1963-08-23 17:35:00,1963-11-20 17:35:00,196309,196403,1.24375,1.13,1.16375,1.20875,0.11375,0.045,1.10066371681,1.03866809882,1,-0.2375,7.624375,0.801313032095,48.0299164443
