market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
14,196007,1900-01-01 00:00:00,1960-06-10 00:00:00,1900-01-01 17:35:00,1960-06-10 17:35:00,-1,196012,,,0.328,0.3107,,-0.0173,,0.947256097561,1,0,-0.2465,1,1.8553050171
14,196012,1960-06-10 00:00:00,1960-11-09 00:00:00,1960-06-10 17:35:00,1960-11-09 17:35:00,196007,196103,0.328,0.3107,0.3171,0.3239,0.0173,0.0068,1.05568072095,1.02144433933,1,0.0173,-0.2292,1.05568072095,1.95860973804
14,196103,1960-11-09 00:00:00,1961-02-07 00:00:00,1960-11-09 17:35:00,1961-02-07 17:35:00,196012,196105,0.3171,0.3239,0.3206,0.326,-0.0068,0.0054,0.979005866008,1.01684341859,1,0.0105,-0.236,1.03351761844,1.91749042276
14,196105,1961-02-07 00:00:00,1961-04-10 00:00:00,1961-02-07 17:35:00,1961-04-10 17:35:00,196103,196107,0.3206,0.326,0.3321,0.3368,-0.0054,0.0047,0.983435582822,1.01415236375,1,0.0051,-0.2414,1.01639800145,1.88572831146
14,196107,1961-04-10 00:00:00,1961-06-12 00:00:00,1961-04-10 17:35:00,1961-06-12 17:35:00,196105,196112,0.3321,0.3368,0.3346,0.3473,-0.0047,0.0127,0.986045130641,1.03795576808,1,0.0004,-0.2461,1.00221430012,1.85941321923
14,196112,1961-06-12 00:00:00,1961-11-09 00:00:00,1961-06-12 17:35:00,1961-11-09 17:35:00,196107,196203,0.3346,0.3473,0.3427,0.3506,-0.0127,0.0079,0.963432191189,1.02305223227,1,-0.0123,-0.2588,0.965565519211,1.79141855213
14,196203,1961-11-09 00:00:00,1962-02-07 00:00:00,1961-11-09 17:35:00,1962-02-07 17:35:00,196112,196205,0.3427,0.3506,0.3392,0.3456,-0.0079,0.0064,0.977467199087,1.01886792453,1,-0.0202,-0.2667,0.943808623598,1.75105287454
14,196205,1962-02-07 00:00:00,1962-04-09 00:00:00,1962-02-07 17:35:00,1962-04-09 17:35:00,196203,196207,0.3392,0.3456,0.3428,0.3468,-0.0064,0.004,0.981481481481,1.01166861144,1,-0.0266,-0.2731,0.926330686124,1.71862596946
14,196207,1962-04-09 00:00:00,1962-06-11 00:00:00,1962-04-09 17:35:00,1962-06-11 17:35:00,196205,196212,0.3428,0.3468,0.3472,0.3443,-0.004,-0.0029,0.988465974625,0.991647465438,1,-0.0306,-0.2771,0.915646364485,1.69880329392
14,196212,1962-06-11 00:00:00,1962-11-09 00:00:00,1962-06-11 17:35:00,1962-11-09 17:35:00,196207,196303,0.3472,0.3443,0.3357,0.34,0.0029,0.0043,1.00842288702,1.0128090557,1,-0.0277,-0.2742,0.92335875036,1.71311212213
14,196303,1962-11-09 00:00:00,1963-02-07 00:00:00,1962-11-09 17:35:00,1963-02-07 17:35:00,196212,196305,0.3357,0.34,0.346,0.3476,-0.0043,0.0016,0.987352941176,1.00462427746,1,-0.032,-0.2785,0.911680977929,1.69144629235
14,196305,1963-02-07 00:00:00,1963-04-09 00:00:00,1963-02-07 17:35:00,1963-04-09 17:35:00,196303,196307,0.346,0.3476,0.3445,0.3308,-0.0016,-0.0137,0.995397008055,0.96023222061,1,-0.0336,-0.2801,0.907484517732,1.68366057869
14,196307,1963-04-09 00:00:00,1963-06-10 00:00:00,1963-04-09 17:35:00,1963-06-10 17:35:00,196305,196312,0.3445,0.3308,0.3335,0.3263,0.0137,-0.0072,1.04141475212,0.978410794603,1,-0.0199,-0.2664,0.945067764083,1.7533889642
