market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
39,197509,1900-01-01 00:00:00,1975-09-08 00:00:00,1900-01-01 17:35:00,1975-09-08 17:35:00,-1,197512,,,2.1095,2.0885,,-0.021,,0.990045034368,1,0,-1.0589,1,0.542756578505
39,197512,1975-09-08 00:00:00,1975-12-08 00:00:00,1975-09-08 17:35:00,1975-12-08 17:35:00,197509,197603,2.1095,2.0885,2.0215,1.9955,0.021,-0.026,1.01005506344,0.987138263666,1,0.021,-1.0379,1.01005506344,0.548214030335
39,197603,1975-12-08 00:00:00,1976-03-08 00:00:00,1975-12-08 17:35:00,1976-03-08 17:35:00,197512,197606,2.0215,1.9955,1.94,1.9205,0.026,-0.0195,1.01302931596,0.989948453608,1,0.047,-1.0119,1.02321539,0.555356884151
39,197606,1976-03-08 00:00:00,1976-06-07 00:00:00,1976-03-08 17:35:00,1976-06-07 17:35:00,197603,197609,1.94,1.9205,1.765,1.74,0.0195,-0.025,1.01015360583,0.985835694051,1,0.0665,-0.9924,1.03360471575,0.560995759049
39,197609,1976-06-07 00:00:00,1976-09-03 00:00:00,1976-06-07 17:35:00,1976-09-03 17:35:00,197606,197612,1.765,1.74,1.768,1.731,0.025,-0.037,1.01436781609,0.97907239819,1,0.0915,-0.9674,1.04845535822,0.569056042943
39,197612,1976-09-03 00:00:00,1976-12-06 00:00:00,1976-09-03 17:35:00,1976-12-06 17:35:00,197609,197703,1.768,1.731,1.6595,1.6155,0.037,-0.044,1.02137492779,0.973485989756,1,0.1285,-0.9304,1.07086601579,0.581219574768
39,197703,1976-12-06 00:00:00,1977-03-07 00:00:00,1976-12-06 17:35:00,1977-03-07 17:35:00,197612,197706,1.6595,1.6155,1.715,1.683,0.044,-0.032,1.0272361498,0.981341107872,1,0.1725,-0.8864,1.10003228301,0.597049758172
39,197706,1977-03-07 00:00:00,1977-06-06 00:00:00,1977-03-07 17:35:00,1977-06-06 17:35:00,197703,197709,1.715,1.683,1.7155,1.695,0.032,-0.0205,1.01901366607,0.988050131157,1,0.2045,-0.8544,1.12094792951,0.608401862903
39,197709,1977-06-06 00:00:00,1977-09-12 00:00:00,1977-06-06 17:35:00,1977-09-12 17:35:00,197706,197712,1.7155,1.695,1.743,1.7445,0.0205,0.0015,1.01209439528,1.0008605852,1,0.225,-0.8339,1.13450511686,0.615760115522
39,197712,1977-09-12 00:00:00,1977-12-12 00:00:00,1977-09-12 17:35:00,1977-12-12 17:35:00,197709,197803,1.743,1.7445,1.833,1.8355,-0.0015,0.0025,0.999140154772,1.00136388434,1,0.2235,-0.8354,1.13352961805,0.615230657125
39,197803,1977-12-12 00:00:00,1978-03-06 00:00:00,1977-12-12 17:35:00,1978-03-06 17:35:00,197712,197806,1.833,1.8355,1.941,1.9375,-0.0025,-0.0035,0.998637973304,0.99819680577,1,0.221,-0.8379,1.13198572045,0.614392696546
39,197806,1978-03-06 00:00:00,1978-06-12 00:00:00,1978-03-06 17:35:00,1978-06-12 17:35:00,197803,197809,1.941,1.9375,1.838,1.8215,0.0035,-0.0165,1.00180645161,0.991022850925,1,0.2245,-0.8344,1.13403059788,0.615502567224
39,197809,1978-06-12 00:00:00,1978-09-11 00:00:00,1978-06-12 17:35:00,1978-09-11 17:35:00,197806,197812,1.838,1.8215,1.943,1.9275,0.0165,-0.0155,1.0090584683,0.992022645394,1,0.241,-0.8179,1.14430317809,0.621078077715
39,197812,1978-09-11 00:00:00,1978-12-11 00:00:00,1978-09-11 17:35:00,1978-12-11 17:35:00,197809,197903,1.943,1.9275,1.98,1.9705,0.0155,-0.0095,1.00804150454,0.995202020202,1,0.2565,-0.8024,1.1535050973,0.626072479896
39,197903,1978-12-11 00:00:00,1979-03-12 00:00:00,1978-12-11 17:35:00,1979-03-12 17:35:00,197812,197906,1.98,1.9705,2.038,2.034,0.0095,-0.004,1.00482111139,0.998037291462,1,0.266,-0.7929,1.15906627386,0.629090845062
39,197906,1979-03-12 00:00:00,1979-06-11 00:00:00,1979-03-12 17:35:00,1979-06-11 17:35:00,197903,197909,2.038,2.034,2.0685,2.0635,0.004,-0.005,1.00196656834,0.997582789461,1,0.27,-0.7889,1.1613456569,0.630327995199
39,197909,1979-06-11 00:00:00,1979-09-10 00:00:00,1979-06-11 17:35:00,1979-09-10 17:35:00,197906,197912,2.0685,2.0635,2.241,2.236,0.005,-0.005,1.0024230676,0.997768853191,1,0.275,-0.7839,1.16415967594,0.631855322544
39,197912,1979-09-10 00:00:00,1979-12-10 00:00:00,1979-09-10 17:35:00,1979-12-10 17:35:00,197909,198003,2.241,2.236,2.1675,2.1555,0.005,-0.012,1.00223613596,0.99446366782,1,0.28,-0.7789,1.16676289525,0.633268236951
39,198003,1979-12-10 00:00:00,1980-03-10 00:00:00,1979-12-10 17:35:00,1980-03-10 17:35:00,197912,198006,2.1675,2.1555,2.2185,2.2215,0.012,0.003,1.00556715379,1.00135226504,1,0.292,-0.7669,1.17325844372,0.636793738618
39,198006,1980-03-10 00:00:00,1980-06-09 00:00:00,1980-03-10 17:35:00,1980-06-09 17:35:00,198003,198009,2.2185,2.2215,2.3375,2.299,-0.003,-0.0385,0.998649561107,0.983529411765,1,0.289,-0.7699,1.17167402989,0.635933787587
39,198009,1980-06-09 00:00:00,1980-09-08 00:00:00,1980-06-09 17:35:00,1980-09-08 17:35:00,198006,198012,2.3375,2.299,2.4155,2.3915,0.0385,-0.024,1.01674641148,0.990064168909,1,0.3275,-0.7314,1.19129536532,0.64658339647
39,198012,1980-09-08 00:00:00,1980-12-08 00:00:00,1980-09-08 17:35:00,1980-12-08 17:35:00,198009,198103,2.4155,2.3915,2.346,2.3735,0.024,0.0275,1.01003554255,1.01172208014,1,0.3515,-0.7074,1.20325066064,0.653072211655
39,198103,1980-12-08 00:00:00,1981-03-09 00:00:00,1980-12-08 17:35:00,1981-03-09 17:35:00,198012,198106,2.346,2.3735,2.204,2.225,-0.0275,0.021,0.988413734991,1.00952813067,1,0.324,-0.7349,1.18930947962,0.64550554394
39,198106,1981-03-09 00:00:00,1981-06-08 00:00:00,1981-03-09 17:35:00,1981-06-08 17:35:00,198103,198109,2.204,2.225,1.9375,1.9585,-0.021,0.021,0.990561797753,1.01083870968,1,0.303,-0.7559,1.17808453621,0.639413132065
39,198109,1981-06-08 00:00:00,1981-09-04 00:00:00,1981-06-08 17:35:00,1981-09-04 17:35:00,198106,198112,1.9375,1.9585,1.832,1.854,-0.021,0.022,0.989277508297,1.01200873362,1,0.282,-0.7769,1.16545253455,0.632557030062
39,198112,1981-09-04 00:00:00,1981-12-07 00:00:00,1981-09-04 17:35:00,1981-12-07 17:35:00,198109,198203,1.832,1.854,1.941,1.9325,-0.022,-0.0085,0.988133764833,0.995620814013,1,0.26,-0.7989,1.1516230007,0.625050959586
39,198203,1981-12-07 00:00:00,1982-03-08 00:00:00,1981-12-07 17:35:00,1982-03-08 17:35:00,198112,198206,1.941,1.9325,1.807,1.811,0.0085,0.004,1.00439844761,1.00221361372,1,0.2685,-0.7904,1.15668835413,0.627800213483
39,198206,1982-03-08 00:00:00,1982-06-07 00:00:00,1982-03-08 17:35:00,1982-06-07 17:35:00,198203,198209,1.807,1.811,1.7975,1.807,-0.004,0.0095,0.997791275538,1.00528511822,1,0.2645,-0.7944,1.15413354827,0.626413575795
39,198209,1982-06-07 00:00:00,1982-09-03 00:00:00,1982-06-07 17:35:00,1982-09-03 17:35:00,198206,198212,1.7975,1.807,1.7325,1.736,-0.0095,0.0035,0.994742667405,1.00202020202,1,0.255,-0.8039,1.14806588434,0.623120311285
39,198212,1982-09-03 00:00:00,1982-12-06 00:00:00,1982-09-03 17:35:00,1982-12-06 17:35:00,198209,198303,1.7325,1.736,1.6185,1.616,-0.0035,-0.0025,0.997983870968,0.998455359901,1,0.2515,-0.8074,1.14575123538,0.621864020334
39,198303,1982-12-06 00:00:00,1983-03-07 00:00:00,1982-12-06 17:35:00,1983-03-07 17:35:00,198212,198306,1.6185,1.616,1.5125,1.504,0.0025,-0.0085,1.0015470297,0.994380165289,1,0.254,-0.8049,1.14752374658,0.622826062445
39,198306,1983-03-07 00:00:00,1983-06-06 00:00:00,1983-03-07 17:35:00,1983-06-06 17:35:00,198303,198309,1.5125,1.504,1.5755,1.573,0.0085,-0.0025,1.00565159574,0.998413202158,1,0.2625,-0.7964,1.1540090869,0.626346023569
39,198309,1983-06-06 00:00:00,1983-09-12 00:00:00,1983-06-06 17:35:00,1983-09-12 17:35:00,198306,198312,1.5755,1.573,1.497,1.4985,0.0025,0.0015,1.00158931977,1.00100200401,1,0.265,-0.7939,1.15584317636,0.627341487688
39,198312,1983-09-12 00:00:00,1983-12-12 00:00:00,1983-09-12 17:35:00,1983-12-12 17:35:00,198309,198403,1.497,1.4985,1.426,1.4285,-0.0015,0.0025,0.998998998999,1.00175315568,1,0.2635,-0.7954,1.15468617618,0.626713518231
39,198403,1983-12-12 00:00:00,1984-03-12 00:00:00,1983-12-12 17:35:00,1984-03-12 17:35:00,198312,198406,1.426,1.4285,1.457,1.4635,-0.0025,0.0065,0.998249912496,1.00446122169,1,0.261,-0.7979,1.15266537433,0.625616714734
39,198406,1984-03-12 00:00:00,1984-06-11 00:00:00,1984-03-12 17:35:00,1984-06-11 17:35:00,198403,198409,1.457,1.4635,1.388,1.396,-0.0065,0.008,0.995558592415,1.00576368876,1,0.2545,-0.8044,1.1475459176,0.622838095912
39,198409,1984-06-11 00:00:00,1984-09-10 00:00:00,1984-06-11 17:35:00,1984-09-10 17:35:00,198406,198412,1.388,1.396,1.274,1.277,-0.008,0.003,0.994269340974,1.00235478807,1,0.2465,-0.8124,1.14096972323,0.619268823156
39,198412,1984-09-10 00:00:00,1984-12-10 00:00:00,1984-09-10 17:35:00,1984-12-10 17:35:00,198409,198503,1.274,1.277,1.2015,1.201,-0.003,-0.0005,0.997650743931,0.999583853516,1,0.2435,-0.8154,1.13828929318,0.617814002115
