market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
3,198607,1900-01-01 00:00:00,1986-06-19 00:00:00,1900-01-01 18:00:00,1986-06-19 18:00:00,-1,198608,,,115.25,116,,0.75,,1.00650759219,1,0,-539.75,1,0.432223864583
3,198608,1986-06-19 00:00:00,1986-07-25 00:00:00,1986-06-19 18:00:00,1986-07-25 18:00:00,198607,198609,115.25,116,97.75,99.5,-0.75,1.75,0.993534482759,1.0179028133,1,-0.75,-540.5,0.993534482759,0.429429313734
3,198609,1986-07-25 00:00:00,1986-08-26 00:00:00,1986-07-25 18:00:00,1986-08-26 18:00:00,198608,198610,97.75,99.5,133,138,-1.75,5,0.982412060302,1.03759398496,1,-2.5,-542.25,0.976060258187,0.421876536859
3,198610,1986-08-26 00:00:00,1986-09-24 00:00:00,1986-08-26 18:00:00,1986-09-24 18:00:00,198609,198611,133,138,120.25,125.75,-5,5.5,0.963768115942,1.04573804574,1,-7.5,-547.25,0.940695756079,0.406591155089
3,198611,1986-09-24 00:00:00,1986-10-28 00:00:00,1986-09-24 18:00:00,1986-10-28 18:00:00,198610,198612,120.25,125.75,111.5,116.5,-5.5,5,0.956262425447,1.04484304933,1,-13,-552.75,0.899552005316,0.388807844131
3,198612,1986-10-28 00:00:00,1986-11-24 00:00:00,1986-10-28 18:00:00,1986-11-24 18:00:00,198611,198701,111.5,116.5,124,128.75,-5,4.75,0.957081545064,1.03830645161,1,-18,-557.75,0.860944623114,0.372120812194
3,198701,1986-11-24 00:00:00,1986-12-19 00:00:00,1986-11-24 18:00:00,1986-12-19 18:00:00,198612,198702,124,128.75,134,138.25,-4.75,4.25,0.963106796117,1.03171641791,1,-22.75,-562.5,0.829181617601,0.3583920832
3,198702,1986-12-19 00:00:00,1987-01-26 00:00:00,1986-12-19 18:00:00,1987-01-26 18:00:00,198701,198703,134,138.25,162.25,158,-4.25,-4.25,0.969258589512,0.973805855162,1,-27,-566.75,0.803691405125,0.347374605055
3,198703,1987-01-26 00:00:00,1987-02-24 00:00:00,1987-01-26 18:00:00,1987-02-24 18:00:00,198702,198704,162.25,158,134.75,136,4.25,1.25,1.02689873418,1.00927643785,1,-22.75,-562.5,0.825309686592,0.356718542216
3,198704,1987-02-24 00:00:00,1987-03-25 00:00:00,1987-02-24 18:00:00,1987-03-25 18:00:00,198703,198705,134.75,136,147,146,-1.25,-1,0.990808823529,0.993197278912,1,-24,-563.75,0.81772411962,0.353439879145
