market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
24,197502,1900-01-01 00:00:00,1975-01-24 00:00:00,1900-01-01 17:35:00,1975-01-24 17:35:00,-1,197504,,,179.5,182.2,,2.7,,1.01504178273,1,0,1146.1,1,10.0394001575
24,197504,1975-01-24 00:00:00,1975-03-21 00:00:00,1975-01-24 17:35:00,1975-03-21 17:35:00,197502,197506,179.5,182.2,175.6,177.9,-2.7,2.3,0.985181119649,1.01309794989,1,-2.7,1143.4,0.985181119649,9.89062748781
24,197506,1975-03-21 00:00:00,1975-05-22 00:00:00,1975-03-21 17:35:00,1975-05-22 17:35:00,197504,197508,175.6,177.9,173.5,175.7,-2.3,2.2,0.98707138842,1.01268011527,1,-5,1141.1,0.972444095617,9.76275540674
24,197508,1975-05-22 00:00:00,1975-07-24 00:00:00,1975-05-22 17:35:00,1975-07-24 17:35:00,197506,197512,173.5,175.7,166,172,-2.2,6,0.987478656801,1.03614457831,1,-7.2,1138.9,0.960267789355,9.64051259573
24,197512,1975-07-24 00:00:00,1975-11-19 00:00:00,1975-07-24 17:35:00,1975-11-19 17:35:00,197508,197602,166,172,142.9,144.4,-6,1.5,0.96511627907,1.01049685094,1,-13.2,1132.9,0.926770075772,9.30421564472
24,197602,1975-11-19 00:00:00,1976-01-23 00:00:00,1975-11-19 17:35:00,1976-01-23 17:35:00,197512,197604,142.9,144.4,127.9,129.1,-1.5,1.2,0.989612188366,1.00938232995,1,-14.7,1131.4,0.917142962797,9.20756520519
24,197604,1976-01-23 00:00:00,1976-03-24 00:00:00,1976-01-23 17:35:00,1976-03-24 17:35:00,197602,197606,127.9,129.1,133.4,133.4,-1.2,0,0.990704879938,1,1,-15.9,1130.2,0.908618008844,9.12197978113
24,197606,1976-03-24 00:00:00,1976-05-21 00:00:00,1976-03-24 17:35:00,1976-05-21 17:35:00,197604,197608,133.4,133.4,126.2,127.1,0,0.9,1,1.00713153724,1,-15.9,1130.2,0.908618008844,9.12197978113
24,197608,1976-05-21 00:00:00,1976-07-23 00:00:00,1976-05-21 17:35:00,1976-07-23 17:35:00,197606,197612,126.2,127.1,111.2,113.3,-0.9,2.1,0.992918961448,1.01888489209,1,-16.8,1129.3,0.902184049694,9.05738669063
24,197612,1976-07-23 00:00:00,1976-11-22 00:00:00,1976-07-23 17:35:00,1976-11-22 17:35:00,197608,197702,111.2,113.3,135.1,136.1,-2.1,1,0.981465136805,1.0074019245,1,-18.9,1127.2,0.885462191756,8.88950926741
24,197702,1976-11-22 00:00:00,1977-01-24 00:00:00,1976-11-22 17:35:00,1977-01-24 17:35:00,197612,197704,135.1,136.1,132.8,133.7,-1,0.9,0.992652461425,1.00677710843,1,-19.9,1126.2,0.878956224146,8.82419325516
24,197704,1977-01-24 00:00:00,1977-03-24 00:00:00,1977-01-24 17:35:00,1977-03-24 17:35:00,197702,197706,132.8,133.7,153,154.6,-0.9,1.6,0.993268511593,1.01045751634,1,-20.8,1125.3,0.873039540513,8.76479330057
24,197706,1977-03-24 00:00:00,1977-05-23 00:00:00,1977-03-24 17:35:00,1977-05-23 17:35:00,197704,197708,153,154.6,145.3,146.6,-1.6,1.3,0.989650711514,1.00894700619,1,-22.4,1123.7,0.864004202448,8.67408392617
24,197708,1977-05-23 00:00:00,1977-07-22 00:00:00,1977-05-23 17:35:00,1977-07-22 17:35:00,197706,197712,145.3,146.6,145.3,147.7,-1.3,2.4,0.991132332879,1.0165175499,1,-23.7,1122.4,0.856342500789,8.59716503733
24,197712,1977-07-22 00:00:00,1977-11-22 00:00:00,1977-07-22 17:35:00,1977-11-22 17:35:00,197708,197802,145.3,147.7,155.9,157.9,-2.4,2,0.98375084631,1.01282873637,1,-26.1,1120,0.842427659883,8.45746838134
24,197802,1977-11-22 00:00:00,1978-01-24 00:00:00,1977-11-22 17:35:00,1978-01-24 17:35:00,197712,197804,155.9,157.9,176.7,179.3,-2,2.6,0.987333755541,1.01471420487,1,-28.1,1118,0.831757265204,8.35034401933
24,197804,1978-01-24 00:00:00,1978-03-23 00:00:00,1978-01-24 17:35:00,1978-03-23 17:35:00,197802,197806,176.7,179.3,180.8,183.4,-2.6,2.6,0.985499163413,1.01438053097,1,-30.7,1115.4,0.819696089021,8.22925704526
24,197806,1978-03-23 00:00:00,1978-05-23 00:00:00,1978-03-23 17:35:00,1978-05-23 17:35:00,197804,197808,180.8,183.4,181.8,184.4,-2.6,2.6,0.985823336968,1.01430143014,1,-33.3,1112.8,0.808075533779,8.11259364113
24,197808,1978-05-23 00:00:00,1978-07-24 00:00:00,1978-05-23 17:35:00,1978-07-24 17:35:00,197806,197812,181.8,184.4,193.8,200,-2.6,6.2,0.98590021692,1.03199174407,1,-35.9,1110.2,0.79668184404,7.99820783057
24,197812,1978-07-24 00:00:00,1978-11-22 00:00:00,1978-07-24 17:35:00,1978-11-22 17:35:00,197808,197902,193.8,200,201.4,205,-6.2,3.6,0.969,1.01787487587,1,-42.1,1104,0.771984706875,7.75026338782
24,197902,1978-11-22 00:00:00,1979-01-24 00:00:00,1978-11-22 17:35:00,1979-01-24 17:35:00,197812,197904,201.4,205,238.2,242.7,-3.6,4.5,0.98243902439,1.01889168766,1,-45.7,1100.4,0.758427902266,7.6141612015
24,197904,1979-01-24 00:00:00,1979-03-23 00:00:00,1979-01-24 17:35:00,1979-03-23 17:35:00,197902,197906,238.2,242.7,241.8,246.4,-4.5,4.6,0.981458590853,1.01902398677,1,-50.2,1095.9,0.744365580222,7.47298392335
24,197906,1979-03-23 00:00:00,1979-05-23 00:00:00,1979-03-23 17:35:00,1979-05-23 17:35:00,197904,197908,241.8,246.4,264.7,269.5,-4.6,4.8,0.981331168831,1.01813373631,1,-54.8,1091.3,0.730469144877,7.33347204816
24,197908,1979-05-23 00:00:00,1979-07-24 00:00:00,1979-05-23 17:35:00,1979-07-24 17:35:00,197906,197912,264.7,269.5,307.1,318.7,-4.8,11.6,0.982189239332,1.03777271247,1,-59.6,1086.5,0.717458933762,7.20285733264
24,197912,1979-07-24 00:00:00,1979-11-23 00:00:00,1979-07-24 17:35:00,1979-11-23 17:35:00,197908,198002,307.1,318.7,394.6,405.5,-11.6,10.9,0.963602133668,1.02762290928,1,-71.2,1074.9,0.691344959392,6.94068869424
24,198002,1979-11-23 00:00:00,1980-01-24 00:00:00,1979-11-23 17:35:00,1980-01-24 17:35:00,197912,198004,394.6,405.5,684,711,-10.9,27,0.973119605425,1.03947368421,1,-82.1,1064,0.672761334097,6.75412024352
24,198004,1980-01-24 00:00:00,1980-03-24 00:00:00,1980-01-24 17:35:00,1980-03-24 17:35:00,198002,198006,684,711,549,566.9,-27,17.9,0.962025316456,1.03260473588,1,-109.1,1037,0.647213435334,6.49763466465
24,198006,1980-03-24 00:00:00,1980-05-22 00:00:00,1980-03-24 17:35:00,1980-05-22 17:35:00,198004,198008,549,566.9,515,522.8,-17.9,7.8,0.968424766273,1.01514563107,1,-127,1019.1,0.626777519842,6.29247033144
24,198008,1980-05-22 00:00:00,1980-07-24 00:00:00,1980-05-22 17:35:00,1980-07-24 17:35:00,198006,198012,515,522.8,639.5,664.1,-7.8,24.6,0.985080336649,1.03846755278,1,-134.8,1011.3,0.617426210249,6.19858879245
24,198012,1980-07-24 00:00:00,1980-11-19 00:00:00,1980-07-24 17:35:00,1980-11-19 17:35:00,198008,198102,639.5,664.1,634,652.8,-24.6,18.8,0.962957385936,1.02965299685,1,-159.4,986.7,0.59455512943,5.96897686007
