market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
17,198903,1900-01-01 00:00:00,1989-02-21 00:00:00,1900-01-01 17:35:00,1989-02-21 17:35:00,-1,198905,,,1.3699,1.3,,-0.0699,,0.948974377692,1,0,-0.271,1,0.69775215713
17,198905,1989-02-21 00:00:00,1989-04-21 00:00:00,1989-02-21 17:35:00,1989-04-21 17:35:00,198903,198907,1.3699,1.3,1.4084,1.3495,0.0699,-0.0589,1.05376923077,0.958179494462,1,0.0699,-0.2011,1.05376923077,0.735269753887
17,198907,1989-04-21 00:00:00,1989-06-23 00:00:00,1989-04-21 17:35:00,1989-06-23 17:35:00,198905,198909,1.4084,1.3495,1.112,1.1195,0.0589,0.0075,1.04364579474,1.00674460432,1,0.1288,-0.1422,1.09976182632,0.767361186642
17,198909,1989-06-23 00:00:00,1989-08-24 00:00:00,1989-06-23 17:35:00,1989-08-24 17:35:00,198907,198912,1.112,1.1195,1.3375,1.3075,-0.0075,-0.03,0.993300580616,0.977570093458,1,0.1213,-0.1497,1.09239406062,0.762220312234
17,198912,1989-08-24 00:00:00,1989-11-22 00:00:00,1989-08-24 17:35:00,1989-11-22 17:35:00,198909,199003,1.3375,1.3075,1.099,1.05,0.03,-0.049,1.02294455067,0.955414012739,1,0.1513,-0.1197,1.1174585515,0.779709114809
17,199003,1989-11-22 00:00:00,1990-02-21 00:00:00,1989-11-22 17:35:00,1990-02-21 17:35:00,198912,199005,1.099,1.05,1.142,1.082,0.049,-0.06,1.04666666667,0.947460595447,1,0.2003,-0.0707,1.16960661723,0.816095540167
17,199005,1990-02-21 00:00:00,1990-04-23 00:00:00,1990-02-21 17:35:00,1990-04-23 17:35:00,199003,199007,1.142,1.082,1.121,1.057,0.06,-0.064,1.05545286506,0.942908117752,1,0.2603,-0.0107,1.23446465516,0.861350376036
17,199007,1990-04-23 00:00:00,1990-06-22 00:00:00,1990-04-23 17:35:00,1990-06-22 17:35:00,199005,199009,1.121,1.057,1.112,1.091,0.064,-0.021,1.0605487228,0.981115107914,1,0.3243,0.0533,1.30920991337,0.913504041189
17,199009,1990-06-22 00:00:00,1990-08-24 00:00:00,1990-06-22 17:35:00,1990-08-24 17:35:00,199007,199012,1.112,1.091,1.2905,1.2355,0.021,-0.055,1.01924839597,0.957380860132,1,0.3453,0.0743,1.33441010418,0.931087528691
17,199012,1990-08-24 00:00:00,1990-11-23 00:00:00,1990-08-24 17:35:00,1990-11-23 17:35:00,199009,199103,1.2905,1.2355,1.155,1.116,0.055,-0.039,1.04451639013,0.966233766234,1,0.4003,0.1293,1.39381322497,0.972536184359
17,199103,1990-11-23 00:00:00,1991-02-21 00:00:00,1990-11-23 17:35:00,1991-02-21 17:35:00,199012,199105,1.155,1.116,1.1115,1.0755,0.039,-0.036,1.03494623656,0.967611336032,1,0.4393,0.1683,1.44252175165,1.00652266392
17,199105,1991-02-21 00:00:00,1991-04-23 00:00:00,1991-02-21 17:35:00,1991-04-23 17:35:00,199103,199107,1.1115,1.0755,1.087,1.077,0.036,-0.01,1.03347280335,0.990800367985,1,0.4753,0.2043,1.49080699857,1.04021379911
17,199107,1991-04-23 00:00:00,1991-06-21 00:00:00,1991-04-23 17:35:00,1991-06-21 17:35:00,199105,199109,1.087,1.077,1.009,0.998,0.01,-0.011,1.00928505107,0.989098116947,1,0.4853,0.2143,1.50464921768,1.04987223736
17,199109,1991-06-21 00:00:00,1991-08-23 00:00:00,1991-06-21 17:35:00,1991-08-23 17:35:00,199107,199112,1.009,0.998,1.011,0.995,0.011,-0.016,1.01102204409,0.984174085064,1,0.4963,0.2253,1.52123352769,1.06144397545
17,199112,1991-08-23 00:00:00,1991-11-21 00:00:00,1991-08-23 17:35:00,1991-11-21 17:35:00,199109,199203,1.011,0.995,1.0345,1.0244,0.016,-0.0101,1.01608040201,0.990236829386,1,0.5123,0.2413,1.54569557437,1.07851242128
17,199203,1991-11-21 00:00:00,1992-02-21 00:00:00,1991-11-21 17:35:00,1992-02-21 17:35:00,199112,199205,1.0345,1.0244,1.0109,1.0039,0.0101,-0.007,1.00985942991,0.993075477297,1,0.5224,0.2514,1.56093525155,1.08914593891
17,199205,1992-02-21 00:00:00,1992-04-23 00:00:00,1992-02-21 17:35:00,1992-04-23 17:35:00,199203,199207,1.0109,1.0039,1.0009,1.005,0.007,0.0041,1.00697280606,1.00409631332,1,0.5294,0.2584,1.57181935032,1.09674034231
17,199207,1992-04-23 00:00:00,1992-06-23 00:00:00,1992-04-23 17:35:00,1992-06-23 17:35:00,199205,199209,1.0009,1.005,1.048,1.0544,-0.0041,0.0064,0.99592039801,1.00610687023,1,0.5253,0.2543,1.56540695297,1.09226607822
17,199209,1992-06-23 00:00:00,1992-08-24 00:00:00,1992-06-23 17:35:00,1992-08-24 17:35:00,199207,199212,1.048,1.0544,1.137,1.1479,-0.0064,0.0109,0.993930197269,1.00958663149,1,0.5189,0.2479,1.55590524158,1.0856362386
17,199212,1992-08-24 00:00:00,1992-11-20 00:00:00,1992-08-24 17:35:00,1992-11-20 17:35:00,199209,199303,1.137,1.1479,0.9539,0.9644,-0.0109,0.0105,0.990504399338,1.01100744313,1,0.508,0.237,1.54113098673,1.07532747041
17,199303,1992-11-20 00:00:00,1993-02-19 00:00:00,1992-11-20 17:35:00,1993-02-19 17:35:00,199212,199305,0.9539,0.9644,0.9875,0.9944,-0.0105,0.0069,0.989112401493,1.00698734177,1,0.4975,0.2265,1.5243517713,1.06361973665
17,199305,1993-02-19 00:00:00,1993-04-23 00:00:00,1993-02-19 17:35:00,1993-04-23 17:35:00,199303,199307,0.9875,0.9944,0.85,0.8554,-0.0069,0.0054,0.993061142397,1.00635294118,1,0.4906,0.2196,1.51377451143,1.05623943076
