market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
37,197703,1900-01-01 00:00:00,1977-03-04 00:00:00,1900-01-01 17:35:00,1977-03-04 17:35:00,-1,197706,,,0.003543,0.003545,,2e-06,,1.00056449337,1,0,0.009432,1,3.60167999184
37,197706,1977-03-04 00:00:00,1977-06-06 00:00:00,1977-03-04 17:35:00,1977-06-06 17:35:00,197703,197709,0.003543,0.003545,0.003633,0.003637,-2e-06,4e-06,0.999435825106,1.00110101844,1,-2e-06,0.00943,0.999435825106,3.59964801442
37,197709,1977-06-06 00:00:00,1977-09-12 00:00:00,1977-06-06 17:35:00,1977-09-12 17:35:00,197706,197712,0.003633,0.003637,0.003752,0.003766,-4e-06,1.4e-05,0.998900192466,1.00373134328,1,-6e-06,0.009426,0.998336638056,3.59568909441
37,197712,1977-09-12 00:00:00,1977-12-12 00:00:00,1977-09-12 17:35:00,1977-12-12 17:35:00,197709,197803,0.003752,0.003766,0.004134,0.004164,-1.4e-05,3e-05,0.996282527881,1.00725689405,1,-2e-05,0.009412,0.994625349439,3.58232222045
37,197803,1977-12-12 00:00:00,1978-03-06 00:00:00,1977-12-12 17:35:00,1978-03-06 17:35:00,197712,197806,0.004134,0.004164,0.004236,0.004307,-3e-05,7.1e-05,0.992795389049,1.01676109537,1,-5e-05,0.009382,0.987459460754,3.55651298255
37,197806,1978-03-06 00:00:00,1978-06-12 00:00:00,1978-03-06 17:35:00,1978-06-12 17:35:00,197803,197809,0.004236,0.004307,0.004603,0.004664,-7.1e-05,6.1e-05,0.983515207801,1.01325222681,1,-0.000121,0.009311,0.971181396739,3.49788460509
37,197809,1978-06-12 00:00:00,1978-09-11 00:00:00,1978-06-12 17:35:00,1978-09-11 17:35:00,197806,197812,0.004603,0.004664,0.00521,0.005298,-6.1e-05,8.8e-05,0.98692109777,1.01689059501,1,-0.000182,0.00925,0.958479410203,3.45213611432
37,197812,1978-09-11 00:00:00,1978-12-11 00:00:00,1978-09-11 17:35:00,1978-12-11 17:35:00,197809,197903,0.00521,0.005298,0.00511,0.005238,-8.8e-05,0.000128,0.983389958475,1.02504892368,1,-0.00027,0.009162,0.942559027399,3.39479599011
37,197903,1978-12-11 00:00:00,1979-03-12 00:00:00,1978-12-11 17:35:00,1979-03-12 17:35:00,197812,197906,0.00511,0.005238,0.004867,0.004934,-0.000128,6.7e-05,0.975563192058,1.0137661804,1,-0.000398,0.009034,0.919525893472,3.3118380125
37,197906,1979-03-12 00:00:00,1979-06-11 00:00:00,1979-03-12 17:35:00,1979-06-11 17:35:00,197903,197909,0.004867,0.004934,0.004577,0.004629,-6.7e-05,5.2e-05,0.986420753952,1.01136115359,1,-0.000465,0.008967,0.907039425118,3.26686574926
37,197909,1979-06-11 00:00:00,1979-09-10 00:00:00,1979-06-11 17:35:00,1979-09-10 17:35:00,197906,197912,0.004577,0.004629,0.00453,0.004596,-5.2e-05,6.6e-05,0.98876647224,1.01456953642,1,-0.000517,0.008915,0.896850172556,3.23016732218
37,197912,1979-09-10 00:00:00,1979-12-10 00:00:00,1979-09-10 17:35:00,1979-12-10 17:35:00,197909,198003,0.00453,0.004596,0.004278,0.004336,-6.6e-05,5.8e-05,0.985639686684,1.01355773726,1,-0.000583,0.008849,0.883971123081,3.18378110737
37,198003,1979-12-10 00:00:00,1980-03-10 00:00:00,1979-12-10 17:35:00,1980-03-10 17:35:00,197912,198006,0.004278,0.004336,0.004047,0.004096,-5.8e-05,4.9e-05,0.986623616236,1.01210773412,1,-0.000641,0.008791,0.872146786102,3.14119362946
37,198006,1980-03-10 00:00:00,1980-06-09 00:00:00,1980-03-10 17:35:00,1980-06-09 17:35:00,198003,198009,0.004047,0.004096,0.004618,0.004615,-4.9e-05,-3e-06,0.988037109375,0.999350368125,1,-0.00069,0.008742,0.861713389491,3.10361587364
37,198009,1980-06-09 00:00:00,1980-09-08 00:00:00,1980-06-09 17:35:00,1980-09-08 17:35:00,198006,198012,0.004618,0.004615,0.00461,0.004615,3e-06,5e-06,1.00065005417,1.0010845987,1,-0.000687,0.008745,0.862273549875,3.10563339208
37,198012,1980-09-08 00:00:00,1980-12-08 00:00:00,1980-09-08 17:35:00,1980-12-08 17:35:00,198009,198103,0.00461,0.004615,0.004816,0.004918,-5e-06,0.000102,0.998916576381,1.02117940199,1,-0.000692,0.00874,0.861339342345,3.10226867551
37,198103,1980-12-08 00:00:00,1981-03-09 00:00:00,1980-12-08 17:35:00,1981-03-09 17:35:00,198012,198106,0.004816,0.004918,0.004859,0.004954,-0.000102,9.5e-05,0.979259861732,1.01955134801,1,-0.000794,0.008638,0.843475045289,3.03792719424
37,198106,1981-03-09 00:00:00,1981-06-08 00:00:00,1981-03-09 17:35:00,1981-06-08 17:35:00,198103,198109,0.004859,0.004954,0.004397,0.004504,-9.5e-05,0.000107,0.980823576908,1.02433477371,1,-0.000889,0.008543,0.827300210953,2.97967061704
37,198109,1981-06-08 00:00:00,1981-09-04 00:00:00,1981-06-08 17:35:00,1981-09-04 17:35:00,198106,198112,0.004397,0.004504,0.004375,0.004496,-0.000107,0.000121,0.976243339254,1.02765714286,1,-0.000996,0.008436,0.807646320506,2.90888359305
37,198112,1981-09-04 00:00:00,1981-12-07 00:00:00,1981-09-04 17:35:00,1981-12-07 17:35:00,198109,198203,0.004375,0.004496,0.004614,0.004689,-0.000121,7.5e-05,0.973087188612,1.01625487646,1,-0.001117,0.008315,0.785910287414,2.83059735757
