market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
91,200909,1900-01-01 00:00:00,2009-09-11 00:00:00,1900-01-01 18:00:00,2009-09-11 18:00:00,-1,200912,,,892.6,894.2,,1.6,,1.00179251624,1,0,-125.2,1,0.885351213126
91,200912,2009-09-11 00:00:00,2009-12-11 00:00:00,2009-09-11 18:00:00,2009-12-11 18:00:00,200909,201003,892.6,894.2,978.8,980.5,-1.6,1.7,0.998210691121,1.0017368206,1,-1.6,-126.8,0.998210691121,0.883767046339
91,201003,2009-12-11 00:00:00,2010-03-12 00:00:00,2009-12-11 18:00:00,2010-03-12 18:00:00,200912,201006,978.8,980.5,997.4,998.6,-1.7,1.2,0.998266190719,1.00120312813,1,-3.3,-128.5,0.99647998416,0.882234762832
91,201006,2010-03-12 00:00:00,2010-06-11 00:00:00,2010-03-12 18:00:00,2010-06-11 18:00:00,201003,201009,997.4,998.6,925.3,923.5,-1.2,-1.8,0.998798317645,0.998054684967,1,-4.5,-129.7,0.995282531746,0.881174596884
91,201009,2010-06-11 00:00:00,2010-09-10 00:00:00,2010-06-11 18:00:00,2010-09-10 18:00:00,201006,201012,925.3,923.5,1016.7,1016.7,1.8,0,1.00194910666,1,1,-2.7,-127.9,0.997222443556,0.882892100159
91,201012,2010-09-10 00:00:00,2010-12-10 00:00:00,2010-09-10 18:00:00,2010-12-10 18:00:00,201009,201103,1016.7,1016.7,1117.8,1117.9,0,0.1,1,1.00008946144,1,-2.7,-127.9,0.997222443556,0.882892100159
91,201103,2010-12-10 00:00:00,2011-03-11 00:00:00,2010-12-10 18:00:00,2011-03-11 18:00:00,201012,201106,1117.8,1117.9,1114.7,1108.2,-0.1,-6.5,0.999910546561,0.994168834664,1,-2.8,-128,0.997133238579,0.882813122424
91,201106,2011-03-11 00:00:00,2011-06-10 00:00:00,2011-03-11 18:00:00,2011-06-10 18:00:00,201103,201109,1114.7,1108.2,1123.5,1117.1,6.5,-6.4,1.00586536726,0.994303515799,1,3.7,-121.5,1.00298179123,0.887991145611
91,201109,2011-06-10 00:00:00,2011-09-09 00:00:00,2011-06-10 18:00:00,2011-09-09 18:00:00,201106,201112,1123.5,1117.1,968.3,968.2,6.4,-0.1,1.00572912004,0.999896726221,1,10.1,-115.1,1.00872799432,0.893078553481
91,201112,2011-09-09 00:00:00,2011-12-09 00:00:00,2011-09-09 18:00:00,2011-12-09 18:00:00,201109,201203,968.3,968.2,946,945.8,0.1,-0.2,1.00010328445,0.99978858351,1,10.2,-115,1.00883218023,0.893170794604
91,201203,2011-12-09 00:00:00,2012-03-09 00:00:00,2011-12-09 18:00:00,2012-03-09 18:00:00,201112,201206,946,945.8,1062.5,1054.2,0.2,-8.3,1.0002114612,0.992188235294,1,10.4,-114.8,1.00904550909,0.893359665569
91,201206,2012-03-09 00:00:00,2012-06-08 00:00:00,2012-03-09 18:00:00,2012-06-08 18:00:00,201203,201209,1062.5,1054.2,911.1,906,8.3,-5.1,1.00787326883,0.994402370761,1,18.7,-106.5,1.01698999564,0.900393326378
91,201209,2012-06-08 00:00:00,2012-09-14 00:00:00,2012-06-08 18:00:00,2012-09-14 18:00:00,201206,201212,911.1,906,1019.6,1019.2,5.1,-0.4,1.00562913907,0.99960768929,1,23.8,-101.4,1.02271477376,0.905461765632
91,201212,2012-09-14 00:00:00,2012-12-14 00:00:00,2012-09-14 18:00:00,2012-12-14 18:00:00,201209,201303,1019.6,1019.2,1044.8,1043.3,0.4,-1.5,1.00039246468,0.99856431853,1,24.2,-101,1.02311615319,0.905817127393
91,201303,2012-12-14 00:00:00,2013-03-08 00:00:00,2012-12-14 18:00:00,2013-03-08 18:00:00,201212,201306,1044.8,1043.3,1070.9,1062.1,1.5,-8.8,1.00143774561,0.991782612756,1,25.7,-99.5,1.02458713395,0.907119461996
91,201306,2013-03-08 00:00:00,2013-06-14 00:00:00,2013-03-08 18:00:00,2013-06-14 18:00:00,201303,201309,1070.9,1062.1,943.8,938.1,8.8,-5.7,1.00828547218,0.99396058487,1,34.5,-90.7,1.03307632214,0.91463537506
91,201309,2013-06-14 00:00:00,2013-09-13 00:00:00,2013-06-14 18:00:00,2013-09-13 18:00:00,201306,201312,943.8,938.1,994.1,993.1,5.7,-1,1.00607611129,0.998994064983,1,40.2,-85,1.03935340884,0.920192801387
