market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
81,197003,1900-01-01,1970-02-19,,,-1,197009,,,1.725,,,,,,0,,,,
81,197009,1970-02-19,1970-08-24,,,197003,197012,1.725,,1.76875,,,,,,0,,,,
81,197012,1970-08-24,1970-11-20,,,197009,197103,1.76875,,1.85,,,,,,0,,,,
81,197103,1970-11-20,1971-02-19,,,197012,197105,1.85,,1.7425,,,,,,0,,,,
81,197105,1971-02-19,1971-04-23,,,197103,197107,1.7425,,1.6975,,,,,,0,,,,
81,197107,1971-04-23,1971-06-23,,,197105,197109,1.6975,,1.65375,,,,,,0,,,,
81,197109,1971-06-23,1971-08-24,,,197107,197212,1.65375,,1.56125,,,,,,0,,,,
81,197212,1971-08-24,1972-11-22,,,197109,197303,1.56125,,2.105,2.11,,0.005,,1.00237529691,0,,,,
81,197303,1972-11-22,1973-02-21,,,197212,197307,2.105,2.11,2.2275,2.12,-0.005,-0.1075,0.997630331754,0.951739618406,0,,,,
81,197307,1973-02-21,1973-06-22,,,197303,197309,2.2275,2.12,2.61,2.535,0.1075,-0.075,1.05070754717,0.971264367816,0,,,,
81,197309,1973-06-22,1973-08-24,,,197307,197312,2.61,2.535,4.77,4.73,0.075,-0.04,1.02958579882,0.991614255765,0,,,,
81,197312,1973-08-24,1973-11-21,,,197309,197403,4.77,4.73,4.38,4.33,0.04,-0.05,1.00845665962,0.988584474886,0,,,,
81,197403,1973-11-21,1974-02-21,,,197312,197407,4.38,4.33,5.64,5.44,0.05,-0.2,1.01154734411,0.964539007092,0,,,,
81,197407,1974-02-21,1974-06-21,,,197403,197409,5.64,5.44,4.7,4.59,0.2,-0.11,1.03676470588,0.976595744681,0,,,,
81,197409,1974-06-21,1974-08-23,,,197407,197412,4.7,4.59,4.79,4.79,0.11,0,1.02396514161,1,0,,,,
81,197412,1974-08-23,1974-11-20,,,197409,197503,4.79,4.79,5.48,5.52,0,0.04,1,1.00729927007,0,,,,
81,197503,1974-11-20,1975-02-21,,,197412,197507,5.48,5.52,4.15,4.08,-0.04,-0.07,0.992753623188,0.98313253012,0,,,,
81,197507,1975-02-21,1975-06-23,,,197503,197509,4.15,4.08,3.76,3.66,0.07,-0.1,1.01715686275,0.973404255319,0,,,,
81,197509,1975-06-23,1975-08-22,,,197507,197512,3.76,3.66,4.8,4.88,0.1,0.08,1.02732240437,1.01666666667,0,,,,
