market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
32,199606,1900-01-01 00:00:00,1996-06-13 00:00:00,1900-01-01 17:35:00,1996-06-13 17:35:00,-1,199609,,,692.35,701,,8.65,,1.01249368094,1,0,1413.65,1,1.62575960575
32,199609,1996-06-13 00:00:00,1996-09-12 00:00:00,1996-06-13 17:35:00,1996-09-12 17:35:00,199606,199612,692.35,701,687,695,-8.65,8,0.987660485021,1.01164483261,1,-8.65,1405,0.987660485021,1.60569852074
32,199612,1996-09-12 00:00:00,1996-12-12 00:00:00,1996-09-12 17:35:00,1996-12-12 17:35:00,199609,199703,687,695,844,854.25,-8,10.25,0.988489208633,1.01214454976,1,-16.65,1397,0.976291731237,1.58721566007
32,199703,1996-12-12 00:00:00,1997-03-13 00:00:00,1996-12-12 17:35:00,1997-03-13 17:35:00,199612,199706,844,854.25,840.3,851,-10.25,10.7,0.988001170618,1.01273354754,1,-26.9,1386.75,0.964577373326,1.56817093017
32,199706,1997-03-13 00:00:00,1997-06-12 00:00:00,1997-03-13 17:35:00,1997-06-12 17:35:00,199703,199709,840.3,851,953,965.5,-10.7,12.5,0.987426556992,1.01311647429,1,-37.6,1376.05,0.952449314696,1.54845362235
32,199709,1997-06-12 00:00:00,1997-09-11 00:00:00,1997-06-12 17:35:00,1997-09-11 17:35:00,199706,199712,953,965.5,1102,1117,-12.5,15,0.987053340238,1.01361161525,1,-50.1,1363.55,0.940118277478,1.52840632015
32,199712,1997-09-11 00:00:00,1997-12-11 00:00:00,1997-09-11 17:35:00,1997-12-11 17:35:00,199709,199803,1102,1117,1002.5,1016.5,-15,14,0.986571172784,1.01396508728,1,-65.1,1348.55,0.927493591567,1.50788161576
32,199803,1997-12-11 00:00:00,1998-03-12 00:00:00,1997-12-11 17:35:00,1998-03-12 17:35:00,199712,199806,1002.5,1016.5,1166.3,1182.5,-14,16.2,0.986227250369,1.01389007974,1,-79.1,1334.55,0.914719454546,1.48711393979
32,199806,1998-03-12 00:00:00,1998-06-11 00:00:00,1998-03-12 17:35:00,1998-06-11 17:35:00,199803,199809,1166.3,1182.5,1187.15,1202.5,-16.2,15.35,0.986300211416,1.01293012677,1,-95.3,1318.35,0.902187991406,1.46674079322
32,199809,1998-06-11 00:00:00,1998-09-10 00:00:00,1998-06-11 17:35:00,1998-09-10 17:35:00,199806,199812,1187.15,1202.5,1234.5,1250.5,-15.35,16,0.987234927235,1.01296071284,1,-110.65,1303,0.890671496048,1.44801774026
32,199812,1998-09-10 00:00:00,1998-12-10 00:00:00,1998-09-10 17:35:00,1998-12-10 17:35:00,199809,199903,1234.5,1250.5,1652,1672.5,-16,20.5,0.987205117953,1.01240920097,1,-126.65,1287,0.879275459313,1.42949052408
32,199903,1998-12-10 00:00:00,1999-03-11 00:00:00,1998-12-10 17:35:00,1999-03-11 17:35:00,199812,199906,1652,1672.5,2058.5,2080.5,-20.5,22,0.987742899851,1.01068739373,1,-147.15,1266.5,0.868498091949,1.41196911556
