market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
5,199006,1900-01-01 00:00:00,1990-05-14 00:00:00,1900-01-01 17:35:00,1990-05-14 17:35:00,-1,199007,,,1.556,1.62,,0.064,,1.0411311054,1,0,29.562,1,2679.89778715
5,199007,1990-05-14 00:00:00,1990-06-13 00:00:00,1990-05-14 17:35:00,1990-06-13 17:35:00,199006,199008,1.556,1.62,1.545,1.585,-0.064,0.04,0.96049382716,1.02588996764,1,-0.064,29.498,0.96049382716,2574.02528198
5,199008,1990-06-13 00:00:00,1990-07-13 00:00:00,1990-06-13 17:35:00,1990-07-13 17:35:00,199007,199009,1.545,1.585,1.5,1.53,-0.04,0.03,0.97476340694,1.02,1,-0.104,29.458,0.936254235308,2509.06565341
5,199009,1990-07-13 00:00:00,1990-08-15 00:00:00,1990-07-13 17:35:00,1990-08-15 17:35:00,199008,199010,1.5,1.53,1.428,1.54,-0.03,0.112,0.980392156863,1.07843137255,1,-0.134,29.428,0.917896309125,2459.86828766
5,199010,1990-08-15 00:00:00,1990-09-12 00:00:00,1990-08-15 17:35:00,1990-09-12 17:35:00,199009,199011,1.428,1.54,1.543,1.805,-0.112,0.262,0.927272727273,1.16979909268,1,-0.246,29.316,0.851140213916,2280.96877583
5,199011,1990-09-12 00:00:00,1990-10-15 00:00:00,1990-09-12 17:35:00,1990-10-15 17:35:00,199010,199012,1.543,1.805,1.9,2.417,-0.262,0.517,0.854847645429,1.27210526316,1,-0.508,29.054,0.727595207797,1949.88078732
5,199012,1990-10-15 00:00:00,1990-11-13 00:00:00,1990-10-15 17:35:00,1990-11-13 17:35:00,199011,199101,1.9,2.417,2.411,2.76,-0.517,0.349,0.786098469177,1.14475321443,1,-1.025,28.537,0.571961479029,1532.79830199
5,199101,1990-11-13 00:00:00,1990-12-12 00:00:00,1990-11-13 17:35:00,1990-12-12 17:35:00,199012,199102,2.411,2.76,2.204,2.081,-0.349,-0.123,0.873550724638,0.944192377495,1,-1.374,28.188,0.499637364471,1338.97706742
5,199102,1990-12-12 00:00:00,1991-01-15 00:00:00,1990-12-12 17:35:00,1991-01-15 17:35:00,199101,199103,2.204,2.081,1.72,1.603,0.123,-0.117,1.05910619894,0.931976744186,1,-1.251,28.311,0.529169029934,1418.11891235
5,199103,1991-01-15 00:00:00,1991-02-11 00:00:00,1991-01-15 17:35:00,1991-02-11 17:35:00,199102,199104,1.72,1.603,1.353,1.365,0.117,0.012,1.07298814722,1.0088691796,1,-1.134,28.428,0.567792096998,1521.62478431
5,199104,1991-02-11 00:00:00,1991-03-12 00:00:00,1991-02-11 17:35:00,1991-03-12 17:35:00,199103,199105,1.353,1.365,1.375,1.39,-0.012,0.015,0.991208791209,1.01090909091,1,-1.146,28.416,0.562800518123,1508.24786312
5,199105,1991-03-12 00:00:00,1991-04-15 00:00:00,1991-03-12 17:35:00,1991-04-15 17:35:00,199104,199106,1.375,1.39,1.382,1.412,-0.015,0.03,0.989208633094,1.02170767004,1,-1.161,28.401,0.556727131237,1491.97180705
5,199106,1991-04-15 00:00:00,1991-05-15 00:00:00,1991-04-15 17:35:00,1991-05-15 17:35:00,199105,199107,1.382,1.412,1.35,1.36,-0.03,0.01,0.978753541076,1.00740740741,1,-1.191,28.371,0.544898651111,1460.27268933
5,199107,1991-05-15 00:00:00,1991-06-13 00:00:00,1991-05-15 17:35:00,1991-06-13 17:35:00,199106,199108,1.35,1.36,1.293,1.298,-0.01,0.005,0.992647058824,1.00386697602,1,-1.201,28.361,0.540892043383,1449.53539015
5,199108,1991-06-13 00:00:00,1991-07-16 00:00:00,1991-06-13 17:35:00,1991-07-16 17:35:00,199107,199109,1.293,1.298,1.205,1.255,-0.005,0.05,0.996147919877,1.04149377593,1,-1.206,28.356,0.538808483893,1443.95166368
5,199109,1991-07-16 00:00:00,1991-08-15 00:00:00,1991-07-16 17:35:00,1991-08-15 17:35:00,199108,199110,1.205,1.255,1.288,1.426,-0.05,0.138,0.96015936255,1.10714285714,1,-1.256,28.306,0.517342010431,1386.42370896
5,199110,1991-08-15 00:00:00,1991-09-16 00:00:00,1991-08-15 17:35:00,1991-09-16 17:35:00,199109,199111,1.288,1.426,1.595,1.88,-0.138,0.285,0.903225806452,1.17868338558,1,-1.394,28.168,0.467276654583,1252.2536726
5,199111,1991-09-16 00:00:00,1991-10-16 00:00:00,1991-09-16 17:35:00,1991-10-16 17:35:00,199110,199112,1.595,1.88,2.001,2.18,-0.285,0.179,0.848404255319,1.08945527236,1,-1.679,27.883,0.39643950216,1062.41734458
5,199112,1991-10-16 00:00:00,1991-11-13 00:00:00,1991-10-16 17:35:00,1991-11-13 17:35:00,199111,199201,2.001,2.18,2.04,2.155,-0.179,0.115,0.917889908257,1.05637254902,1,-1.858,27.704,0.363887818267,975.182158944
5,199201,1991-11-13 00:00:00,1991-12-13 00:00:00,1991-11-13 17:35:00,1991-12-13 17:35:00,199112,199202,2.04,2.155,1.836,1.52,-0.115,-0.316,0.946635730858,0.82788671024,1,-1.973,27.589,0.344469210795,923.142275752
5,199202,1991-12-13 00:00:00,1992-01-17 00:00:00,1991-12-13 17:35:00,1992-01-17 17:35:00,199201,199203,1.836,1.52,1.246,1.207,0.316,-0.039,1.20789473684,0.968699839486,1,-1.657,27.905,0.416082546724,1115.05869624
5,199203,1992-01-17 00:00:00,1992-02-13 00:00:00,1992-01-17 17:35:00,1992-02-13 17:35:00,199202,199204,1.246,1.207,1.115,1.14,0.039,0.025,1.03231151616,1.02242152466,1,-1.618,27.944,0.429526804655,1151.08793332
5,199204,1992-02-13 00:00:00,1992-03-17 00:00:00,1992-02-13 17:35:00,1992-03-17 17:35:00,199203,199205,1.115,1.14,1.245,1.243,-0.025,-0.002,0.978070175439,0.998393574297,1,-1.643,27.919,0.420107357184,1125.84477688
5,199205,1992-03-17 00:00:00,1992-04-15 00:00:00,1992-03-17 17:35:00,1992-04-15 17:35:00,199204,199206,1.245,1.243,1.34,1.29,0.002,-0.05,1.00160901046,0.962686567164,1,-1.641,27.921,0.420783314316,1127.6562729
5,199206,1992-04-15 00:00:00,1992-05-14 00:00:00,1992-04-15 17:35:00,1992-05-14 17:35:00,199205,199207,1.34,1.29,1.623,1.546,0.05,-0.077,1.03875968992,0.952556993222,1,-1.591,27.971,0.437092745103,1171.36388038
5,199207,1992-05-14 00:00:00,1992-06-19 00:00:00,1992-05-14 17:35:00,1992-06-19 17:35:00,199206,199208,1.623,1.546,1.556,1.527,0.077,-0.029,1.04980595084,0.981362467866,1,-1.514,28.048,0.458862564879,1229.70477222
5,199208,1992-06-19 00:00:00,1992-07-17 00:00:00,1992-06-19 17:35:00,1992-07-17 17:35:00,199207,199209,1.556,1.527,1.714,1.674,0.029,-0.04,1.01899148657,0.97666277713,1,-1.485,28.077,0.467577047119,1253.0586939
5,199209,1992-07-17 00:00:00,1992-08-20 00:00:00,1992-07-17 17:35:00,1992-08-20 17:35:00,199208,199210,1.714,1.674,1.845,1.813,0.04,-0.032,1.0238948626,0.982655826558,1,-1.445,28.117,0.478749736417,1283.00035922
5,199210,1992-08-20 00:00:00,1992-09-16 00:00:00,1992-08-20 17:35:00,1992-09-16 17:35:00,199209,199211,1.845,1.813,2.269,2.349,0.032,0.08,1.01765030336,1.03525782283,1,-1.413,28.149,0.487199814501,1305.64570478
5,199211,1992-09-16 00:00:00,1992-10-16 00:00:00,1992-09-16 17:35:00,1992-10-16 17:35:00,199210,199212,2.269,2.349,2.452,2.383,-0.08,-0.069,0.965942954449,0.971859706362,1,-1.493,28.069,0.470607228226,1261.17926954
5,199212,1992-10-16 00:00:00,1992-11-12 00:00:00,1992-10-16 17:35:00,1992-11-12 17:35:00,199211,199301,2.452,2.383,2.443,2.325,0.069,-0.118,1.02895509862,0.951698731068,1,-1.424,28.138,0.484233706928,1297.69683966
5,199301,1992-11-12 00:00:00,1992-12-15 00:00:00,1992-11-12 17:35:00,1992-12-15 17:35:00,199212,199302,2.443,2.325,2.097,1.79,0.118,-0.307,1.05075268817,0.853600381497,1,-1.306,28.256,0.508809869258,1363.5584427
5,199302,1992-12-15 00:00:00,1993-01-15 00:00:00,1992-12-15 17:35:00,1993-01-15 17:35:00,199301,199303,2.097,1.79,1.647,1.545,0.307,-0.102,1.17150837989,0.938069216758,1,-0.999,28.563,0.596075025606,1597.4201421
5,199303,1993-01-15 00:00:00,1993-02-11 00:00:00,1993-01-15 17:35:00,1993-02-11 17:35:00,199302,199304,1.647,1.545,1.745,1.732,0.102,-0.013,1.06601941748,0.992550143266,1,-0.897,28.665,0.635427551568,1702.88088934
5,199304,1993-02-11 00:00:00,1993-03-22 00:00:00,1993-02-11 17:35:00,1993-03-22 17:35:00,199303,199305,1.745,1.732,2.042,1.924,0.013,-0.118,1.00750577367,0.942213516161,1,-0.884,28.678,0.640196926955,1715.66232789
5,199305,1993-03-22 00:00:00,1993-04-16 00:00:00,1993-03-22 17:35:00,1993-04-16 17:35:00,199304,199306,2.042,1.924,2.391,2.331,0.118,-0.06,1.06133056133,0.974905897114,1,-0.766,28.796,0.679460563847,1820.88486151
5,199306,1993-04-16 00:00:00,1993-05-14 00:00:00,1993-04-16 17:35:00,1993-05-14 17:35:00,199305,199307,2.391,2.331,2.262,2.193,0.06,-0.069,1.02574002574,0.96949602122,1,-0.706,28.856,0.69694989625,1867.75448471
5,199307,1993-05-14 00:00:00,1993-06-16 00:00:00,1993-05-14 17:35:00,1993-06-16 17:35:00,199306,199308,2.262,2.193,2.193,2.215,0.069,0.022,1.03146374829,1.01003191974,1,-0.637,28.925,0.718878552356,1926.52104169
5,199308,1993-06-16 00:00:00,1993-07-16 00:00:00,1993-06-16 17:35:00,1993-07-16 17:35:00,199307,199309,2.193,2.215,2.067,2.059,-0.022,-0.008,0.99006772009,0.996129656507,1,-0.659,28.903,0.711738449353,1907.38629545
5,199309,1993-07-16 00:00:00,1993-08-17 00:00:00,1993-07-16 17:35:00,1993-08-17 17:35:00,199308,199310,2.067,2.059,2.35,2.442,0.008,0.092,1.00388538125,1.03914893617,1,-0.651,28.911,0.714503824581,1914.79721841
5,199310,1993-08-17 00:00:00,1993-09-16 00:00:00,1993-08-17 17:35:00,1993-09-16 17:35:00,199309,199311,2.35,2.442,2.085,2.193,-0.092,0.108,0.962325962326,1.05179856115,1,-0.743,28.819,0.687585580576,1842.65907586
5,199311,1993-09-16 00:00:00,1993-10-15 00:00:00,1993-09-16 17:35:00,1993-10-15 17:35:00,199310,199312,2.085,2.193,2.172,2.31,-0.108,0.138,0.950752393981,1.0635359116,1,-0.851,28.711,0.653723636799,1751.91252767
5,199312,1993-10-15 00:00:00,1993-11-12 00:00:00,1993-10-15 17:35:00,1993-11-12 17:35:00,199311,199401,2.172,2.31,2.233,2.237,-0.138,0.004,0.94025974026,1.00179131214,1,-0.989,28.573,0.614670016938,1647.25281822
5,199401,1993-11-12 00:00:00,1993-12-15 00:00:00,1993-11-12 17:35:00,1993-12-15 17:35:00,199312,199402,2.233,2.237,2.013,1.936,-0.004,-0.077,0.998211890925,0.96174863388,1,-0.993,28.569,0.613570919903,1644.30735051
5,199402,1993-12-15 00:00:00,1994-01-17 00:00:00,1993-12-15 17:35:00,1994-01-17 17:35:00,199401,199403,2.013,1.936,2.36,2.196,0.077,-0.164,1.03977272727,0.930508474576,1,-0.916,28.646,0.637974308763,1709.70593831
5,199403,1994-01-17 00:00:00,1994-02-11 00:00:00,1994-01-17 17:35:00,1994-02-11 17:35:00,199402,199404,2.36,2.196,2.356,2.236,0.164,-0.12,1.07468123862,0.949066213922,1,-0.752,28.81,0.685619020346,1837.38889545
5,199404,1994-02-11 00:00:00,1994-03-17 00:00:00,1994-02-11 17:35:00,1994-03-17 17:35:00,199403,199405,2.356,2.236,2.124,2.164,0.12,0.04,1.05366726297,1.01883239171,1,-0.632,28.93,0.722414316608,1935.99652848
5,199405,1994-03-17 00:00:00,1994-04-15 00:00:00,1994-03-17 17:35:00,1994-04-15 17:35:00,199404,199406,2.124,2.164,2.187,2.196,-0.04,0.009,0.981515711645,1.00411522634,1,-0.672,28.89,0.709061002068,1900.2110104
5,199406,1994-04-15 00:00:00,1994-05-16 00:00:00,1994-04-15 17:35:00,1994-05-16 17:35:00,199405,199407,2.187,2.196,1.913,1.976,-0.009,0.063,0.995901639344,1.03293256665,1,-0.681,28.881,0.706155014355,1892.42326036
5,199407,1994-05-16 00:00:00,1994-06-16 00:00:00,1994-05-16 17:35:00,1994-06-16 17:35:00,199406,199408,1.913,1.976,2.134,2.184,-0.063,0.05,0.968117408907,1.02343017807,1,-0.744,28.818,0.683640962784,1832.08790337
