market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
44,198903,1900-01-01 00:00:00,1989-03-08 00:00:00,1900-01-01 17:35:00,1989-03-08 17:35:00,-1,198906,,,0.612667,0.608369,,-0.004298,,0.992984769867,1,0,-0.52112,1,0.44751474362
44,198906,1989-03-08 00:00:00,1989-06-14 00:00:00,1989-03-08 17:35:00,1989-06-14 17:35:00,198903,198909,0.612667,0.608369,0.561489,0.555085,0.004298,-0.006404,1.00706479127,0.988594611827,1,0.004298,-0.516822,1.00706479127,0.450676341874
44,198909,1989-06-14 00:00:00,1989-09-13 00:00:00,1989-06-14 17:35:00,1989-09-13 17:35:00,198906,198912,0.561489,0.555085,0.59312,0.583677,0.006404,-0.009443,1.01153697182,0.984079107095,1,0.010702,-0.510418,1.01868326938,0.455875782128
44,198912,1989-09-13 00:00:00,1989-12-13 00:00:00,1989-09-13 17:35:00,1989-12-13 17:35:00,198909,199003,0.59312,0.583677,0.599763,0.59087,0.009443,-0.008893,1.01617846857,0.985172476462,1,0.020145,-0.500975,1.03516400464,0.463251154141
44,199003,1989-12-13 00:00:00,1990-03-14 00:00:00,1989-12-13 17:35:00,1990-03-14 17:35:00,198912,199006,0.599763,0.59087,0.587932,0.580965,0.008893,-0.006967,1.01505068797,0.988149990135,1,0.029038,-0.492082,1.05074393507,0.470223402713
44,199006,1990-03-14 00:00:00,1990-06-13 00:00:00,1990-03-14 17:35:00,1990-06-13 17:35:00,199003,199009,0.587932,0.580965,0.581631,0.571904,0.006967,-0.009727,1.01199211656,0.983276338435,1,0.036005,-0.485115,1.06334457882,0.47586237657
44,199009,1990-06-13 00:00:00,1990-09-12 00:00:00,1990-06-13 17:35:00,1990-09-12 17:35:00,199006,199012,0.581631,0.571904,0.620986,0.609276,0.009727,-0.01171,1.01700809926,0.98114289211,1,0.045732,-0.475388,1.08143004896,0.483955891105
44,199012,1990-09-12 00:00:00,1990-12-12 00:00:00,1990-09-12 17:35:00,1990-12-12 17:35:00,199009,199103,0.620986,0.609276,0.600406,0.592604,0.01171,-0.007802,1.01921953269,0.987005459639,1,0.057442,-0.463678,1.10221462914,0.493257297176
44,199103,1990-12-12 00:00:00,1991-03-13 00:00:00,1990-12-12 17:35:00,1991-03-13 17:35:00,199012,199106,0.600406,0.592604,0.59543,0.586469,0.007802,-0.008961,1.01316562156,0.984950372,1,0.065244,-0.455876,1.11672596983,0.499751336083
44,199106,1991-03-13 00:00:00,1991-06-12 00:00:00,1991-03-13 17:35:00,1991-06-12 17:35:00,199103,199109,0.59543,0.586469,0.572051,0.566994,0.008961,-0.005057,1.01527957999,0.991159879102,1,0.074205,-0.446915,1.13378907362,0.5073873266
44,199109,1991-06-12 00:00:00,1991-09-11 00:00:00,1991-06-12 17:35:00,1991-09-11 17:35:00,199106,199112,0.572051,0.566994,0.583815,0.576586,0.005057,-0.007229,1.00891896563,0.987617652852,1,0.079262,-0.441858,1.1439012994,0.511912696728
44,199112,1991-09-11 00:00:00,1991-12-11 00:00:00,1991-09-11 17:35:00,1991-12-11 17:35:00,199109,199203,0.583815,0.576586,0.55395,0.549389,0.007229,-0.004561,1.01253759196,0.99176640491,1,0.086491,-0.434629,1.15824306714,0.518330849241
44,199203,1991-12-11 00:00:00,1992-03-11 00:00:00,1991-12-11 17:35:00,1992-03-11 17:35:00,199112,199206,0.55395,0.549389,0.549182,0.545366,0.004561,-0.003816,1.00830194998,0.993051483843,1,0.091052,-0.430068,1.16785874315,0.522634006027
44,199206,1992-03-11 00:00:00,1992-06-10 00:00:00,1992-03-11 17:35:00,1992-06-10 17:35:00,199203,199209,0.549182,0.545366,0.542704,0.539058,0.003816,-0.003646,1.00699713587,0.993281788968,1,0.094868,-0.426252,1.17603040945,0.526290947176
44,199209,1992-06-10 00:00:00,1992-09-09 00:00:00,1992-06-10 17:35:00,1992-09-09 17:35:00,199206,199212,0.542704,0.539058,0.54171,0.538138,0.003646,-0.003572,1.00676365066,0.993406065976,1,0.098514,-0.422606,1.18398466832,0.529850595291
44,199212,1992-09-09 00:00:00,1992-12-09 00:00:00,1992-09-09 17:35:00,1992-12-09 17:35:00,199209,199303,0.54171,0.538138,0.519068,0.516032,0.003572,-0.003036,1.0066377026,0.994151055353,1,0.102086,-0.419034,1.19184360642,0.533367585963
44,199303,1992-12-09 00:00:00,1993-03-10 00:00:00,1992-12-09 17:35:00,1993-03-10 17:35:00,199212,199306,0.519068,0.516032,0.527743,0.523207,0.003036,-0.004536,1.00588335607,0.991404907313,1,0.105122,-0.415998,1.19885564674,0.536505577388
44,199306,1993-03-10 00:00:00,1993-06-09 00:00:00,1993-03-10 17:35:00,1993-06-09 17:35:00,199303,199309,0.527743,0.523207,0.536886,0.532948,0.004536,-0.003938,1.00866960878,0.992665109539,1,0.109658,-0.411462,1.20924925618,0.541156870852
44,199309,1993-06-09 00:00:00,1993-09-08 00:00:00,1993-06-09 17:35:00,1993-09-08 17:35:00,199306,199312,0.536886,0.532948,0.553217,0.550872,0.003938,-0.002345,1.00738908862,0.995761157014,1,0.113596,-0.407524,1.21818450609,0.545155526926
