market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
76,197301,1900-01-01 00:00:00,1973-01-05 00:00:00,1900-01-01 17:35:00,1973-01-05 17:35:00,-1,197304,,,140.9,143.8,,2.9,,1.02058197303,1,0,597,1,3.74971939078
76,197304,1973-01-05 00:00:00,1973-04-06 00:00:00,1973-01-05 17:35:00,1973-04-06 17:35:00,197301,197307,140.9,143.8,139,143,-2.9,4,0.97983310153,1.02877697842,1,-2.9,594.1,0.97983310153,3.67409918054
76,197307,1973-04-06 00:00:00,1973-07-06 00:00:00,1973-04-06 17:35:00,1973-07-06 17:35:00,197304,197310,139,143,163,168,-4,5,0.972027972028,1.03067484663,1,-6.9,590.1,0.952425182606,3.57132717549
76,197310,1973-07-06 00:00:00,1973-10-04 00:00:00,1973-07-06 17:35:00,1973-10-04 17:35:00,197307,197401,163,168,166,171.5,-5,5.5,0.970238095238,1.03313253012,1,-11.9,585.1,0.924079195028,3.46503767622
76,197401,1973-10-04 00:00:00,1974-01-07 00:00:00,1973-10-04 17:35:00,1974-01-07 17:35:00,197310,197404,166,171.5,166.5,171.5,-5.5,5,0.967930029155,1.03003003003,1,-17.4,579.6,0.894444002185,3.35391401896
76,197404,1974-01-07 00:00:00,1974-04-04 00:00:00,1974-01-07 17:35:00,1974-04-04 17:35:00,197401,197407,166.5,171.5,247.5,253.5,-5,6,0.97084548105,1.02424242424,1,-22.4,574.6,0.868366917573,3.25613226914
76,197407,1974-04-04 00:00:00,1974-07-05 00:00:00,1974-04-04 17:35:00,1974-07-05 17:35:00,197404,197410,247.5,253.5,182,190,-6,8,0.976331360947,1.04395604396,1,-28.4,568.6,0.847813854435,3.17906404975
76,197410,1974-07-05 00:00:00,1974-10-07 00:00:00,1974-07-05 17:35:00,1974-10-07 17:35:00,197407,197501,182,190,185,192.5,-8,7.5,0.957894736842,1.04054054054,1,-36.4,560.6,0.812116428985,3.04520872134
76,197501,1974-10-07 00:00:00,1975-01-07 00:00:00,1974-10-07 17:35:00,1975-01-07 17:35:00,197410,197504,185,192.5,158.5,163.3,-7.5,4.8,0.961038961039,1.03028391167,1,-43.9,553.1,0.780475529155,2.9265642257
76,197504,1975-01-07 00:00:00,1975-04-07 00:00:00,1975-01-07 17:35:00,1975-04-07 17:35:00,197501,197507,158.5,163.3,147,149.8,-4.8,2.8,0.970606246173,1.01904761905,1,-48.7,548.3,0.757534423583,2.84054151729
76,197507,1975-04-07 00:00:00,1975-07-07 00:00:00,1975-04-07 17:35:00,1975-07-07 17:35:00,197504,197510,147,149.8,152.8,156.3,-2.8,3.5,0.981308411215,1.02290575916,1,-51.5,545.5,0.743374901646,2.78744728332
76,197510,1975-07-07 00:00:00,1975-10-07 00:00:00,1975-07-07 17:35:00,1975-10-07 17:35:00,197507,197601,152.8,156.3,147.7,152.1,-3.5,4.4,0.977607165707,1.0297901151,1,-55,542,0.726728630656,2.72502843821
76,197601,1975-10-07 00:00:00,1976-01-07 00:00:00,1975-10-07 17:35:00,1976-01-07 17:35:00,197510,197604,147.7,152.1,146.7,148.9,-4.4,2.2,0.971071663379,1.01499659168,1,-59.4,537.6,0.705705580197,2.64619789825
76,197604,1976-01-07 00:00:00,1976-04-07 00:00:00,1976-01-07 17:35:00,1976-04-07 17:35:00,197601,197607,146.7,148.9,145.6,147.6,-2.2,2,0.98522498321,1.01373626374,1,-61.6,535.4,0.695278768401,2.60710027987
76,197607,1976-04-07 00:00:00,1976-07-07 00:00:00,1976-04-07 17:35:00,1976-07-07 17:35:00,197604,197610,145.6,147.6,180.5,184.3,-2,3.8,0.986449864499,1.02105263158,1,-63.6,533.4,0.685857646878,2.57177371781
76,197610,1976-07-07 00:00:00,1976-10-07 00:00:00,1976-07-07 17:35:00,1976-10-07 17:35:00,197607,197701,180.5,184.3,156,159,-3.8,3,0.979381443299,1.01923076923,1,-67.4,529.6,0.671716252097,2.51874745559
76,197701,1976-10-07 00:00:00,1977-01-07 00:00:00,1976-10-07 17:35:00,1977-01-07 17:35:00,197610,197704,156,159,150.5,152.9,-3,2.4,0.981132075472,1.01594684385,1,-70.4,526.6,0.659042360548,2.47122391869
76,197704,1977-01-07 00:00:00,1977-04-06 00:00:00,1977-01-07 17:35:00,1977-04-06 17:35:00,197701,197707,150.5,152.9,159.8,162.6,-2.4,2.8,0.984303466318,1.01752190238,1,-72.8,524.2,0.648697679937,2.43243426922
76,197707,1977-04-06 00:00:00,1977-07-07 00:00:00,1977-04-06 17:35:00,1977-07-07 17:35:00,197704,197710,159.8,162.6,147.2,149.9,-2.8,2.7,0.982779827798,1.0183423913,1,-75.6,521.4,0.637526994182,2.39054733223
76,197710,1977-07-07 00:00:00,1977-10-07 00:00:00,1977-07-07 17:35:00,1977-10-07 17:35:00,197707,197801,147.2,149.9,152.2,154.9,-2.7,2.7,0.981987991995,1.01773981603,1,-78.3,518.7,0.626043852859,2.34748877455
76,197801,1977-10-07 00:00:00,1978-01-06 00:00:00,1977-10-07 17:35:00,1978-01-06 17:35:00,197710,197804,152.2,154.9,190.5,194.2,-2.7,3.7,0.982569399613,1.01942257218,1,-81,516,0.615131532635,2.3065706358
76,197804,1978-01-06 00:00:00,1978-04-07 00:00:00,1978-01-06 17:35:00,1978-04-07 17:35:00,197801,197807,190.5,194.2,217.7,221.8,-3.7,4.1,0.980947476828,1.01883325678,1,-84.7,512.3,0.603411724856,2.26262464532
76,197807,1978-04-07 00:00:00,1978-07-07 00:00:00,1978-04-07 17:35:00,1978-07-07 17:35:00,197804,197810,217.7,221.8,240.6,245.3,-4.1,4.7,0.981514878269,1.01953449709,1,-88.8,508.2,0.592257585668,2.22079975332
76,197810,1978-07-07 00:00:00,1978-10-06 00:00:00,1978-07-07 17:35:00,1978-10-06 17:35:00,197807,197901,240.6,245.3,295.2,297,-4.7,1.8,0.980839788015,1.00609756098,1,-93.5,503.5,0.580909804776,2.17824875927
76,197901,1978-10-06 00:00:00,1979-01-09 00:00:00,1978-10-06 17:35:00,1979-01-09 17:35:00,197810,197904,295.2,297,345.6,348.7,-1.8,3.1,0.993939393939,1.00896990741,1,-95.3,501.7,0.577389139293,2.16504725163
76,197904,1979-01-09 00:00:00,1979-04-18 00:00:00,1979-01-09 17:35:00,1979-04-18 17:35:00,197901,197907,345.6,348.7,389.7,383.9,-3.1,-5.8,0.991109836536,0.985116756479,1,-98.4,498.6,0.572256055462,2.14579962766
76,197907,1979-04-18 00:00:00,1979-07-19 00:00:00,1979-04-18 17:35:00,1979-07-19 17:35:00,197904,197910,389.7,383.9,416,411.7,5.8,-4.3,1.01510810107,0.989663461538,1,-92.6,504.4,0.580901757785,2.1782185853
76,197910,1979-07-19 00:00:00,1979-10-19 00:00:00,1979-07-19 17:35:00,1979-10-19 17:35:00,197907,198001,416,411.7,505.8,505.8,4.3,0,1.01044449842,1,1,-88.3,508.7,0.586968985277,2.20096898588
76,198001,1979-10-19 00:00:00,1980-01-21 00:00:00,1979-10-19 17:35:00,1980-01-21 17:35:00,197910,198004,505.8,505.8,902,934,0,32,1,1.0354767184,1,-88.3,508.7,0.586968985277,2.20096898588
76,198004,1980-01-21 00:00:00,1980-04-21 00:00:00,1980-01-21 17:35:00,1980-04-21 17:35:00,198001,198007,902,934,530,575.6,-32,45.6,0.96573875803,1.08603773585,1,-120.3,476.7,0.566858698843,2.12556105489
