market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
80,199502,1900-01-01 00:00:00,1995-01-03 00:00:00,1900-01-01 17:35:00,1995-01-03 17:35:00,-1,199505,,,480,486,,6,,1.0125,0,,,,
80,199505,1995-01-03 00:00:00,1995-03-29 00:00:00,1995-01-03 17:35:00,1995-03-29 17:35:00,199502,199508,480,486,409,386,-6,-23,0.987654320988,0.943765281174,0,,,,
80,199508,1995-03-29 00:00:00,1995-06-30 00:00:00,1995-03-29 17:35:00,1995-06-30 17:35:00,199505,199511,409,386,373,385,23,12,1.05958549223,1.03217158177,0,,,,
80,199511,1995-06-30 00:00:00,1995-10-03 00:00:00,1995-06-30 17:35:00,1995-10-03 17:35:00,199508,199602,373,385,393,406,-12,13,0.968831168831,1.03307888041,0,,,,
80,199602,1995-10-03 00:00:00,1996-01-03 00:00:00,1995-10-03 17:35:00,1996-01-03 17:35:00,199511,199605,393,406,414,416,-13,2,0.967980295567,1.00483091787,0,,,,
80,199605,1996-01-03 00:00:00,1996-03-29 00:00:00,1996-01-03 17:35:00,1996-03-29 17:35:00,199602,199608,414,416,409,410,-2,1,0.995192307692,1.00244498778,0,,,,
80,199608,1996-03-29 00:00:00,1996-07-03 00:00:00,1996-03-29 17:35:00,1996-07-03 17:35:00,199605,199611,409,410,450,461,-1,11,0.99756097561,1.02444444444,0,,,,
80,199611,1996-07-03 00:00:00,1996-10-03 00:00:00,1996-07-03 17:35:00,1996-10-03 17:35:00,199608,199702,450,461,476,479,-11,3,0.976138828633,1.00630252101,0,,,,
80,199702,1996-10-03 00:00:00,1997-01-03 00:00:00,1996-10-03 17:35:00,1997-01-03 17:35:00,199611,199705,476,479,448,453,-3,5,0.993736951983,1.01116071429,0,,,,
80,199705,1997-01-03 00:00:00,1997-04-02 00:00:00,1997-01-03 17:35:00,1997-04-02 17:35:00,199702,199708,448,453,484,453,-5,-31,0.988962472406,0.935950413223,0,,,,
80,199708,1997-04-02 00:00:00,1997-07-02 00:00:00,1997-04-02 17:35:00,1997-07-02 17:35:00,199705,199711,484,453,433,439,31,6,1.06843267108,1.01385681293,0,,,,
80,199711,1997-07-02 00:00:00,1997-10-03 00:00:00,1997-07-02 17:35:00,1997-10-03 17:35:00,199708,199802,433,439,470,472,-6,2,0.986332574032,1.00425531915,0,,,,
80,199802,1997-10-03 00:00:00,1998-01-02 00:00:00,1997-10-03 17:35:00,1998-01-02 17:35:00,199711,199805,470,472,526,527,-2,1,0.995762711864,1.00190114068,0,,,,
