market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
113,199706,1900-01-01 00:00:00,1997-05-30 00:00:00,1900-01-01 17:35:00,1997-05-30 17:35:00,-1,199709,,,104.05,103.73,,-0.32,,0.996924555502,1,0,-13.22,1,0.883642255009
113,199709,1997-05-30 00:00:00,1997-09-01 00:00:00,1997-05-30 17:35:00,1997-09-01 17:35:00,199706,199712,104.05,103.73,103.54,103.1,0.32,-0.44,1.00308493204,0.995750434615,1,0.32,-12.9,1.00308493204,0.886368231309
113,199712,1997-09-01 00:00:00,1997-12-01 00:00:00,1997-09-01 17:35:00,1997-12-01 17:35:00,199709,199803,103.54,103.1,103.02,102.58,0.44,-0.44,1.00426770126,0.995728984663,1,0.76,-12.46,1.00736579886,0.890150986127
113,199803,1997-12-01 00:00:00,1998-02-27 00:00:00,1997-12-01 17:35:00,1998-02-27 17:35:00,199712,199806,103.02,102.58,103.6,103.38,0.44,-0.22,1.00428933515,0.997876447876,1,1.2,-12.02,1.0116867284,0.893969142043
113,199806,1998-02-27 00:00:00,1998-05-29 00:00:00,1998-02-27 17:35:00,1998-05-29 17:35:00,199803,199809,103.6,103.38,103.38,103.18,0.22,-0.2,1.00212807119,0.998065389824,1,1.42,-11.8,1.01383966978,0.895871572022
113,199809,1998-05-29 00:00:00,1998-09-01 00:00:00,1998-05-29 17:35:00,1998-09-01 17:35:00,199806,199812,103.38,103.18,104.25,104.28,0.2,0.03,1.00193836015,1.00028776978,1,1.62,-11.6,1.01580485619,0.897608093775
113,199812,1998-09-01 00:00:00,1998-12-01 00:00:00,1998-09-01 17:35:00,1998-12-01 17:35:00,199809,199903,104.25,104.28,104.68,104.8,-0.03,0.12,0.999712313003,1.00114635078,1,1.59,-11.63,1.01551262234,0.897349863598
113,199903,1998-12-01 00:00:00,1999-03-01 00:00:00,1998-12-01 17:35:00,1999-03-01 17:35:00,199812,199906,104.68,104.8,104.73,104.81,-0.12,0.08,0.998854961832,1.000763869,1,1.47,-11.75,1.01434982163,0.896322363754
113,199906,1999-03-01 00:00:00,1999-05-31 00:00:00,1999-03-01 17:35:00,1999-05-31 17:35:00,199903,199909,104.73,104.81,105.48,105.35,-0.08,-0.13,0.999236714054,0.99876753887,1,1.39,-11.83,1.01357558267,0.895638213491
113,199909,1999-05-31 00:00:00,1999-09-01 00:00:00,1999-05-31 17:35:00,1999-09-01 17:35:00,199906,199912,105.48,105.35,104.28,103.69,0.13,-0.59,1.00123398196,0.994342155735,1,1.52,-11.7,1.01482631666,0.896743414894
113,199912,1999-09-01 00:00:00,1999-12-01 00:00:00,1999-09-01 17:35:00,1999-12-01 17:35:00,199909,200003,104.28,103.69,103.32,102.96,0.59,-0.36,1.00569003761,0.996515679443,1,2.11,-11.11,1.02060071657,0.901845918653
113,200003,1999-12-01 00:00:00,2000-03-01 00:00:00,1999-12-01 17:35:00,2000-03-01 17:35:00,199912,200006,103.32,102.96,102.59,102.18,0.36,-0.41,1.0034965035,0.996003509114,1,2.47,-10.75,1.02416925054,0.904999226061
113,200006,2000-03-01 00:00:00,2000-06-01 00:00:00,2000-03-01 17:35:00,2000-06-01 17:35:00,200003,200009,102.59,102.18,101.87,101.52,0.41,-0.35,1.00401252691,0.996564248552,1,2.88,-10.34,1.02827875723,0.908630559812
113,200009,2000-06-01 00:00:00,2000-08-31 00:00:00,2000-06-01 17:35:00,2000-08-31 17:35:00,200006,200012,101.87,101.52,101.28,101.12,0.35,-0.16,1.00344759653,0.998420221169,1,3.23,-9.99,1.0318238475,0.911763151379
113,200012,2000-08-31 00:00:00,2000-11-30 00:00:00,2000-08-31 17:35:00,2000-11-30 17:35:00,200009,200103,101.28,101.12,101.98,102,0.16,0.02,1.00158227848,1.00019611689,1,3.39,-9.83,1.03345648017,0.913205814593
113,200103,2000-11-30 00:00:00,2001-03-01 00:00:00,2000-11-30 17:35:00,2001-03-01 17:35:00,200012,200106,101.98,102,102.69,102.86,-0.02,0.17,0.999803921569,1.00165546791,1,3.37,-9.85,1.03325384165,0.91302675463
113,200106,2001-03-01 00:00:00,2001-05-31 00:00:00,2001-03-01 17:35:00,2001-05-31 17:35:00,200103,200109,102.69,102.86,102.77,102.73,-0.17,-0.04,0.998347268131,0.999610781356,1,3.2,-10.02,1.0315461501,0.911517766216
113,200109,2001-05-31 00:00:00,2001-08-30 00:00:00,2001-05-31 17:35:00,2001-08-30 17:35:00,200106,200112,102.77,102.73,103.5,103.68,0.04,0.18,1.00038937019,1.00173913043,1,3.24,-9.98,1.03194780342,0.911872684065
113,200112,2001-08-30 00:00:00,2001-11-29 00:00:00,2001-08-30 17:35:00,2001-11-29 17:35:00,200109,200203,103.5,103.68,104.34,104.3,-0.18,-0.04,0.998263888889,0.999616637915,1,3.06,-10.16,1.03015622737,0.910289571766
113,200203,2001-11-29 00:00:00,2002-02-28 00:00:00,2001-11-29 17:35:00,2002-02-28 17:35:00,200112,200206,104.34,104.3,103.62,103.3,0.04,-0.32,1.00038350911,0.99691179309,1,3.1,-10.12,1.03055130167,0.910638676108
113,200206,2002-02-28 00:00:00,2002-05-30 00:00:00,2002-02-28 17:35:00,2002-05-30 17:35:00,200203,200209,103.62,103.3,103.02,102.73,0.32,-0.29,1.00309777348,0.997185012619,1,3.42,-9.8,1.03374371616,0.913459628444
113,200209,2002-05-30 00:00:00,2002-08-30 00:00:00,2002-05-30 17:35:00,2002-08-30 17:35:00,200206,200212,103.02,102.73,104.39,104.26,0.29,-0.13,1.0028229339,0.998754669988,1,3.71,-9.51,1.03666190634,0.9160382646
113,200212,2002-08-30 00:00:00,2002-11-29 00:00:00,2002-08-30 17:35:00,2002-11-29 17:35:00,200209,200303,104.39,104.26,105.06,104.84,0.13,-0.22,1.00124688279,0.9979059585,1,3.84,-9.38,1.03795450223,0.91718045695
113,200303,2002-11-29 00:00:00,2003-02-27 00:00:00,2002-11-29 17:35:00,2003-02-27 17:35:00,200212,200306,105.06,104.84,106.27,106.26,0.22,-0.01,1.00209843571,0.999905900066,1,4.06,-9.16,1.04013258303,0.919105101175
113,200306,2003-02-27 00:00:00,2003-05-30 00:00:00,2003-02-27 17:35:00,2003-05-30 17:35:00,200303,200309,106.27,106.26,106.85,106.77,0.01,-0.08,1.00009410879,0.999251286851,1,4.07,-9.15,1.04023046865,0.919191597043
113,200309,2003-05-30 00:00:00,2003-09-01 00:00:00,2003-05-30 17:35:00,2003-09-01 17:35:00,200306,200312,106.85,106.77,105.84,105.45,0.08,-0.39,1.00074927414,0.996315192744,1,4.15,-9.07,1.04100988644,0.919880323537
113,200312,2003-09-01 00:00:00,2003-12-01 00:00:00,2003-09-01 17:35:00,2003-12-01 17:35:00,200309,200403,105.84,105.45,105.45,105,0.39,-0.45,1.00369843528,0.99573257468,1,4.54,-8.68,1.04485999413,0.923282441377
113,200403,2003-12-01 00:00:00,2004-03-01 00:00:00,2003-12-01 17:35:00,2004-03-01 17:35:00,200312,200406,105.45,105,106.57,106.24,0.45,-0.33,1.00428571429,0.996903443746,1,4.99,-8.23,1.04933796553,0.927239366126
113,200406,2004-03-01 00:00:00,2004-06-01 00:00:00,2004-03-01 17:35:00,2004-06-01 17:35:00,200403,200409,106.57,106.24,105.86,105.56,0.33,-0.3,1.0031061747,0.997166068392,1,5.32,-7.9,1.05259739257,0.930119533584
113,200409,2004-06-01 00:00:00,2004-09-01 00:00:00,2004-06-01 17:35:00,2004-09-01 17:35:00,200406,200412,105.86,105.56,106.255,105.96,0.3,-0.295,1.0028419856,0.997223660063,1,5.62,-7.6,1.0555888592,0.932762919906
113,200412,2004-09-01 00:00:00,2004-12-01 00:00:00,2004-09-01 17:35:00,2004-12-01 17:35:00,200409,200503,106.255,105.96,106.48,106.28,0.295,-0.2,1.00278406946,0.998121712998,1,5.915,-7.305,1.05852769191,0.935359796665
113,200503,2004-12-01 00:00:00,2005-03-01 00:00:00,2004-12-01 17:35:00,2005-03-01 17:35:00,200412,200506,106.48,106.28,106.12,105.925,0.2,-0.195,1.0018818216,0.998162457595,1,6.115,-7.105,1.06051965218,0.937119976937
113,200506,2005-03-01 00:00:00,2005-06-01 00:00:00,2005-03-01 17:35:00,2005-06-01 17:35:00,200503,200509,106.12,105.925,106.89,106.71,0.195,-0.18,1.00184092518,0.998316025821,1,6.31,-6.91,1.06247198952,0.938845144702
113,200509,2005-06-01 00:00:00,2005-09-01 00:00:00,2005-06-01 17:35:00,2005-09-01 17:35:00,200506,200512,106.89,106.71,106.725,106.635,0.18,-0.09,1.00168681473,0.999156711174,1,6.49,-6.73,1.06426418292,0.940428802522
113,200512,2005-09-01 00:00:00,2005-12-01 00:00:00,2005-09-01 17:35:00,2005-12-01 17:35:00,200509,200603,106.725,106.635,105.695,105.495,0.09,-0.2,1.00084400056,0.998107762903,1,6.58,-6.64,1.06516242249,0.941222524961
113,200603,2005-12-01 00:00:00,2006-03-01 00:00:00,2005-12-01 17:35:00,2006-03-01 17:35:00,200512,200606,105.695,105.495,105.105,104.85,0.2,-0.255,1.00189582445,0.997573854717,1,6.78,-6.44,1.06718178345,0.943006917634
113,200606,2006-03-01 00:00:00,2006-06-01 00:00:00,2006-03-01 17:35:00,2006-06-01 17:35:00,200603,200609,105.105,104.85,104.475,104.195,0.255,-0.28,1.00243204578,0.997319932998,1,7.035,-6.185,1.0697772184,0.945300353628
113,200609,2006-06-01 00:00:00,2006-08-31 00:00:00,2006-06-01 17:35:00,2006-08-31 17:35:00,200606,200612,104.475,104.195,104.225,104.095,0.28,-0.13,1.00268726906,0.998752698489,1,7.315,-5.905,1.07265199763,0.947840630023
113,200612,2006-08-31 00:00:00,2006-11-30 00:00:00,2006-08-31 17:35:00,2006-11-30 17:35:00,200609,200703,104.225,104.095,103.97,103.955,0.13,-0.015,1.00124885922,0.999855727614,1,7.445,-5.775,1.07399158896,0.949024349528
113,200703,2006-11-30 00:00:00,2007-03-01 00:00:00,2006-11-30 17:35:00,2007-03-01 17:35:00,200612,200706,103.97,103.955,103.615,103.565,0.015,-0.05,1.0001442932,0.999517444385,1,7.46,-5.76,1.07414655865,0.949161287292
113,200706,2007-03-01 00:00:00,2007-05-31 00:00:00,2007-03-01 17:35:00,2007-05-31 17:35:00,200703,200709,103.615,103.565,102.71,102.615,0.05,-0.095,1.00048278859,0.999075065719,1,7.51,-5.71,1.07466514435,0.949619531529
113,200709,2007-05-31 00:00:00,2007-08-30 00:00:00,2007-05-31 17:35:00,2007-08-30 17:35:00,200706,200712,102.71,102.615,103.39,103.48,0.095,0.09,1.00092579058,1.00087049038,1,7.605,-5.615,1.07566005921,0.950498680342
113,200712,2007-08-30 00:00:00,2007-11-29 00:00:00,2007-08-30 17:35:00,2007-11-29 17:35:00,200709,200803,103.39,103.48,103.835,104.015,-0.09,0.18,0.999130266718,1.00173351953,1,7.515,-5.705,1.07472452186,0.949672000006
113,200803,2007-11-29 00:00:00,2008-02-28 00:00:00,2007-11-29 17:35:00,2008-02-28 17:35:00,200712,200806,103.835,104.015,104.65,105.07,-0.18,0.42,0.998269480363,1.00401337793,1,7.335,-5.885,1.07286468997,0.948028573961
113,200806,2008-02-28 00:00:00,2008-05-30 00:00:00,2008-02-28 17:35:00,2008-05-30 17:35:00,200803,200809,104.65,105.07,102.84,102.955,-0.42,0.115,0.99600266489,1.00111824193,1,6.915,-6.305,1.06857609027,0.944238986058
113,200809,2008-05-30 00:00:00,2008-09-01 00:00:00,2008-05-30 17:35:00,2008-09-01 17:35:00,200806,200812,102.84,102.955,103.305,103.645,-0.115,0.34,0.998883007139,1.00329122501,1,6.8,-6.42,1.06738249841,0.943184277851
113,200812,2008-09-01 00:00:00,2008-12-01 00:00:00,2008-09-01 17:35:00,2008-12-01 17:35:00,200809,200903,103.305,103.645,106.695,107.05,-0.34,0.355,0.996719571615,1.0033272412,1,6.46,-6.76,1.06388102656,0.940090229373
113,200903,2008-12-01 00:00:00,2009-02-27 00:00:00,2008-12-01 17:35:00,2009-02-27 17:35:00,200812,200906,106.695,107.05,108.23,108.235,-0.355,0.005,0.99668379262,1.00004619791,1,6.105,-7.115,1.06035297645,0.936972695217
113,200906,2009-02-27 00:00:00,2009-06-01 00:00:00,2009-02-27 17:35:00,2009-06-01 17:35:00,200903,200909,108.23,108.235,108.165,107.82,-0.005,-0.345,0.999953804222,0.996810428512,1,6.1,-7.12,1.06030399262,0.936929411035
113,200909,2009-06-01 00:00:00,2009-09-01 00:00:00,2009-06-01 17:35:00,2009-09-01 17:35:00,200906,200912,108.165,107.82,108.36,107.835,0.345,-0.525,1.00319977741,0.99515503876,1,6.445,-6.775,1.06369672938,0.939927376596
113,200912,2009-09-01 00:00:00,2009-12-01 00:00:00,2009-09-01 17:35:00,2009-12-01 17:35:00,200909,201003,108.36,107.835,108.58,108.09,0.525,-0.49,1.00486854917,0.995487198379,1,6.97,-6.25,1.06887538921,0.944503459247
113,201003,2009-12-01 00:00:00,2010-03-01 00:00:00,2009-12-01 17:35:00,2010-03-01 17:35:00,200912,201006,108.58,108.09,109.16,108.68,0.49,-0.48,1.00453325932,0.995602784903,1,7.46,-5.76,1.07372087853,0.948785138358
113,201006,2010-03-01 00:00:00,2010-06-01 00:00:00,2010-03-01 17:35:00,2010-06-01 17:35:00,201003,201009,109.16,108.68,109.995,109.445,0.48,-0.55,1.004416636,0.994999772717,1,7.94,-5.28,1.07846311282,0.952975576952
113,201009,2010-06-01 00:00:00,2010-09-01 00:00:00,2010-06-01 17:35:00,2010-09-01 17:35:00,201006,201012,109.995,109.445,109.765,109.49,0.55,-0.275,1.0050253552,0.997494647656,1,8.49,-4.73,1.08388277303,0.957764617724
113,201012,2010-09-01 00:00:00,2010-12-01 00:00:00,2010-09-01 17:35:00,2010-12-01 17:35:00,201009,201103,109.765,109.49,109.23,109.01,0.275,-0.22,1.0025116449,0.997985901309,1,8.765,-4.455,1.08660510167,0.960170182341
113,201103,2010-12-01 00:00:00,2011-03-01 00:00:00,2010-12-01 17:35:00,2011-03-01 17:35:00,201012,201106,109.23,109.01,108.05,107.565,0.22,-0.485,1.00201816347,0.995511337344,1,8.985,-4.235,1.08879804839,0.962107962729
113,201106,2011-03-01 00:00:00,2011-06-01 00:00:00,2011-03-01 17:35:00,2011-06-01 17:35:00,201103,201109,108.05,107.565,107.79,107.445,0.485,-0.345,1.00450890159,0.996799332035,1,9.47,-3.75,1.09370733165,0.966446012856
