market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
25,196309,1900-01-01 00:00:00,1963-09-19 00:00:00,1900-01-01 17:35:00,1963-09-19 17:35:00,-1,196312,,,1.293,,,,,,0,,,,
25,196312,1963-09-19 00:00:00,1963-12-20 00:00:00,1963-09-19 17:35:00,1963-12-20 17:35:00,196309,196403,1.293,,1.292,1.293,,0.001,,1.00077399381,1,0,25.671,1,27.0324035302
25,196403,1963-12-20 00:00:00,1964-03-19 00:00:00,1963-12-20 17:35:00,1964-03-19 17:35:00,196312,196405,1.292,1.293,1.292,1.293,-0.001,0.001,0.999226604795,1.00077399381,1,-0.001,25.67,0.999226604795,27.011496799
25,196405,1964-03-19 00:00:00,1964-05-20 00:00:00,1964-03-19 17:35:00,1964-05-20 17:35:00,196403,196407,1.292,1.293,1.29,1.292,-0.001,0.002,0.999226604795,1.0015503876,1,-0.002,25.669,0.99845380773,26.9906062369
25,196407,1964-05-20 00:00:00,1964-07-23 00:00:00,1964-05-20 17:35:00,1964-07-23 17:35:00,196405,196409,1.29,1.292,1.293,1.294,-0.002,0.001,0.998452012384,1.0007733952,1,-0.004,25.667,0.996908213601,26.9488251127
25,196409,1964-07-23 00:00:00,1964-09-22 00:00:00,1964-07-23 17:35:00,1964-09-22 17:35:00,196407,196412,1.293,1.294,1.3,1.327,-0.001,0.027,0.999227202473,1.02076923077,1,-0.005,25.666,0.996137805398,26.9279991273
25,196412,1964-09-22 00:00:00,1964-12-21 00:00:00,1964-09-22 17:35:00,1964-12-21 17:35:00,196409,196503,1.3,1.327,1.289,1.305,-0.027,0.016,0.979653353429,1.01241272304,1,-0.032,25.639,0.975869741536,26.3801046462
25,196503,1964-12-21 00:00:00,1965-03-23 00:00:00,1964-12-21 17:35:00,1965-03-23 17:35:00,196412,196505,1.289,1.305,1.291,1.298,-0.016,0.007,0.987739463602,1.00542215337,1,-0.048,25.623,0.96390505505,26.0566704129
25,196505,1965-03-23 00:00:00,1965-05-20 00:00:00,1965-03-23 17:35:00,1965-05-20 17:35:00,196503,196507,1.291,1.298,1.283,1.292,-0.007,0.009,0.994607087827,1.00701480904,1,-0.055,25.616,0.958706799745,25.9161490779
25,196507,1965-05-20 00:00:00,1965-07-22 00:00:00,1965-05-20 17:35:00,1965-07-22 17:35:00,196505,196509,1.283,1.292,1.285,1.29,-0.009,0.005,0.993034055728,1.00389105058,1,-0.064,25.607,0.952028501604,25.7356186277
25,196509,1965-07-22 00:00:00,1965-09-22 00:00:00,1965-07-22 17:35:00,1965-09-22 17:35:00,196507,196512,1.285,1.29,1.285,1.296,-0.005,0.011,0.996124031008,1.00856031128,1,-0.069,25.602,0.948338468652,25.6358681679
25,196512,1965-09-22 00:00:00,1965-12-22 00:00:00,1965-09-22 17:35:00,1965-12-22 17:35:00,196509,196603,1.285,1.296,1.295,1.297,-0.011,0.002,0.991512345679,1.00154440154,1,-0.08,25.591,0.940289299551,25.4182797806
25,196603,1965-12-22 00:00:00,1966-03-23 00:00:00,1965-12-22 17:35:00,1966-03-23 17:35:00,196512,196605,1.295,1.297,1.287,1.29,-0.002,0.003,0.998457979954,1.00233100233,1,-0.082,25.589,0.938839354602,25.3790842837
25,196605,1966-03-23 00:00:00,1966-05-13 00:00:00,1966-03-23 17:35:00,1966-05-13 17:35:00,196603,196607,1.287,1.29,1.287,1.291,-0.003,0.004,0.997674418605,1.00310800311,1,-0.085,25.586,0.936656007266,25.3200631574
25,196607,1966-05-13 00:00:00,1966-07-13 00:00:00,1966-05-13 17:35:00,1966-07-13 17:35:00,196605,196609,1.287,1.291,1.291,1.3,-0.004,0.009,0.996901626646,1.00697134005,1,-0.089,25.582,0.933753897251,25.2416121484
25,196609,1966-07-13 00:00:00,1966-09-13 00:00:00,1966-07-13 17:35:00,1966-09-13 17:35:00,196607,196612,1.291,1.3,1.297,1.31,-0.009,0.013,0.993076923077,1.0100231303,1,-0.098,25.573,0.927289447193,25.0668625259
25,196612,1966-09-13 00:00:00,1966-12-13 00:00:00,1966-09-13 17:35:00,1966-12-13 17:35:00,196609,196703,1.297,1.31,1.299,1.3,-0.013,0.001,0.990076335878,1.00076982294,1,-0.111,25.56,0.918087338175,24.8181074016
25,196703,1966-12-13 00:00:00,1967-03-13 00:00:00,1966-12-13 17:35:00,1967-03-13 17:35:00,196612,196705,1.299,1.3,1.293,1.303,-0.001,0.01,0.999230769231,1.00773395205,1,-0.112,25.559,0.917381117146,24.7990165497
25,196705,1967-03-13 00:00:00,1967-05-15 00:00:00,1967-03-13 17:35:00,1967-05-15 17:35:00,196703,196707,1.293,1.303,1.305,1.314,-0.01,0.009,0.992325402916,1.00689655172,1,-0.122,25.549,0.910340586699,24.6086940896
25,196707,1967-05-15 00:00:00,1967-07-13 00:00:00,1967-05-15 17:35:00,1967-07-13 17:35:00,196705,196709,1.305,1.314,1.686,1.706,-0.009,0.02,0.993150684932,1.0118623962,1,-0.131,25.54,0.904105377202,24.4401413904
25,196709,1967-07-13 00:00:00,1967-09-20 00:00:00,1967-07-13 17:35:00,1967-09-20 17:35:00,196707,196712,1.686,1.706,1.705,1.731,-0.02,0.026,0.988276670574,1.01524926686,1,-0.151,25.52,0.893506252029,24.1536215617
