market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
10,195911,1900-01-01 00:00:00,1959-10-23 00:00:00,1900-01-01 17:35:00,1959-10-23 17:35:00,-1,196001,,,2.14,2.19,,0.05,,1.02336448598,1,0,-8.64625,1,0.651681468899
10,196001,1959-10-23 00:00:00,1959-12-23 00:00:00,1959-10-23 17:35:00,1959-12-23 17:35:00,195911,196003,2.14,2.19,2.125,2.1575,-0.05,0.0325,0.977168949772,1.01529411765,1,-0.05,-8.69625,0.977168949772,0.63680289655
10,196003,1959-12-23 00:00:00,1960-02-18 00:00:00,1959-12-23 17:35:00,1960-02-18 17:35:00,196001,196005,2.125,2.1575,2.12,2.145,-0.0325,0.025,0.98493626883,1.01179245283,1,-0.0825,-8.72875,0.962449139404,0.627210268908
10,196005,1960-02-18 00:00:00,1960-04-22 00:00:00,1960-02-18 17:35:00,1960-04-22 17:35:00,196003,196007,2.12,2.145,2.12875,2.155,-0.025,0.02625,0.988344988345,1.01233118027,1,-0.1075,-8.75375,0.951231783467,0.619900125914
10,196007,1960-04-22 00:00:00,1960-06-23 00:00:00,1960-04-22 17:35:00,1960-06-23 17:35:00,196005,196011,2.12875,2.155,2.10375,2.08,-0.02625,-0.02375,0.987819025522,0.988710635769,1,-0.13375,-8.78,0.93964485339,0.612349138301
10,196011,1960-06-23 00:00:00,1960-10-21 00:00:00,1960-06-23 17:35:00,1960-10-21 17:35:00,196007,196101,2.10375,2.08,2.16625,2.21375,0.02375,0.0475,1.01141826923,1.02192729371,1,-0.11,-8.75625,0.950373971307,0.619341105625
10,196101,1960-10-21 00:00:00,1960-12-22 00:00:00,1960-10-21 17:35:00,1960-12-22 17:35:00,196011,196103,2.16625,2.21375,2.23625,2.2775,-0.0475,0.04125,0.978543195935,1.01844605925,1,-0.1575,-8.80375,0.929981983216,0.606052024872
10,196103,1960-12-22 00:00:00,1961-02-20 00:00:00,1960-12-22 17:35:00,1961-02-20 17:35:00,196101,196105,2.23625,2.2775,2.7375,2.7825,-0.04125,0.045,0.981888035126,1.01643835616,1,-0.19875,-8.845,0.913138182203,0.595075231886
10,196105,1961-02-20 00:00:00,1961-04-21 00:00:00,1961-02-20 17:35:00,1961-04-21 17:35:00,196103,196107,2.7375,2.7825,3.185,3.2275,-0.045,0.0425,0.983827493261,1.01334379906,1,-0.24375,-8.89,0.898370448798,0.585451373689
10,196107,1961-04-21 00:00:00,1961-06-23 00:00:00,1961-04-21 17:35:00,1961-06-23 17:35:00,196105,196111,3.185,3.2275,2.6775,2.4825,-0.0425,-0.195,0.986831913246,0.927170868347,1,-0.28625,-8.9325,0.886540628791,0.577742099209
10,196111,1961-06-23 00:00:00,1961-10-24 00:00:00,1961-06-23 17:35:00,1961-10-24 17:35:00,196107,196201,2.6775,2.4825,2.42875,2.46625,0.195,0.0375,1.07854984894,1.01544004117,1,-0.09125,-8.7375,0.956178261264,0.62312365383
10,196201,1961-10-24 00:00:00,1961-12-21 00:00:00,1961-10-24 17:35:00,1961-12-21 17:35:00,196111,196203,2.42875,2.46625,2.43875,2.46125,-0.0375,0.0225,0.984794728839,1.00922603793,1,-0.12875,-8.775,0.941639311523,0.613648889707
10,196203,1961-12-21 00:00:00,1962-02-20 00:00:00,1961-12-21 17:35:00,1962-02-20 17:35:00,196201,196205,2.43875,2.46125,2.4025,2.44125,-0.0225,0.03875,0.990858303707,1.01612903226,1,-0.15125,-8.7975,0.93303113092,0.608039097927
10,196205,1962-02-20 00:00:00,1962-04-23 00:00:00,1962-02-20 17:35:00,1962-04-23 17:35:00,196203,196207,2.4025,2.44125,2.51375,2.49625,-0.03875,-0.0175,0.984126984127,0.993038289408,1,-0.19,-8.83625,0.918221112969,0.598387683674
10,196207,1962-04-23 00:00:00,1962-06-22 00:00:00,1962-04-23 17:35:00,1962-06-22 17:35:00,196205,196211,2.51375,2.49625,2.48875,2.34,0.0175,-0.14875,1.00701051577,0.940231039679,1,-0.1725,-8.81875,0.924658316565,0.602582689969
10,196211,1962-06-22 00:00:00,1962-10-24 00:00:00,1962-06-22 17:35:00,1962-10-24 17:35:00,196207,196301,2.48875,2.34,2.4675,2.4825,0.14875,0.015,1.06356837607,1.00607902736,1,-0.02375,-8.67,0.983437344167,0.640887893018
10,196301,1962-10-24 00:00:00,1962-12-20 00:00:00,1962-10-24 17:35:00,1962-12-20 17:35:00,196211,196303,2.4675,2.4825,2.46375,2.48375,-0.015,0.02,0.993957703927,1.00811770675,1,-0.03875,-8.685,0.977495124565,0.637015458619
10,196303,1962-12-20 00:00:00,1963-02-20 00:00:00,1962-12-20 17:35:00,1963-02-20 17:35:00,196301,196305,2.46375,2.48375,2.61625,2.63875,-0.02,0.0225,0.991947659789,1.00860009556,1,-0.05875,-8.705,0.969624001267,0.631885993426
10,196305,1963-02-20 00:00:00,1963-04-23 00:00:00,1963-02-20 17:35:00,1963-04-23 17:35:00,196303,196307,2.61625,2.63875,2.55875,2.56875,-0.0225,0.01,0.991473235433,1.00390815828,1,-0.08125,-8.7275,0.96135624569,0.626498050327
10,196307,1963-04-23 00:00:00,1963-06-21 00:00:00,1963-04-23 17:35:00,1963-06-21 17:35:00,196305,196311,2.55875,2.56875,2.63125,2.55,-0.01,-0.08125,0.996107055961,0.969121140143,1,-0.09125,-8.7375,0.957613739624,0.624059128477
10,196311,1963-06-21 00:00:00,1963-10-24 00:00:00,1963-06-21 17:35:00,1963-10-24 17:35:00,196307,196401,2.63125,2.55,2.705,2.7525,0.08125,0.0475,1.0318627451,1.01756007394,1,-0.01,-8.65625,0.988125942112,0.643943365413
