market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
16,196107,1900-01-01 00:00:00,1961-05-24 00:00:00,1900-01-01 17:35:00,1961-05-24 17:35:00,-1,196110,,,0.0346,0.033,,-0.0016,,0.953757225434,1,0,0.1404,1,59.3182540085
16,196110,1961-05-24 00:00:00,1961-08-24 00:00:00,1961-05-24 17:35:00,1961-08-24 17:35:00,196107,196203,0.0346,0.033,0.0279,0.028,0.0016,0.0001,1.04848484848,1.00358422939,1,0.0016,0.142,1.04848484848,62.1942905665
16,196203,1961-08-24 00:00:00,1962-01-23 00:00:00,1961-08-24 17:35:00,1962-01-23 17:35:00,196110,196205,0.0279,0.028,0.0211,0.0222,-0.0001,0.0011,0.996428571429,1.05213270142,1,0.0015,0.1419,1.04474025974,61.9721681002
16,196205,1962-01-23 00:00:00,1962-03-26 00:00:00,1962-01-23 17:35:00,1962-03-26 17:35:00,196203,196207,0.0211,0.0222,0.0265,0.0286,-0.0011,0.0021,0.95045045045,1.07924528302,1,0.0004,0.1408,0.992973850474,58.9014750862
16,196207,1962-03-26 00:00:00,1962-05-24 00:00:00,1962-03-26 17:35:00,1962-05-24 17:35:00,196205,196210,0.0265,0.0286,0.0247,0.0272,-0.0021,0.0025,0.926573426573,1.1012145749,1,-0.0017,0.1387,0.920063183131,54.5765416008
16,196210,1962-05-24 00:00:00,1962-08-23 00:00:00,1962-05-24 17:35:00,1962-08-23 17:35:00,196207,196303,0.0247,0.0272,0.0335,0.0333,-0.0025,-0.0002,0.908088235294,0.994029850746,1,-0.0042,0.1362,0.835498552329,49.5603153508
16,196303,1962-08-23 00:00:00,1963-01-23 00:00:00,1962-08-23 17:35:00,1963-01-23 17:35:00,196210,196305,0.0335,0.0333,0.056,0.0555,0.0002,-0.0005,1.00600600601,0.991071428571,1,-0.004,0.1364,0.840516561652,49.8579749024
16,196305,1963-01-23 00:00:00,1963-03-25 00:00:00,1963-01-23 17:35:00,1963-03-25 17:35:00,196303,196307,0.056,0.0555,0.0744,0.0752,0.0005,0.0008,1.00900900901,1.01075268817,1,-0.0035,0.1369,0.848088782928,50.3071458475
16,196307,1963-03-25 00:00:00,1963-05-23 00:00:00,1963-03-25 17:35:00,1963-05-23 17:35:00,196305,196403,0.0744,0.0752,0.1295,0.1183,-0.0008,-0.0112,0.989361702128,0.913513513514,1,-0.0043,0.1361,0.839066561833,49.7719634448
16,196403,1963-05-23 00:00:00,1964-01-23 00:00:00,1963-05-23 17:35:00,1964-01-23 17:35:00,196307,196405,0.1295,0.1183,0.1031,0.0981,0.0112,-0.005,1.09467455621,0.951503394762,1,0.0069,0.1473,0.918504816208,54.4841019958
