market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
59,198206,1900-01-01 00:00:00,1982-05-21 00:00:00,1900-01-01 17:35:00,1982-05-21 17:35:00,-1,198209,,,73,72.9375,,-0.0625,,0.999143835616,1,0,-114.390625,1,0.348189192475
59,198209,1982-05-21 00:00:00,1982-08-24 00:00:00,1982-05-21 17:35:00,1982-08-24 17:35:00,198206,198212,73,72.9375,78,77.1875,0.0625,-0.8125,1.00085689803,0.989583333333,1,0.0625,-114.328125,1.00085689803,0.348487555108
59,198212,1982-08-24 00:00:00,1982-11-22 00:00:00,1982-08-24 17:35:00,1982-11-22 17:35:00,198209,198303,78,77.1875,84.4375,83.90625,0.8125,-0.53125,1.01052631579,0.993708364175,1,0.875,-113.515625,1.0113922338,0.352155845162
59,198303,1982-11-22 00:00:00,1983-02-18 00:00:00,1982-11-22 17:35:00,1983-02-18 17:35:00,198212,198306,84.4375,83.90625,84.75,83.75,0.53125,-1,1.00633147114,0.988200589971,1,1.40625,-112.984375,1.01779583453,0.354385509731
59,198306,1983-02-18 00:00:00,1983-05-23 00:00:00,1983-02-18 17:35:00,1983-05-23 17:35:00,198303,198309,84.75,83.75,84.875,84.1875,1,-0.6875,1.01194029851,0.991899852725,1,2.40625,-111.984375,1.02994862062,0.358616978504
59,198309,1983-05-23 00:00:00,1983-08-24 00:00:00,1983-05-23 17:35:00,1983-08-24 17:35:00,198306,198312,84.875,84.1875,80.875,80.09375,0.6875,-0.78125,1.00816629547,0.990340030912,1,3.09375,-111.296875,1.03835948537,0.361545550711
59,198312,1983-08-24 00:00:00,1983-11-22 00:00:00,1983-08-24 17:35:00,1983-11-22 17:35:00,198309,198403,80.875,80.09375,80.71875,80.125,0.78125,-0.59375,1.0097541943,0.992644212156,1,3.875,-110.515625,1.04848784555,0.365072136262
59,198403,1983-11-22 00:00:00,1984-02-22 00:00:00,1983-11-22 17:35:00,1984-02-22 17:35:00,198312,198406,80.71875,80.125,79.21875,78.34375,0.59375,-0.875,1.00741029641,0.988954635108,1,4.46875,-109.921875,1.05625745127,0.367777429004
59,198406,1984-02-22 00:00:00,1984-05-23 00:00:00,1984-02-22 17:35:00,1984-05-23 17:35:00,198403,198409,79.21875,78.34375,72.75,72,0.875,-0.75,1.01116872756,0.989690721649,1,5.34375,-109.046875,1.06805450298,0.371885034912
59,198409,1984-05-23 00:00:00,1984-08-24 00:00:00,1984-05-23 17:35:00,1984-08-24 17:35:00,198406,198412,72.75,72,76.21875,75.71875,0.75,-0.5,1.01041666667,0.993439934399,1,6.09375,-108.296875,1.07918007072,0.375758837359
