market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
60,197712,1900-01-01 00:00:00,1977-11-22 00:00:00,1900-01-01 17:35:00,1977-11-22 17:35:00,-1,197803,,,101.90625,101.5625,,-0.34375,,0.996626801595,1,0,-123.4375,1,0.334956603279
60,197803,1977-11-22 00:00:00,1978-02-21 00:00:00,1977-11-22 17:35:00,1978-02-21 17:35:00,197712,197806,101.90625,101.5625,96.46875,95.90625,0.34375,-0.5625,1.00338461538,0.99416909621,1,0.34375,-123.09375,1.00338461538,0.336090302551
60,197806,1978-02-21 00:00:00,1978-05-23 00:00:00,1978-02-21 17:35:00,1978-05-23 17:35:00,197803,197809,96.46875,95.90625,95.0625,94.3125,0.5625,-0.75,1.00586510264,0.992110453649,1,0.90625,-122.53125,1.00926956914,0.338061506672
60,197809,1978-05-23 00:00:00,1978-08-24 00:00:00,1978-05-23 17:35:00,1978-08-24 17:35:00,197806,197812,95.0625,94.3125,95.40625,95,0.75,-0.40625,1.00795228628,0.99574189322,1,1.65625,-121.78125,1.01729556969,0.340749868554
60,197812,1978-08-24 00:00:00,1978-11-22 00:00:00,1978-08-24 17:35:00,1978-11-22 17:35:00,197809,197903,95.40625,95,92.96875,93.09375,0.40625,0.125,1.00427631579,1.00134453782,1,2.0625,-121.375,1.0216458468,0.342207022597
60,197903,1978-11-22 00:00:00,1979-02-21 00:00:00,1978-11-22 17:35:00,1979-02-21 17:35:00,197812,197906,92.96875,93.09375,89.5625,89.75,-0.125,0.1875,0.998657267539,1.00209351012,1,1.9375,-121.5,1.02027404976,0.34174753012
60,197906,1979-02-21 00:00:00,1979-05-23 00:00:00,1979-02-21 17:35:00,1979-05-23 17:35:00,197903,197909,89.5625,89.75,89.59375,89.71875,-0.1875,0.125,0.99791086351,1.00139518661,1,1.75,-121.6875,1.01814255801,0.341033572884
60,197909,1979-05-23 00:00:00,1979-08-24 00:00:00,1979-05-23 17:35:00,1979-08-24 17:35:00,197906,197912,89.59375,89.71875,89.96875,89.84375,-0.125,-0.125,0.998606757227,0.998610628691,1,1.625,-121.8125,1.01672403825,0.340558430323
60,197912,1979-08-24 00:00:00,1979-11-23 00:00:00,1979-08-24 17:35:00,1979-11-23 17:35:00,197909,198003,89.96875,89.84375,80.875,81.53125,0.125,0.65625,1.00139130435,1.00811437403,1,1.75,-121.6875,1.01813861082,0.341032250748
60,198003,1979-11-23 00:00:00,1980-02-22 00:00:00,1979-11-23 17:35:00,1980-02-22 17:35:00,197912,198006,80.875,81.53125,66.40625,66.8125,-0.65625,0.40625,0.991950939057,1.00611764706,1,1.09375,-122.34375,1.0099435511,0.338287261378
