market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
84,200906,1900-01-01 00:00:00,2009-06-12 00:00:00,1900-01-01 17:35:00,2009-06-12 17:35:00,-1,200907,,,28.4,31.1,,2.7,,1.09507042254,1,0,98.55,1,1142.00345744
84,200907,2009-06-12 00:00:00,2009-07-17 00:00:00,2009-06-12 17:35:00,2009-07-17 17:35:00,200906,200908,28.4,31.1,26.5,30.6,-2.7,4.1,0.913183279743,1.15471698113,1,-2.7,95.85,0.913183279743,1042.85846274
84,200908,2009-07-17 00:00:00,2009-08-14 00:00:00,2009-07-17 17:35:00,2009-08-14 17:35:00,200907,200909,26.5,30.6,28,29.1,-4.1,1.1,0.866013071895,1.03928571429,1,-6.8,91.75,0.790828657294,903.129060873
84,200909,2009-08-14 00:00:00,2009-09-11 00:00:00,2009-08-14 17:35:00,2009-09-11 17:35:00,200908,200910,28,29.1,25.8,28,-1.1,2.2,0.962199312715,1.08527131783,1,-7.9,90.65,0.760934790523,868.990161665
84,200910,2009-09-11 00:00:00,2009-10-16 00:00:00,2009-09-11 17:35:00,2009-10-16 17:35:00,200909,200911,25.8,28,25.5,27.9,-2.2,2.4,0.921428571429,1.09411764706,1,-10.1,88.45,0.701147056982,800.712363248
84,200911,2009-10-16 00:00:00,2009-11-13 00:00:00,2009-10-16 17:35:00,2009-11-13 17:35:00,200910,200912,25.5,27.9,26.2,27.4,-2.4,1.2,0.913978494624,1.04580152672,1,-12.5,86.05,0.64083333165,731.833880388
84,200912,2009-11-13 00:00:00,2009-12-11 00:00:00,2009-11-13 17:35:00,2009-12-11 17:35:00,200911,201001,26.2,27.4,25.4,29.1,-1.2,3.7,0.956204379562,1.14566929134,1,-13.7,84.85,0.612767638293,699.782761539
84,201001,2009-12-11 00:00:00,2010-01-15 00:00:00,2009-12-11 17:35:00,2010-01-15 17:35:00,200912,201002,25.4,29.1,23.3,24.7,-3.7,1.4,0.872852233677,1.06008583691,1,-17.4,81.15,0.534855601809,610.806946498
84,201002,2010-01-15 00:00:00,2010-02-12 00:00:00,2010-01-15 17:35:00,2010-02-12 17:35:00,201001,201003,23.3,24.7,28,27.7,-1.4,-0.3,0.943319838057,0.989285714286,1,-18.8,79.75,0.504539899682,576.186309854
84,201003,2010-02-12 00:00:00,2010-03-12 00:00:00,2010-02-12 17:35:00,2010-03-12 17:35:00,201002,201004,28,27.7,22.3,24.5,0.3,2.2,1.01083032491,1.09865470852,1,-18.5,80.05,0.510004230726,582.426594799
84,201004,2010-03-12 00:00:00,2010-04-16 00:00:00,2010-03-12 17:35:00,2010-04-16 17:35:00,201003,201005,22.3,24.5,21.4,23.2,-2.2,1.8,0.910204081633,1.08411214953,1,-20.7,77.85,0.464207932457,530.127063837
84,201005,2010-04-16 00:00:00,2010-05-14 00:00:00,2010-04-16 17:35:00,2010-05-14 17:35:00,201004,201006,21.4,23.2,38.7,33.8,-1.8,-4.9,0.922413793103,0.87338501292,1,-22.5,76.05,0.428191799766,488.996515781
84,201006,2010-05-14 00:00:00,2010-06-11 00:00:00,2010-05-14 17:35:00,2010-06-11 17:35:00,201005,201007,38.7,33.8,32.3,33,4.9,0.7,1.1449704142,1.02167182663,1,-17.6,80.95,0.490266942336,559.886543217
84,201007,2010-06-11 00:00:00,2010-07-16 00:00:00,2010-06-11 17:35:00,2010-07-16 17:35:00,201006,201008,32.3,33,29.8,32,-0.7,2.2,0.978787878788,1.07382550336,1,-18.3,80.25,0.479867340528,548.010161997
84,201008,2010-07-16 00:00:00,2010-08-13 00:00:00,2010-07-16 17:35:00,2010-08-13 17:35:00,201007,201009,29.8,32,30.15,32.4,-2.2,2.25,0.93125,1.07462686567,1,-20.5,78.05,0.446876460867,510.334463359
84,201009,2010-08-13 00:00:00,2010-09-10 00:00:00,2010-08-13 17:35:00,2010-09-10 17:35:00,201008,201010,30.15,32.4,25.25,28.65,-2.25,3.4,0.930555555556,1.13465346535,1,-22.75,75.8,0.415843373307,474.894570071
84,201010,2010-09-10 00:00:00,2010-10-15 00:00:00,2010-09-10 17:35:00,2010-10-15 17:35:00,201009,201011,25.25,28.65,22.8,25.55,-3.4,2.75,0.881326352531,1.12061403509,1,-26.15,72.4,0.366493723421,418.537099277
84,201011,2010-10-15 00:00:00,2010-11-12 00:00:00,2010-10-15 17:35:00,2010-11-12 17:35:00,201010,201012,22.8,25.55,23.45,23.7,-2.75,0.25,0.892367906067,1.01066098081,1,-28.9,69.65,0.327047236555,373.489074893
84,201012,2010-11-12 00:00:00,2010-12-17 00:00:00,2010-11-12 17:35:00,2010-12-17 17:35:00,201011,201101,23.45,23.7,20.2,22.95,-0.25,2.75,0.989451476793,1.13613861386,1,-29.15,69.4,0.323597371191,369.549316719
84,201101,2010-12-17 00:00:00,2011-01-14 00:00:00,2010-12-17 17:35:00,2011-01-14 17:35:00,201012,201102,20.2,22.95,20.7,23.25,-2.75,2.55,0.880174291939,1.1231884058,1,-31.9,66.65,0.284822087061,325.26780818
