market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
1,198306,1900-01-01 00:00:00,1983-05-11 00:00:00,1900-01-01 17:35:00,1983-05-11 17:35:00,-1,198307,,,29.97,29.72,,-0.25,,0.991658324992,1,0,47,1,1.42933975668
1,198307,1983-05-11 00:00:00,1983-06-10 00:00:00,1983-05-11 17:35:00,1983-06-10 17:35:00,198306,198308,29.97,29.72,30.77,30.63,0.25,-0.14,1.00841184388,0.995450113747,1,0.25,47.25,1.00841184388,1.44136313956
1,198308,1983-06-10 00:00:00,1983-07-11 00:00:00,1983-06-10 17:35:00,1983-07-11 17:35:00,198307,198309,30.77,30.63,31.64,31.46,0.14,-0.18,1.00457068234,0.994310998736,1,0.39,47.39,1.01302097408,1.44795115261
1,198309,1983-07-11 00:00:00,1983-08-11 00:00:00,1983-07-11 17:35:00,1983-08-11 17:35:00,198308,198310,31.64,31.46,31.95,31.96,0.18,0.01,1.00572155118,1.00031298905,1,0.57,47.57,1.01881702543,1.45623567923
1,198310,1983-08-11 00:00:00,1983-09-09 00:00:00,1983-08-11 17:35:00,1983-09-09 17:35:00,198309,198311,31.95,31.96,31.21,31.15,-0.01,-0.06,0.999687108886,0.99807753925,1,0.56,47.56,1.01849824663,1.45578003602
1,198311,1983-09-09 00:00:00,1983-10-11 00:00:00,1983-09-09 17:35:00,1983-10-11 17:35:00,198310,198312,31.21,31.15,30.57,30.45,0.06,-0.12,1.00192616372,0.996074582924,1,0.62,47.62,1.02046004101,1.45858410672
1,198312,1983-10-11 00:00:00,1983-11-09 00:00:00,1983-10-11 17:35:00,1983-11-09 17:35:00,198311,198401,30.57,30.45,30.38,30.2,0.12,-0.18,1.0039408867,0.994075049375,1,0.74,47.74,1.02448155841,1.46433222142
1,198401,1983-11-09 00:00:00,1983-12-09 00:00:00,1983-11-09 17:35:00,1983-12-09 17:35:00,198312,198402,30.38,30.2,29.31,28.93,0.18,-0.38,1.0059602649,0.98703514159,1,0.92,47.92,1.03058773988,1.47306002937
1,198402,1983-12-09 00:00:00,1984-01-11 00:00:00,1983-12-09 17:35:00,1984-01-11 17:35:00,198401,198403,29.31,28.93,29.46,29.24,0.38,-0.22,1.01313515382,0.992532247115,1,1.3,48.3,1.04412466837,1.49240889944
1,198403,1984-01-11 00:00:00,1984-02-09 00:00:00,1984-01-11 17:35:00,1984-02-09 17:35:00,198402,198404,29.46,29.24,29.83,29.6,0.22,-0.23,1.00752393981,0.992289641301,1,1.52,48.52,1.05198059953,1.50363769417
1,198404,1984-02-09 00:00:00,1984-03-09 00:00:00,1984-02-09 17:35:00,1984-03-09 17:35:00,198403,198405,29.83,29.6,30.99,30.84,0.23,-0.15,1.00777027027,0.995159728945,1,1.75,48.75,1.06015477311,1.51532136544
1,198405,1984-03-09 00:00:00,1984-04-10 00:00:00,1984-03-09 17:35:00,1984-04-10 17:35:00,198404,198406,30.99,30.84,30.78,30.67,0.15,-0.11,1.00486381323,0.996426250812,1,1.9,48.9,1.06531116792,1.52269160554
1,198406,1984-04-10 00:00:00,1984-05-11 00:00:00,1984-04-10 17:35:00,1984-05-11 17:35:00,198405,198407,30.78,30.67,30.36,30.45,0.11,0.09,1.00358656668,1.00296442688,1,2.01,49.01,1.06913197745,1.52815284052
1,198407,1984-05-11 00:00:00,1984-06-11 00:00:00,1984-05-11 17:35:00,1984-06-11 17:35:00,198406,198408,30.36,30.45,30.15,30.2,-0.09,0.05,0.997044334975,1.00165837479,1,1.92,48.92,1.06597198146,1.52363613261
1,198408,1984-06-11 00:00:00,1984-07-11 00:00:00,1984-06-11 17:35:00,1984-07-11 17:35:00,198407,198409,30.15,30.2,29.35,29.61,-0.05,0.26,0.998344370861,1.00885860307,1,1.87,48.87,1.06420712719,1.52111355623
1,198409,1984-07-11 00:00:00,1984-08-10 00:00:00,1984-07-11 17:35:00,1984-08-10 17:35:00,198408,198410,29.35,29.61,29.08,29.26,-0.26,0.18,0.991219182709,1.00618982118,1,1.61,48.61,1.05486251884,1.50775693602
