market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
8,195909,1900-01-01 00:00:00,1959-08-21 00:00:00,1900-01-01 17:35:00,1959-08-21 17:35:00,-1,195912,,,1.895,1.95375,,0.05875,,1.03100263852,1,0,18.51125,1,80.5537806307
8,195912,1959-08-21 00:00:00,1959-11-19 00:00:00,1959-08-21 17:35:00,1959-11-19 17:35:00,195909,196003,1.895,1.95375,1.995,2.04125,-0.05875,0.04625,0.969929622521,1.02318295739,1,-0.05875,18.4525,0.969929622521,78.1314980397
8,196003,1959-11-19 00:00:00,1960-02-18 00:00:00,1959-11-19 17:35:00,1960-02-18 17:35:00,195912,196005,1.995,2.04125,1.99625,2.015,-0.04625,0.01875,0.977342314758,1.00939261115,1,-0.105,18.40625,0.947953262427,76.3612191497
8,196005,1960-02-18 00:00:00,1960-04-22 00:00:00,1960-02-18 17:35:00,1960-04-22 17:35:00,196003,196007,1.99625,2.015,2.08875,1.845,-0.01875,-0.24375,0.990694789082,0.883303411131,1,-0.12375,18.3875,0.93913235738,75.6506618995
8,196007,1960-04-22 00:00:00,1960-06-23 00:00:00,1960-04-22 17:35:00,1960-06-23 17:35:00,196005,196009,2.08875,1.845,1.82125,1.85125,0.24375,0.03,1.13211382114,1.01647220316,1,0.12,18.63125,1.06320472167,85.6451599147
8,196009,1960-06-23 00:00:00,1960-08-24 00:00:00,1960-06-23 17:35:00,1960-08-24 17:35:00,196007,196012,1.82125,1.85125,1.86,1.925,-0.03,0.065,0.983794733288,1.03494623656,1,0.09,18.60125,1.04597520558,84.2572572557
8,196012,1960-08-24 00:00:00,1960-11-22 00:00:00,1960-08-24 17:35:00,1960-11-22 17:35:00,196009,196103,1.86,1.925,2.01875,2.04,-0.065,0.02125,0.966233766234,1.01052631579,1,0.025,18.53625,1.01065656228,81.4122070107
8,196103,1960-11-22 00:00:00,1961-02-20 00:00:00,1960-11-22 17:35:00,1961-02-20 17:35:00,196012,196105,2.01875,2.04,2.11375,2.115,-0.02125,0.00125,0.989583333333,1.00059136606,1,0.00375,18.515,1.00012888975,80.5641631877
8,196105,1961-02-20 00:00:00,1961-04-21 00:00:00,1961-02-20 17:35:00,1961-04-21 17:35:00,196103,196107,2.11375,2.115,1.915,1.87625,-0.00125,-0.03875,0.999408983452,0.979765013055,1,0.0025,18.51375,0.99953779703,80.516548434
8,196107,1961-04-21 00:00:00,1961-06-23 00:00:00,1961-04-21 17:35:00,1961-06-23 17:35:00,196105,196109,1.915,1.87625,1.885,1.9225,0.03875,0.0375,1.02065289807,1.0198938992,1,0.04125,18.5525,1.02018114927,82.1794485016
8,196109,1961-06-23 00:00:00,1961-08-24 00:00:00,1961-06-23 17:35:00,1961-08-24 17:35:00,196107,196112,1.885,1.9225,1.97875,2.04625,-0.0375,0.0675,0.980494148244,1.03411244473,1,0.00375,18.515,1.00028164701,80.5764683618
8,196112,1961-08-24 00:00:00,1961-11-22 00:00:00,1961-08-24 17:35:00,1961-11-22 17:35:00,196109,196203,1.97875,2.04625,2.035,2.09,-0.0675,0.055,0.967012828345,1.02702702703,1,-0.06375,18.4475,0.967285184612,77.9184785685
8,196203,1961-11-22 00:00:00,1962-02-20 00:00:00,1961-11-22 17:35:00,1962-02-20 17:35:00,196112,196205,2.035,2.09,2.0025,2.0425,-0.055,0.04,0.973684210526,1.01997503121,1,-0.11875,18.3925,0.941830311333,75.8679922904
8,196205,1962-02-20 00:00:00,1962-04-23 00:00:00,1962-02-20 17:35:00,1962-04-23 17:35:00,196203,196207,2.0025,2.0425,2.10125,2.12625,-0.04,0.025,0.980416156671,1.01189767995,1,-0.15875,18.3525,0.923385654073,74.3822054157
8,196207,1962-04-23 00:00:00,1962-06-22 00:00:00,1962-04-23 17:35:00,1962-06-22 17:35:00,196205,196209,2.10125,2.12625,2.12625,2.15,-0.025,0.02375,0.988242210464,1.01116990006,1,-0.18375,18.3275,0.912528679892,73.5076350992
8,196209,1962-06-22 00:00:00,1962-08-24 00:00:00,1962-06-22 17:35:00,1962-08-24 17:35:00,196207,196212,2.12625,2.15,2.08125,2.15,-0.02375,0.06875,0.988953488372,1.03303303303,1,-0.2075,18.30375,0.902448421219,72.6956321534
8,196212,1962-08-24 00:00:00,1962-11-23 00:00:00,1962-08-24 17:35:00,1962-11-23 17:35:00,196209,196303,2.08125,2.15,2.04375,2.08375,-0.06875,0.04,0.968023255814,1.01957186544,1,-0.27625,18.235,0.873591058913,70.3710625206
8,196303,1962-11-23 00:00:00,1963-02-20 00:00:00,1962-11-23 17:35:00,1963-02-20 17:35:00,196212,196305,2.04375,2.08375,2.055,2.05375,-0.04,-0.00125,0.980803839232,0.999391727494,1,-0.31625,18.195,0.8568214645,69.020208291
8,196305,1963-02-20 00:00:00,1963-04-23 00:00:00,1963-02-20 17:35:00,1963-04-23 17:35:00,196303,196307,2.055,2.05375,2.105,1.895,0.00125,-0.21,1.00060864273,0.900237529691,1,-0.315,18.19625,0.857342962653,69.0622169388
8,196307,1963-04-23 00:00:00,1963-06-21 00:00:00,1963-04-23 17:35:00,1963-06-21 17:35:00,196305,196309,2.105,1.895,1.8725,1.89125,0.21,0.01875,1.11081794195,1.01001335113,1,-0.105,18.40625,0.952351945322,76.7155496866
8,196309,1963-06-21 00:00:00,1963-08-23 00:00:00,1963-06-21 17:35:00,1963-08-23 17:35:00,196307,196312,1.8725,1.89125,1.79375,1.85375,-0.01875,0.06,0.990085922009,1.03344947735,1,-0.12375,18.3875,0.942910253861,75.9549857439
8,196312,1963-08-23 00:00:00,1963-11-20 00:00:00,1963-08-23 17:35:00,1963-11-20 17:35:00,196309,196403,1.79375,1.85375,2.1225,2.1425,-0.06,0.02,0.967633175995,1.00942285041,1,-0.18375,18.3275,0.912391243621,73.496564088
8,196403,1963-11-20 00:00:00,1964-02-20 00:00:00,1963-11-20 17:35:00,1964-02-20 17:35:00,196312,196405,2.1225,2.1425,2.19375,2.13875,-0.02,-0.055,0.990665110852,0.974928774929,1,-0.20375,18.3075,0.903874172502,72.8104818095
8,196405,1964-02-20 00:00:00,1964-04-23 00:00:00,1964-02-20 17:35:00,1964-04-23 17:35:00,196403,196407,2.19375,2.13875,2.03875,1.5325,0.055,-0.50625,1.02571595558,0.751686082158,1,-0.14875,18.3625,0.927118160574,74.6828729256
8,196407,1964-04-23 00:00:00,1964-06-23 00:00:00,1964-04-23 17:35:00,1964-06-23 17:35:00,196405,196409,2.03875,1.5325,1.42625,1.45125,0.50625,0.025,1.33034257749,1.01752848379,1,0.3575,18.86875,1.23338476337,99.353805662
8,196409,1964-06-23 00:00:00,1964-08-24 00:00:00,1964-06-23 17:35:00,1964-08-24 17:35:00,196407,196412,1.42625,1.45125,1.43625,1.48625,-0.025,0.05,0.982773471146,1.03481288077,1,0.3325,18.84375,1.21213782516,97.642284462
8,196412,1964-08-24 00:00:00,1964-11-20 00:00:00,1964-08-24 17:35:00,1964-11-20 17:35:00,196409,196503,1.43625,1.48625,1.51,1.54375,-0.05,0.03375,0.966358284272,1.02235099338,1,0.2825,18.79375,1.17135942902,94.3574304851
8,196503,1964-11-20 00:00:00,1965-02-18 00:00:00,1964-11-20 17:35:00,1965-02-18 17:35:00,196412,196505,1.51,1.54375,1.4875,1.50875,-0.03375,0.02125,0.978137651822,1.01428571429,1,0.24875,18.76,1.14575076134,92.2945554866
8,196505,1965-02-18 00:00:00,1965-04-23 00:00:00,1965-02-18 17:35:00,1965-04-23 17:35:00,196503,196507,1.4875,1.50875,1.475,1.41875,-0.02125,-0.05625,0.985915492958,0.96186440678,1,0.2275,18.73875,1.12961342668,90.9946321699
8,196507,1965-04-23 00:00:00,1965-06-23 00:00:00,1965-04-23 17:35:00,1965-06-23 17:35:00,196505,196509,1.475,1.41875,1.3925,1.41375,0.05625,0.02125,1.03964757709,1.01526032316,1,0.28375,18.795,1.1743998621,94.6023488639
8,196509,1965-06-23 00:00:00,1965-08-24 00:00:00,1965-06-23 17:35:00,1965-08-24 17:35:00,196507,196512,1.3925,1.41375,1.52625,1.565,-0.02125,0.03875,0.984969053935,1.02538902539,1,0.2625,18.77375,1.15674752111,93.1803860605
8,196512,1965-08-24 00:00:00,1965-11-22 00:00:00,1965-08-24 17:35:00,1965-11-22 17:35:00,196509,196603,1.52625,1.565,1.6575,1.6825,-0.03875,0.025,0.975239616613,1.01508295626,1,0.22375,18.735,1.128106009,90.8732039775
8,196603,1965-11-22 00:00:00,1966-02-18 00:00:00,1965-11-22 17:35:00,1966-02-18 17:35:00,196512,196605,1.6575,1.6825,1.67875,1.6825,-0.025,0.00375,0.98514115899,1.00223380491,1,0.19875,18.71,1.11134366117,89.5229334875
8,196605,1966-02-18 00:00:00,1966-04-22 00:00:00,1966-02-18 17:35:00,1966-04-22 17:35:00,196603,196607,1.67875,1.6825,1.6325,1.59,-0.00375,-0.0425,0.997771173848,0.973966309342,1,0.195,18.70625,1.10886666936,89.3234024322
8,196607,1966-04-22 00:00:00,1966-06-23 00:00:00,1966-04-22 17:35:00,1966-06-23 17:35:00,196605,196609,1.6325,1.59,1.875,1.9025,0.0425,0.0275,1.02672955975,1.01466666667,1,0.2375,18.74875,1.13850618725,91.7109776544
8,196609,1966-06-23 00:00:00,1966-08-24 00:00:00,1966-06-23 17:35:00,1966-08-24 17:35:00,196607,196612,1.875,1.9025,1.88,1.95,-0.0275,0.07,0.985545335085,1.03723404255,1,0.21,18.72125,1.12204946181,90.3853262034
8,196612,1966-08-24 00:00:00,1966-11-22 00:00:00,1966-08-24 17:35:00,1966-11-22 17:35:00,196609,196703,1.88,1.95,1.765,1.83375,-0.07,0.06875,0.964102564103,1.03895184136,1,0.14,18.65125,1.08177076318,87.14072475
8,196703,1966-11-22 00:00:00,1967-02-20 00:00:00,1966-11-22 17:35:00,1967-02-20 17:35:00,196612,196705,1.765,1.83375,1.69625,1.725,-0.06875,0.02875,0.962508520791,1.01694915254,1,0.07125,18.5825,1.0412135771,83.8736900797
8,196705,1967-02-20 00:00:00,1967-04-21 00:00:00,1967-02-20 17:35:00,1967-04-21 17:35:00,196703,196707,1.69625,1.725,1.6675,1.66,-0.02875,-0.0075,0.983333333333,0.995502248876,1,0.0425,18.55375,1.02386001749,82.4757952451
8,196707,1967-04-21 00:00:00,1967-06-23 00:00:00,1967-04-21 17:35:00,1967-06-23 17:35:00,196705,196709,1.6675,1.66,1.55625,1.59875,0.0075,0.0425,1.00451807229,1.02730923695,1,0.05,18.56125,1.02848589106,82.8484268501
8,196709,1967-06-23 00:00:00,1967-08-24 00:00:00,1967-06-23 17:35:00,1967-08-24 17:35:00,196707,196712,1.55625,1.59875,1.47375,1.54125,-0.0425,0.0675,0.973416731822,1.04580152672,1,0.0075,18.51875,1.0011453748,80.646044901
8,196712,1967-08-24 00:00:00,1967-11-22 00:00:00,1967-08-24 17:35:00,1967-11-22 17:35:00,196709,196803,1.47375,1.54125,1.43875,1.50125,-0.0675,0.0625,0.956204379562,1.04344048653,1,-0.06,18.45125,0.957299591961,77.1141013287
8,196803,1967-11-22 00:00:00,1968-02-21 00:00:00,1967-11-22 17:35:00,1968-02-21 17:35:00,196712,196805,1.43875,1.50125,1.49,1.51875,-0.0625,0.02875,0.958368026644,1.01929530201,1,-0.1225,18.38875,0.917445320855,73.9036891168
8,196805,1968-02-21 00:00:00,1968-04-23 00:00:00,1968-02-21 17:35:00,1968-04-23 17:35:00,196803,196807,1.49,1.51875,1.365,1.39625,-0.02875,0.03125,0.981069958848,1.02289377289,1,-0.15125,18.36,0.900078043177,72.5046892405
8,196807,1968-04-23 00:00:00,1968-06-21 00:00:00,1968-04-23 17:35:00,1968-06-21 17:35:00,196805,196809,1.365,1.39625,1.28,1.3175,-0.03125,0.0375,0.977618621307,1.029296875,1,-0.1825,18.32875,0.879933055639,70.8819343336
8,196809,1968-06-21 00:00:00,1968-08-23 00:00:00,1968-06-21 17:35:00,1968-08-23 17:35:00,196807,196812,1.28,1.3175,1.18,1.24375,-0.0375,0.06375,0.971537001898,1.05402542373,1,-0.22,18.29125,0.854887522746,68.8644219712
8,196812,1968-08-23 00:00:00,1968-11-21 00:00:00,1968-08-23 17:35:00,1968-11-21 17:35:00,196809,196903,1.18,1.24375,1.2875,1.3375,-0.06375,0.05,0.948743718593,1.03883495146,1,-0.28375,18.2275,0.811069167309,65.3346877797
8,196903,1968-11-21 00:00:00,1969-02-20 00:00:00,1968-11-21 17:35:00,1969-02-20 17:35:00,196812,196905,1.2875,1.3375,1.30875,1.33375,-0.05,0.025,0.96261682243,1.01910219675,1,-0.33375,18.1775,0.780748824606,62.8922695449
8,196905,1969-02-20 00:00:00,1969-04-23 00:00:00,1969-02-20 17:35:00,1969-04-23 17:35:00,196903,196907,1.30875,1.33375,1.29625,1.29125,-0.025,-0.005,0.981255857545,0.996142719383,1,-0.35875,18.1525,0.766114357416,61.7134078852
8,196907,1969-04-23 00:00:00,1969-06-23 00:00:00,1969-04-23 17:35:00,1969-06-23 17:35:00,196905,196909,1.29625,1.29125,1.29625,1.3225,0.005,0.02625,1.00387221684,1.02025072324,1,-0.35375,18.1575,0.769080918335,61.9523755828
8,196909,1969-06-23 00:00:00,1969-08-22 00:00:00,1969-06-23 17:35:00,1969-08-22 17:35:00,196907,196912,1.29625,1.3225,1.26,1.3175,-0.02625,0.0575,0.980151228733,1.04563492063,1,-0.38,18.13125,0.753815607101,60.7226970504
8,196912,1969-08-22 00:00:00,1969-11-20 00:00:00,1969-08-22 17:35:00,1969-11-20 17:35:00,196909,197003,1.26,1.3175,1.405,1.42375,-0.0575,0.01875,0.956356736243,1.01334519573,1,-0.4375,18.07375,0.720916633736,58.072560367
8,197003,1969-11-20 00:00:00,1970-02-19 00:00:00,1969-11-20 17:35:00,1970-02-19 17:35:00,196912,197005,1.405,1.42375,1.53,1.48375,-0.01875,-0.04625,0.986830553117,0.96977124183,1,-0.45625,18.055,0.711422560421,57.3077768679
8,197005,1970-02-19 00:00:00,1970-04-23 00:00:00,1970-02-19 17:35:00,1970-04-23 17:35:00,197003,197007,1.53,1.48375,1.48875,1.39875,0.04625,-0.09,1.03117101938,0.939546599496,1,-0.41,18.10125,0.733598326837,59.094118691
