date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Cocoa_N0,Cocoa_N1,Cocoa_N2,Cocoa_N3,Cocoa_N4,Cocoa_N5,Cocoa_N6
2022-01-03,O,2022-01-03 04:45:00,2022-01-03 13:30:00,2022-01-03 11:48:00,2022-01-03 11:50:00,19,,202203,202205,202207,202209,202212,202303
2022-01-04,O,2022-01-04 04:45:00,2022-01-04 13:30:00,2022-01-04 11:48:00,2022-01-04 11:50:00,18,,202203,202205,202207,202209,202212,202303
2022-01-05,O,2022-01-05 04:45:00,2022-01-05 13:30:00,2022-01-05 11:48:00,2022-01-05 11:50:00,17,,202203,202205,202207,202209,202212,202303
2022-01-06,O,2022-01-06 04:45:00,2022-01-06 13:30:00,2022-01-06 11:48:00,2022-01-06 11:50:00,16,,202203,202205,202207,202209,202212,202303
2022-01-07,O,2022-01-07 04:45:00,2022-01-07 13:30:00,2022-01-07 11:48:00,2022-01-07 11:50:00,15,,202203,202205,202207,202209,202212,202303
2022-01-10,O,2022-01-10 04:45:00,2022-01-10 13:30:00,2022-01-10 11:48:00,2022-01-10 11:50:00,14,,202203,202205,202207,202209,202212,202303
2022-01-11,O,2022-01-11 04:45:00,2022-01-11 13:30:00,2022-01-11 11:48:00,2022-01-11 11:50:00,13,,202203,202205,202207,202209,202212,202303
2022-01-12,O,2022-01-12 04:45:00,2022-01-12 13:30:00,2022-01-12 11:48:00,2022-01-12 11:50:00,12,,202203,202205,202207,202209,202212,202303
2022-01-13,O,2022-01-13 04:45:00,2022-01-13 13:30:00,2022-01-13 11:48:00,2022-01-13 11:50:00,11,,202203,202205,202207,202209,202212,202303
2022-01-14,O,2022-01-14 04:45:00,2022-01-14 13:30:00,2022-01-14 11:48:00,2022-01-14 11:50:00,10,,202203,202205,202207,202209,202212,202303
2022-01-17,X,,,,,,,,,,,,
2022-01-18,O,2022-01-18 04:45:00,2022-01-18 13:30:00,2022-01-18 11:48:00,2022-01-18 11:50:00,9,,202203,202205,202207,202209,202212,202303
2022-01-19,O,2022-01-19 04:45:00,2022-01-19 13:30:00,2022-01-19 11:48:00,2022-01-19 11:50:00,8,,202203,202205,202207,202209,202212,202303
2022-01-20,O,2022-01-20 04:45:00,2022-01-20 13:30:00,2022-01-20 11:48:00,2022-01-20 11:50:00,7,,202203,202205,202207,202209,202212,202303
2022-01-21,O,2022-01-21 04:45:00,2022-01-21 13:30:00,2022-01-21 11:48:00,2022-01-21 11:50:00,6,,202203,202205,202207,202209,202212,202303
2022-01-24,O,2022-01-24 04:45:00,2022-01-24 13:30:00,2022-01-24 11:48:00,2022-01-24 11:50:00,5,,202203,202205,202207,202209,202212,202303
2022-01-25,O,2022-01-25 04:45:00,2022-01-25 13:30:00,2022-01-25 11:48:00,2022-01-25 11:50:00,4,,202203,202205,202207,202209,202212,202303
2022-01-26,O,2022-01-26 04:45:00,2022-01-26 13:30:00,2022-01-26 11:48:00,2022-01-26 11:50:00,3,,202203,202205,202207,202209,202212,202303
2022-01-27,O,2022-01-27 04:45:00,2022-01-27 13:30:00,2022-01-27 11:48:00,2022-01-27 11:50:00,2,,202203,202205,202207,202209,202212,202303
2022-01-28,O,2022-01-28 04:45:00,2022-01-28 13:30:00,2022-01-28 11:48:00,2022-01-28 11:50:00,1,,202203,202205,202207,202209,202212,202303
2022-01-31,O,2022-01-31 04:45:00,2022-01-31 13:30:00,2022-01-31 11:48:00,2022-01-31 11:50:00,0,,202203,202205,202207,202209,202212,202303
2022-02-01,O,2022-02-01 04:45:00,2022-02-01 13:30:00,2022-02-01 11:48:00,2022-02-01 11:50:00,42,202203,202205,202207,202209,202212,202303,202305
2022-02-02,O,2022-02-02 04:45:00,2022-02-02 13:30:00,2022-02-02 11:48:00,2022-02-02 11:50:00,41,202203,202205,202207,202209,202212,202303,202305
2022-02-03,O,2022-02-03 04:45:00,2022-02-03 13:30:00,2022-02-03 11:48:00,2022-02-03 11:50:00,40,202203,202205,202207,202209,202212,202303,202305
2022-02-04,O,2022-02-04 04:45:00,2022-02-04 13:30:00,2022-02-04 11:48:00,2022-02-04 11:50:00,39,202203,202205,202207,202209,202212,202303,202305
2022-02-07,O,2022-02-07 04:45:00,2022-02-07 13:30:00,2022-02-07 11:48:00,2022-02-07 11:50:00,38,202203,202205,202207,202209,202212,202303,202305
2022-02-08,O,2022-02-08 04:45:00,2022-02-08 13:30:00,2022-02-08 11:48:00,2022-02-08 11:50:00,37,202203,202205,202207,202209,202212,202303,202305
2022-02-09,O,2022-02-09 04:45:00,2022-02-09 13:30:00,2022-02-09 11:48:00,2022-02-09 11:50:00,36,202203,202205,202207,202209,202212,202303,202305
2022-02-10,O,2022-02-10 04:45:00,2022-02-10 13:30:00,2022-02-10 11:48:00,2022-02-10 11:50:00,35,202203,202205,202207,202209,202212,202303,202305
2022-02-11,O,2022-02-11 04:45:00,2022-02-11 13:30:00,2022-02-11 11:48:00,2022-02-11 11:50:00,34,202203,202205,202207,202209,202212,202303,202305
2022-02-14,O,2022-02-14 04:45:00,2022-02-14 13:30:00,2022-02-14 11:48:00,2022-02-14 11:50:00,33,202203,202205,202207,202209,202212,202303,202305
2022-02-15,O,2022-02-15 04:45:00,2022-02-15 13:30:00,2022-02-15 11:48:00,2022-02-15 11:50:00,32,202203,202205,202207,202209,202212,202303,202305
2022-02-16,O,2022-02-16 04:45:00,2022-02-16 13:30:00,2022-02-16 11:48:00,2022-02-16 11:50:00,31,202203,202205,202207,202209,202212,202303,202305
2022-02-17,O,2022-02-17 04:45:00,2022-02-17 13:30:00,2022-02-17 11:48:00,2022-02-17 11:50:00,30,202203,202205,202207,202209,202212,202303,202305
