date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Coffee_N0,Coffee_N1,Coffee_N2,Coffee_N3,Coffee_N4,Coffee_N5,Coffee_N6
2022-01-03,O,2022-01-03 04:15:00,2022-01-03 13:30:00,2022-01-03 12:23:00,2022-01-03 12:25:00,27,,202203,202205,202207,202209,202212,202303
2022-01-04,O,2022-01-04 04:15:00,2022-01-04 13:30:00,2022-01-04 12:23:00,2022-01-04 12:25:00,26,,202203,202205,202207,202209,202212,202303
2022-01-05,O,2022-01-05 04:15:00,2022-01-05 13:30:00,2022-01-05 12:23:00,2022-01-05 12:25:00,25,,202203,202205,202207,202209,202212,202303
2022-01-06,O,2022-01-06 04:15:00,2022-01-06 13:30:00,2022-01-06 12:23:00,2022-01-06 12:25:00,24,,202203,202205,202207,202209,202212,202303
2022-01-07,O,2022-01-07 04:15:00,2022-01-07 13:30:00,2022-01-07 12:23:00,2022-01-07 12:25:00,23,,202203,202205,202207,202209,202212,202303
2022-01-10,O,2022-01-10 04:15:00,2022-01-10 13:30:00,2022-01-10 12:23:00,2022-01-10 12:25:00,22,,202203,202205,202207,202209,202212,202303
2022-01-11,O,2022-01-11 04:15:00,2022-01-11 13:30:00,2022-01-11 12:23:00,2022-01-11 12:25:00,21,,202203,202205,202207,202209,202212,202303
2022-01-12,O,2022-01-12 04:15:00,2022-01-12 13:30:00,2022-01-12 12:23:00,2022-01-12 12:25:00,20,,202203,202205,202207,202209,202212,202303
2022-01-13,O,2022-01-13 04:15:00,2022-01-13 13:30:00,2022-01-13 12:23:00,2022-01-13 12:25:00,19,,202203,202205,202207,202209,202212,202303
2022-01-14,O,2022-01-14 04:15:00,2022-01-14 13:30:00,2022-01-14 12:23:00,2022-01-14 12:25:00,18,,202203,202205,202207,202209,202212,202303
2022-01-17,X,,,,,,,,,,,,
2022-01-18,O,2022-01-18 04:15:00,2022-01-18 13:30:00,2022-01-18 12:23:00,2022-01-18 12:25:00,17,,202203,202205,202207,202209,202212,202303
2022-01-19,O,2022-01-19 04:15:00,2022-01-19 13:30:00,2022-01-19 12:23:00,2022-01-19 12:25:00,16,,202203,202205,202207,202209,202212,202303
2022-01-20,O,2022-01-20 04:15:00,2022-01-20 13:30:00,2022-01-20 12:23:00,2022-01-20 12:25:00,15,,202203,202205,202207,202209,202212,202303
2022-01-21,O,2022-01-21 04:15:00,2022-01-21 13:30:00,2022-01-21 12:23:00,2022-01-21 12:25:00,14,,202203,202205,202207,202209,202212,202303
2022-01-24,O,2022-01-24 04:15:00,2022-01-24 13:30:00,2022-01-24 12:23:00,2022-01-24 12:25:00,13,,202203,202205,202207,202209,202212,202303
2022-01-25,O,2022-01-25 04:15:00,2022-01-25 13:30:00,2022-01-25 12:23:00,2022-01-25 12:25:00,12,,202203,202205,202207,202209,202212,202303
2022-01-26,O,2022-01-26 04:15:00,2022-01-26 13:30:00,2022-01-26 12:23:00,2022-01-26 12:25:00,11,,202203,202205,202207,202209,202212,202303
2022-01-27,O,2022-01-27 04:15:00,2022-01-27 13:30:00,2022-01-27 12:23:00,2022-01-27 12:25:00,10,,202203,202205,202207,202209,202212,202303
2022-01-28,O,2022-01-28 04:15:00,2022-01-28 13:30:00,2022-01-28 12:23:00,2022-01-28 12:25:00,9,,202203,202205,202207,202209,202212,202303
2022-01-31,O,2022-01-31 04:15:00,2022-01-31 13:30:00,2022-01-31 12:23:00,2022-01-31 12:25:00,8,,202203,202205,202207,202209,202212,202303
2022-02-01,O,2022-02-01 04:15:00,2022-02-01 13:30:00,2022-02-01 12:23:00,2022-02-01 12:25:00,7,,202203,202205,202207,202209,202212,202303
2022-02-02,O,2022-02-02 04:15:00,2022-02-02 13:30:00,2022-02-02 12:23:00,2022-02-02 12:25:00,6,,202203,202205,202207,202209,202212,202303
2022-02-03,O,2022-02-03 04:15:00,2022-02-03 13:30:00,2022-02-03 12:23:00,2022-02-03 12:25:00,5,,202203,202205,202207,202209,202212,202303
2022-02-04,O,2022-02-04 04:15:00,2022-02-04 13:30:00,2022-02-04 12:23:00,2022-02-04 12:25:00,4,,202203,202205,202207,202209,202212,202303
2022-02-07,O,2022-02-07 04:15:00,2022-02-07 13:30:00,2022-02-07 12:23:00,2022-02-07 12:25:00,3,,202203,202205,202207,202209,202212,202303
2022-02-08,O,2022-02-08 04:15:00,2022-02-08 13:30:00,2022-02-08 12:23:00,2022-02-08 12:25:00,2,,202203,202205,202207,202209,202212,202303
2022-02-09,O,2022-02-09 04:15:00,2022-02-09 13:30:00,2022-02-09 12:23:00,2022-02-09 12:25:00,1,,202203,202205,202207,202209,202212,202303
2022-02-10,O,2022-02-10 04:15:00,2022-02-10 13:30:00,2022-02-10 12:23:00,2022-02-10 12:25:00,0,,202203,202205,202207,202209,202212,202303
2022-02-11,O,2022-02-11 04:15:00,2022-02-11 13:30:00,2022-02-11 12:23:00,2022-02-11 12:25:00,42,202203,202205,202207,202209,202212,202303,202305
2022-02-14,O,2022-02-14 04:15:00,2022-02-14 13:30:00,2022-02-14 12:23:00,2022-02-14 12:25:00,41,202203,202205,202207,202209,202212,202303,202305
2022-02-15,O,2022-02-15 04:15:00,2022-02-15 13:30:00,2022-02-15 12:23:00,2022-02-15 12:25:00,40,202203,202205,202207,202209,202212,202303,202305
2022-02-16,O,2022-02-16 04:15:00,2022-02-16 13:30:00,2022-02-16 12:23:00,2022-02-16 12:25:00,39,202203,202205,202207,202209,202212,202303,202305
2022-02-17,O,2022-02-17 04:15:00,2022-02-17 13:30:00,2022-02-17 12:23:00,2022-02-17 12:25:00,38,202203,202205,202207,202209,202212,202303,202305
2022-02-18,O,2022-02-18 04:15:00,2022-02-18 13:30:00,2022-02-18 12:23:00,2022-02-18 12:25:00,37,202203,202205,202207,202209,202212,202303,202305
2022-02-21,X,,,,,,,,,,,,
2022-02-22,O,2022-02-22 04:15:00,2022-02-22 13:30:00,2022-02-22 12:23:00,2022-02-22 12:25:00,36,202203,202205,202207,202209,202212,202303,202305
2022-02-23,O,2022-02-23 04:15:00,2022-02-23 13:30:00,2022-02-23 12:23:00,2022-02-23 12:25:00,35,202203,202205,202207,202209,202212,202303,202305
2022-02-24,O,2022-02-24 04:15:00,2022-02-24 13:30:00,2022-02-24 12:23:00,2022-02-24 12:25:00,34,202203,202205,202207,202209,202212,202303,202305
2022-02-25,O,2022-02-25 04:15:00,2022-02-25 13:30:00,2022-02-25 12:23:00,2022-02-25 12:25:00,33,202203,202205,202207,202209,202212,202303,202305
2022-02-28,O,2022-02-28 04:15:00,2022-02-28 13:30:00,2022-02-28 12:23:00,2022-02-28 12:25:00,32,202203,202205,202207,202209,202212,202303,202305
2022-03-01,O,2022-03-01 04:15:00,2022-03-01 13:30:00,2022-03-01 12:23:00,2022-03-01 12:25:00,31,202203,202205,202207,202209,202212,202303,202305
2022-03-02,O,2022-03-02 04:15:00,2022-03-02 13:30:00,2022-03-02 12:23:00,2022-03-02 12:25:00,30,202203,202205,202207,202209,202212,202303,202305
2022-03-03,O,2022-03-03 04:15:00,2022-03-03 13:30:00,2022-03-03 12:23:00,2022-03-03 12:25:00,29,202203,202205,202207,202209,202212,202303,202305
2022-03-04,O,2022-03-04 04:15:00,2022-03-04 13:30:00,2022-03-04 12:23:00,2022-03-04 12:25:00,28,202203,202205,202207,202209,202212,202303,202305
