date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Gilt_N0,Gilt_N1,Gilt_N2,Gilt_N3,Gilt_N4,Gilt_N5,Gilt_N6
2022-01-03,X,,,,,,,,,,,,
2022-01-04,O,2022-01-04 03:00:00,2022-01-04 13:00:00,2022-01-04 11:13:00,2022-01-04 11:15:00,33,,202203,202206,202209,202212,202303,202306
2022-01-05,O,2022-01-05 03:00:00,2022-01-05 13:00:00,2022-01-05 11:13:00,2022-01-05 11:15:00,32,,202203,202206,202209,202212,202303,202306
2022-01-06,O,2022-01-06 03:00:00,2022-01-06 13:00:00,2022-01-06 11:13:00,2022-01-06 11:15:00,31,,202203,202206,202209,202212,202303,202306
2022-01-07,O,2022-01-07 03:00:00,2022-01-07 13:00:00,2022-01-07 11:13:00,2022-01-07 11:15:00,30,,202203,202206,202209,202212,202303,202306
2022-01-10,O,2022-01-10 03:00:00,2022-01-10 13:00:00,2022-01-10 11:13:00,2022-01-10 11:15:00,29,,202203,202206,202209,202212,202303,202306
2022-01-11,O,2022-01-11 03:00:00,2022-01-11 13:00:00,2022-01-11 11:13:00,2022-01-11 11:15:00,28,,202203,202206,202209,202212,202303,202306
2022-01-12,O,2022-01-12 03:00:00,2022-01-12 13:00:00,2022-01-12 11:13:00,2022-01-12 11:15:00,27,,202203,202206,202209,202212,202303,202306
2022-01-13,O,2022-01-13 03:00:00,2022-01-13 13:00:00,2022-01-13 11:13:00,2022-01-13 11:15:00,26,,202203,202206,202209,202212,202303,202306
2022-01-14,O,2022-01-14 03:00:00,2022-01-14 13:00:00,2022-01-14 11:13:00,2022-01-14 11:15:00,25,,202203,202206,202209,202212,202303,202306
2022-01-17,O,2022-01-17 03:00:00,2022-01-17 13:00:00,2022-01-17 11:13:00,2022-01-17 11:15:00,24,,202203,202206,202209,202212,202303,202306
2022-01-18,O,2022-01-18 03:00:00,2022-01-18 13:00:00,2022-01-18 11:13:00,2022-01-18 11:15:00,23,,202203,202206,202209,202212,202303,202306
2022-01-19,O,2022-01-19 03:00:00,2022-01-19 13:00:00,2022-01-19 11:13:00,2022-01-19 11:15:00,22,,202203,202206,202209,202212,202303,202306
2022-01-20,O,2022-01-20 03:00:00,2022-01-20 13:00:00,2022-01-20 11:13:00,2022-01-20 11:15:00,21,,202203,202206,202209,202212,202303,202306
2022-01-21,O,2022-01-21 03:00:00,2022-01-21 13:00:00,2022-01-21 11:13:00,2022-01-21 11:15:00,20,,202203,202206,202209,202212,202303,202306
2022-01-24,O,2022-01-24 03:00:00,2022-01-24 13:00:00,2022-01-24 11:13:00,2022-01-24 11:15:00,19,,202203,202206,202209,202212,202303,202306
2022-01-25,O,2022-01-25 03:00:00,2022-01-25 13:00:00,2022-01-25 11:13:00,2022-01-25 11:15:00,18,,202203,202206,202209,202212,202303,202306
2022-01-26,O,2022-01-26 03:00:00,2022-01-26 13:00:00,2022-01-26 11:13:00,2022-01-26 11:15:00,17,,202203,202206,202209,202212,202303,202306
2022-01-27,O,2022-01-27 03:00:00,2022-01-27 13:00:00,2022-01-27 11:13:00,2022-01-27 11:15:00,16,,202203,202206,202209,202212,202303,202306
2022-01-28,O,2022-01-28 03:00:00,2022-01-28 13:00:00,2022-01-28 11:13:00,2022-01-28 11:15:00,15,,202203,202206,202209,202212,202303,202306
