date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Rapeseed_N0,Rapeseed_N1,Rapeseed_N2,Rapeseed_N3,Rapeseed_N4,Rapeseed_N5,Rapeseed_N6
2022-01-03,O,2022-01-03 04:45:00,2022-01-03 12:30:00,2022-01-03 12:29:00,2022-01-03 12:30:00,0,,202202,202205,202208,202211,202302,202305
2022-01-04,O,2022-01-04 04:45:00,2022-01-04 12:30:00,2022-01-04 12:29:00,2022-01-04 12:30:00,61,202202,202205,202208,202211,202302,202305,202308
2022-01-05,O,2022-01-05 04:45:00,2022-01-05 12:30:00,2022-01-05 12:29:00,2022-01-05 12:30:00,60,202202,202205,202208,202211,202302,202305,202308
2022-01-06,O,2022-01-06 04:45:00,2022-01-06 12:30:00,2022-01-06 12:29:00,2022-01-06 12:30:00,59,202202,202205,202208,202211,202302,202305,202308
2022-01-07,O,2022-01-07 04:45:00,2022-01-07 12:30:00,2022-01-07 12:29:00,2022-01-07 12:30:00,58,202202,202205,202208,202211,202302,202305,202308
2022-01-10,O,2022-01-10 04:45:00,2022-01-10 12:30:00,2022-01-10 12:29:00,2022-01-10 12:30:00,57,202202,202205,202208,202211,202302,202305,202308
2022-01-11,O,2022-01-11 04:45:00,2022-01-11 12:30:00,2022-01-11 12:29:00,2022-01-11 12:30:00,56,202202,202205,202208,202211,202302,202305,202308
2022-01-12,O,2022-01-12 04:45:00,2022-01-12 12:30:00,2022-01-12 12:29:00,2022-01-12 12:30:00,55,202202,202205,202208,202211,202302,202305,202308
2022-01-13,O,2022-01-13 04:45:00,2022-01-13 12:30:00,2022-01-13 12:29:00,2022-01-13 12:30:00,54,202202,202205,202208,202211,202302,202305,202308
2022-01-14,O,2022-01-14 04:45:00,2022-01-14 12:30:00,2022-01-14 12:29:00,2022-01-14 12:30:00,53,202202,202205,202208,202211,202302,202305,202308
2022-01-17,O,2022-01-17 04:45:00,2022-01-17 12:30:00,2022-01-17 12:29:00,2022-01-17 12:30:00,52,202202,202205,202208,202211,202302,202305,202308
2022-01-18,O,2022-01-18 04:45:00,2022-01-18 12:30:00,2022-01-18 12:29:00,2022-01-18 12:30:00,51,202202,202205,202208,202211,202302,202305,202308
2022-01-19,O,2022-01-19 04:45:00,2022-01-19 12:30:00,2022-01-19 12:29:00,2022-01-19 12:30:00,50,202202,202205,202208,202211,202302,202305,202308
2022-01-20,O,2022-01-20 04:45:00,2022-01-20 12:30:00,2022-01-20 12:29:00,2022-01-20 12:30:00,49,202202,202205,202208,202211,202302,202305,202308
2022-01-21,O,2022-01-21 04:45:00,2022-01-21 12:30:00,2022-01-21 12:29:00,2022-01-21 12:30:00,48,202202,202205,202208,202211,202302,202305,202308
2022-01-24,O,2022-01-24 04:45:00,2022-01-24 12:30:00,2022-01-24 12:29:00,2022-01-24 12:30:00,47,202202,202205,202208,202211,202302,202305,202308
