date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,SEK_N0,SEK_N1,SEK_N2,SEK_N3,SEK_N4,SEK_N5,SEK_N6
2010-01-01,X,,,,,,,,,,,,
2010-01-04,O,2010-01-03 18:00:00,2010-01-04 17:00:00,2010-01-04 14:59:30,2010-01-04 15:00:00,43,,201003,201006,201009,201012,201103,201106
2010-01-05,O,2010-01-04 18:00:00,2010-01-05 17:00:00,2010-01-05 14:59:30,2010-01-05 15:00:00,42,,201003,201006,201009,201012,201103,201106
2010-01-06,O,2010-01-05 18:00:00,2010-01-06 17:00:00,2010-01-06 14:59:30,2010-01-06 15:00:00,41,,201003,201006,201009,201012,201103,201106
2010-01-07,O,2010-01-06 18:00:00,2010-01-07 17:00:00,2010-01-07 14:59:30,2010-01-07 15:00:00,40,,201003,201006,201009,201012,201103,201106
2010-01-08,O,2010-01-07 18:00:00,2010-01-08 17:00:00,2010-01-08 14:59:30,2010-01-08 15:00:00,39,,201003,201006,201009,201012,201103,201106
2010-01-11,O,2010-01-10 18:00:00,2010-01-11 17:00:00,2010-01-11 14:59:30,2010-01-11 15:00:00,38,,201003,201006,201009,201012,201103,201106
2010-01-12,O,2010-01-11 18:00:00,2010-01-12 17:00:00,2010-01-12 14:59:30,2010-01-12 15:00:00,37,,201003,201006,201009,201012,201103,201106
2010-01-13,O,2010-01-12 18:00:00,2010-01-13 17:00:00,2010-01-13 14:59:30,2010-01-13 15:00:00,36,,201003,201006,201009,201012,201103,201106
2010-01-14,O,2010-01-13 18:00:00,2010-01-14 17:00:00,2010-01-14 14:59:30,2010-01-14 15:00:00,35,,201003,201006,201009,201012,201103,201106
2010-01-15,O,2010-01-14 18:00:00,2010-01-15 17:00:00,2010-01-15 14:59:30,2010-01-15 15:00:00,34,,201003,201006,201009,201012,201103,201106
2010-01-18,X,,,,,,,,,,,,
2010-01-19,O,2010-01-18 18:00:00,2010-01-19 17:00:00,2010-01-19 14:59:30,2010-01-19 15:00:00,33,,201003,201006,201009,201012,201103,201106
2010-01-20,O,2010-01-19 18:00:00,2010-01-20 17:00:00,2010-01-20 14:59:30,2010-01-20 15:00:00,32,,201003,201006,201009,201012,201103,201106
2010-01-21,O,2010-01-20 18:00:00,2010-01-21 17:00:00,2010-01-21 14:59:30,2010-01-21 15:00:00,31,,201003,201006,201009,201012,201103,201106
2010-01-22,O,2010-01-21 18:00:00,2010-01-22 17:00:00,2010-01-22 14:59:30,2010-01-22 15:00:00,30,,201003,201006,201009,201012,201103,201106
2010-01-25,O,2010-01-24 18:00:00,2010-01-25 17:00:00,2010-01-25 14:59:30,2010-01-25 15:00:00,29,,201003,201006,201009,201012,201103,201106
2010-01-26,O,2010-01-25 18:00:00,2010-01-26 17:00:00,2010-01-26 14:59:30,2010-01-26 15:00:00,28,,201003,201006,201009,201012,201103,201106
2010-01-27,O,2010-01-26 18:00:00,2010-01-27 17:00:00,2010-01-27 14:59:30,2010-01-27 15:00:00,27,,201003,201006,201009,201012,201103,201106
2010-01-28,O,2010-01-27 18:00:00,2010-01-28 17:00:00,2010-01-28 14:59:30,2010-01-28 15:00:00,26,,201003,201006,201009,201012,201103,201106
2010-01-29,O,2010-01-28 18:00:00,2010-01-29 17:00:00,2010-01-29 14:59:30,2010-01-29 15:00:00,25,,201003,201006,201009,201012,201103,201106
2010-02-01,O,2010-01-31 18:00:00,2010-02-01 17:00:00,2010-02-01 14:59:30,2010-02-01 15:00:00,24,,201003,201006,201009,201012,201103,201106
2010-02-02,O,2010-02-01 18:00:00,2010-02-02 17:00:00,2010-02-02 14:59:30,2010-02-02 15:00:00,23,,201003,201006,201009,201012,201103,201106
2010-02-03,O,2010-02-02 18:00:00,2010-02-03 17:00:00,2010-02-03 14:59:30,2010-02-03 15:00:00,22,,201003,201006,201009,201012,201103,201106
2010-02-04,O,2010-02-03 18:00:00,2010-02-04 17:00:00,2010-02-04 14:59:30,2010-02-04 15:00:00,21,,201003,201006,201009,201012,201103,201106
2010-02-05,O,2010-02-04 18:00:00,2010-02-05 17:00:00,2010-02-05 14:59:30,2010-02-05 15:00:00,20,,201003,201006,201009,201012,201103,201106
2010-02-08,O,2010-02-07 18:00:00,2010-02-08 17:00:00,2010-02-08 14:59:30,2010-02-08 15:00:00,19,,201003,201006,201009,201012,201103,201106
2010-02-09,O,2010-02-08 18:00:00,2010-02-09 17:00:00,2010-02-09 14:59:30,2010-02-09 15:00:00,18,,201003,201006,201009,201012,201103,201106
2010-02-10,O,2010-02-09 18:00:00,2010-02-10 17:00:00,2010-02-10 14:59:30,2010-02-10 15:00:00,17,,201003,201006,201009,201012,201103,201106
2010-02-11,O,2010-02-10 18:00:00,2010-02-11 17:00:00,2010-02-11 14:59:30,2010-02-11 15:00:00,16,,201003,201006,201009,201012,201103,201106
2010-02-12,O,2010-02-11 18:00:00,2010-02-12 17:00:00,2010-02-12 14:59:30,2010-02-12 15:00:00,15,,201003,201006,201009,201012,201103,201106
2010-02-15,X,,,,,,,,,,,,
2010-02-16,O,2010-02-15 18:00:00,2010-02-16 17:00:00,2010-02-16 14:59:30,2010-02-16 15:00:00,14,,201003,201006,201009,201012,201103,201106
2010-02-17,O,2010-02-16 18:00:00,2010-02-17 17:00:00,2010-02-17 14:59:30,2010-02-17 15:00:00,13,,201003,201006,201009,201012,201103,201106
2010-02-18,O,2010-02-17 18:00:00,2010-02-18 17:00:00,2010-02-18 14:59:30,2010-02-18 15:00:00,12,,201003,201006,201009,201012,201103,201106
2010-02-19,O,2010-02-18 18:00:00,2010-02-19 17:00:00,2010-02-19 14:59:30,2010-02-19 15:00:00,11,,201003,201006,201009,201012,201103,201106
2010-02-22,O,2010-02-21 18:00:00,2010-02-22 17:00:00,2010-02-22 14:59:30,2010-02-22 15:00:00,10,,201003,201006,201009,201012,201103,201106
2010-02-23,O,2010-02-22 18:00:00,2010-02-23 17:00:00,2010-02-23 14:59:30,2010-02-23 15:00:00,9,,201003,201006,201009,201012,201103,201106
2010-02-24,O,2010-02-23 18:00:00,2010-02-24 17:00:00,2010-02-24 14:59:30,2010-02-24 15:00:00,8,,201003,201006,201009,201012,201103,201106
2010-02-25,O,2010-02-24 18:00:00,2010-02-25 17:00:00,2010-02-25 14:59:30,2010-02-25 15:00:00,7,,201003,201006,201009,201012,201103,201106
2010-02-26,O,2010-02-25 18:00:00,2010-02-26 17:00:00,2010-02-26 14:59:30,2010-02-26 15:00:00,6,,201003,201006,201009,201012,201103,201106
2010-03-01,O,2010-02-28 18:00:00,2010-03-01 17:00:00,2010-03-01 14:59:30,2010-03-01 15:00:00,5,,201003,201006,201009,201012,201103,201106
2010-03-02,O,2010-03-01 18:00:00,2010-03-02 17:00:00,2010-03-02 14:59:30,2010-03-02 15:00:00,4,,201003,201006,201009,201012,201103,201106
2010-03-03,O,2010-03-02 18:00:00,2010-03-03 17:00:00,2010-03-03 14:59:30,2010-03-03 15:00:00,3,,201003,201006,201009,201012,201103,201106
2010-03-04,O,2010-03-03 18:00:00,2010-03-04 17:00:00,2010-03-04 14:59:30,2010-03-04 15:00:00,2,,201003,201006,201009,201012,201103,201106
2010-03-05,O,2010-03-04 18:00:00,2010-03-05 17:00:00,2010-03-05 14:59:30,2010-03-05 15:00:00,1,,201003,201006,201009,201012,201103,201106
2010-03-08,O,2010-03-07 18:00:00,2010-03-08 17:00:00,2010-03-08 14:59:30,2010-03-08 15:00:00,0,,201003,201006,201009,201012,201103,201106
