date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Sugar_N0,Sugar_N1,Sugar_N2,Sugar_N3,Sugar_N4,Sugar_N5,Sugar_N6
2022-01-03,O,2022-01-03 03:30:00,2022-01-03 13:00:00,2022-01-03 12:53:00,2022-01-03 12:55:00,23,,202203,202205,202207,202210,202303,202305
2022-01-04,O,2022-01-04 03:30:00,2022-01-04 13:00:00,2022-01-04 12:53:00,2022-01-04 12:55:00,22,,202203,202205,202207,202210,202303,202305
2022-01-05,O,2022-01-05 03:30:00,2022-01-05 13:00:00,2022-01-05 12:53:00,2022-01-05 12:55:00,21,,202203,202205,202207,202210,202303,202305
2022-01-06,O,2022-01-06 03:30:00,2022-01-06 13:00:00,2022-01-06 12:53:00,2022-01-06 12:55:00,20,,202203,202205,202207,202210,202303,202305
2022-01-07,O,2022-01-07 03:30:00,2022-01-07 13:00:00,2022-01-07 12:53:00,2022-01-07 12:55:00,19,,202203,202205,202207,202210,202303,202305
2022-01-10,O,2022-01-10 03:30:00,2022-01-10 13:00:00,2022-01-10 12:53:00,2022-01-10 12:55:00,18,,202203,202205,202207,202210,202303,202305
2022-01-11,O,2022-01-11 03:30:00,2022-01-11 13:00:00,2022-01-11 12:53:00,2022-01-11 12:55:00,17,,202203,202205,202207,202210,202303,202305
2022-01-12,O,2022-01-12 03:30:00,2022-01-12 13:00:00,2022-01-12 12:53:00,2022-01-12 12:55:00,16,,202203,202205,202207,202210,202303,202305
2022-01-13,O,2022-01-13 03:30:00,2022-01-13 13:00:00,2022-01-13 12:53:00,2022-01-13 12:55:00,15,,202203,202205,202207,202210,202303,202305
2022-01-14,O,2022-01-14 03:30:00,2022-01-14 13:00:00,2022-01-14 12:53:00,2022-01-14 12:55:00,14,,202203,202205,202207,202210,202303,202305
2022-01-17,X,,,,,,,,,,,,
2022-01-18,O,2022-01-18 03:30:00,2022-01-18 13:00:00,2022-01-18 12:53:00,2022-01-18 12:55:00,13,,202203,202205,202207,202210,202303,202305
2022-01-19,O,2022-01-19 03:30:00,2022-01-19 13:00:00,2022-01-19 12:53:00,2022-01-19 12:55:00,12,,202203,202205,202207,202210,202303,202305
2022-01-20,O,2022-01-20 03:30:00,2022-01-20 13:00:00,2022-01-20 12:53:00,2022-01-20 12:55:00,11,,202203,202205,202207,202210,202303,202305
2022-01-21,O,2022-01-21 03:30:00,2022-01-21 13:00:00,2022-01-21 12:53:00,2022-01-21 12:55:00,10,,202203,202205,202207,202210,202303,202305
2022-01-24,O,2022-01-24 03:30:00,2022-01-24 13:00:00,2022-01-24 12:53:00,2022-01-24 12:55:00,9,,202203,202205,202207,202210,202303,202305
2022-01-25,O,2022-01-25 03:30:00,2022-01-25 13:00:00,2022-01-25 12:53:00,2022-01-25 12:55:00,8,,202203,202205,202207,202210,202303,202305
2022-01-26,O,2022-01-26 03:30:00,2022-01-26 13:00:00,2022-01-26 12:53:00,2022-01-26 12:55:00,7,,202203,202205,202207,202210,202303,202305
2022-01-27,O,2022-01-27 03:30:00,2022-01-27 13:00:00,2022-01-27 12:53:00,2022-01-27 12:55:00,6,,202203,202205,202207,202210,202303,202305
2022-01-28,O,2022-01-28 03:30:00,2022-01-28 13:00:00,2022-01-28 12:53:00,2022-01-28 12:55:00,5,,202203,202205,202207,202210,202303,202305
2022-01-31,O,2022-01-31 03:30:00,2022-01-31 13:00:00,2022-01-31 12:53:00,2022-01-31 12:55:00,4,,202203,202205,202207,202210,202303,202305
2022-02-01,O,2022-02-01 03:30:00,2022-02-01 13:00:00,2022-02-01 12:53:00,2022-02-01 12:55:00,3,,202203,202205,202207,202210,202303,202305
2022-02-02,O,2022-02-02 03:30:00,2022-02-02 13:00:00,2022-02-02 12:53:00,2022-02-02 12:55:00,2,,202203,202205,202207,202210,202303,202305
2022-02-03,O,2022-02-03 03:30:00,2022-02-03 13:00:00,2022-02-03 12:53:00,2022-02-03 12:55:00,1,,202203,202205,202207,202210,202303,202305
2022-02-04,O,2022-02-04 03:30:00,2022-02-04 13:00:00,2022-02-04 12:53:00,2022-02-04 12:55:00,0,,202203,202205,202207,202210,202303,202305
2022-02-07,O,2022-02-07 03:30:00,2022-02-07 13:00:00,2022-02-07 12:53:00,2022-02-07 12:55:00,42,202203,202205,202207,202210,202303,202305,202307
2022-02-08,O,2022-02-08 03:30:00,2022-02-08 13:00:00,2022-02-08 12:53:00,2022-02-08 12:55:00,41,202203,202205,202207,202210,202303,202305,202307
2022-02-09,O,2022-02-09 03:30:00,2022-02-09 13:00:00,2022-02-09 12:53:00,2022-02-09 12:55:00,40,202203,202205,202207,202210,202303,202305,202307
2022-02-10,O,2022-02-10 03:30:00,2022-02-10 13:00:00,2022-02-10 12:53:00,2022-02-10 12:55:00,39,202203,202205,202207,202210,202303,202305,202307
2022-02-11,O,2022-02-11 03:30:00,2022-02-11 13:00:00,2022-02-11 12:53:00,2022-02-11 12:55:00,38,202203,202205,202207,202210,202303,202305,202307
2022-02-14,O,2022-02-14 03:30:00,2022-02-14 13:00:00,2022-02-14 12:53:00,2022-02-14 12:55:00,37,202203,202205,202207,202210,202303,202305,202307
2022-02-15,O,2022-02-15 03:30:00,2022-02-15 13:00:00,2022-02-15 12:53:00,2022-02-15 12:55:00,36,202203,202205,202207,202210,202303,202305,202307
2022-02-16,O,2022-02-16 03:30:00,2022-02-16 13:00:00,2022-02-16 12:53:00,2022-02-16 12:55:00,35,202203,202205,202207,202210,202303,202305,202307
2022-02-17,O,2022-02-17 03:30:00,2022-02-17 13:00:00,2022-02-17 12:53:00,2022-02-17 12:55:00,34,202203,202205,202207,202210,202303,202305,202307
2022-02-18,O,2022-02-18 03:30:00,2022-02-18 13:00:00,2022-02-18 12:53:00,2022-02-18 12:55:00,33,202203,202205,202207,202210,202303,202305,202307
2022-02-21,X,,,,,,,,,,,,
2022-02-22,O,2022-02-22 03:30:00,2022-02-22 13:00:00,2022-02-22 12:53:00,2022-02-22 12:55:00,32,202203,202205,202207,202210,202303,202305,202307
2022-02-23,O,2022-02-23 03:30:00,2022-02-23 13:00:00,2022-02-23 12:53:00,2022-02-23 12:55:00,31,202203,202205,202207,202210,202303,202305,202307
2022-02-24,O,2022-02-24 03:30:00,2022-02-24 13:00:00,2022-02-24 12:53:00,2022-02-24 12:55:00,30,202203,202205,202207,202210,202303,202305,202307
2022-02-25,O,2022-02-25 03:30:00,2022-02-25 13:00:00,2022-02-25 12:53:00,2022-02-25 12:55:00,29,202203,202205,202207,202210,202303,202305,202307
2022-02-28,O,2022-02-28 03:30:00,2022-02-28 13:00:00,2022-02-28 12:53:00,2022-02-28 12:55:00,28,202203,202205,202207,202210,202303,202305,202307
2022-03-01,O,2022-03-01 03:30:00,2022-03-01 13:00:00,2022-03-01 12:53:00,2022-03-01 12:55:00,27,,202205,202207,202210,202303,202305,202307
2022-03-02,O,2022-03-02 03:30:00,2022-03-02 13:00:00,2022-03-02 12:53:00,2022-03-02 12:55:00,26,,202205,202207,202210,202303,202305,202307
2022-03-03,O,2022-03-03 03:30:00,2022-03-03 13:00:00,2022-03-03 12:53:00,2022-03-03 12:55:00,25,,202205,202207,202210,202303,202305,202307
2022-03-04,O,2022-03-04 03:30:00,2022-03-04 13:00:00,2022-03-04 12:53:00,2022-03-04 12:55:00,24,,202205,202207,202210,202303,202305,202307
2022-03-07,O,2022-03-07 03:30:00,2022-03-07 13:00:00,2022-03-07 12:53:00,2022-03-07 12:55:00,23,,202205,202207,202210,202303,202305,202307
2022-03-08,O,2022-03-08 03:30:00,2022-03-08 13:00:00,2022-03-08 12:53:00,2022-03-08 12:55:00,22,,202205,202207,202210,202303,202305,202307
2022-03-09,O,2022-03-09 03:30:00,2022-03-09 13:00:00,2022-03-09 12:53:00,2022-03-09 12:55:00,21,,202205,202207,202210,202303,202305,202307
2022-03-10,O,2022-03-10 03:30:00,2022-03-10 13:00:00,2022-03-10 12:53:00,2022-03-10 12:55:00,20,,202205,202207,202210,202303,202305,202307
2022-03-11,O,2022-03-11 03:30:00,2022-03-11 13:00:00,2022-03-11 12:53:00,2022-03-11 12:55:00,19,,202205,202207,202210,202303,202305,202307
2022-03-14,O,2022-03-14 03:30:00,2022-03-14 13:00:00,2022-03-14 12:53:00,2022-03-14 12:55:00,18,,202205,202207,202210,202303,202305,202307
2022-03-15,O,2022-03-15 03:30:00,2022-03-15 13:00:00,2022-03-15 12:53:00,2022-03-15 12:55:00,17,,202205,202207,202210,202303,202305,202307
2022-03-16,O,2022-03-16 03:30:00,2022-03-16 13:00:00,2022-03-16 12:53:00,2022-03-16 12:55:00,16,,202205,202207,202210,202303,202305,202307
2022-03-17,O,2022-03-17 03:30:00,2022-03-17 13:00:00,2022-03-17 12:53:00,2022-03-17 12:55:00,15,,202205,202207,202210,202303,202305,202307
2022-03-18,O,2022-03-18 03:30:00,2022-03-18 13:00:00,2022-03-18 12:53:00,2022-03-18 12:55:00,14,,202205,202207,202210,202303,202305,202307
2022-03-21,O,2022-03-21 03:30:00,2022-03-21 13:00:00,2022-03-21 12:53:00,2022-03-21 12:55:00,13,,202205,202207,202210,202303,202305,202307
2022-03-22,O,2022-03-22 03:30:00,2022-03-22 13:00:00,2022-03-22 12:53:00,2022-03-22 12:55:00,12,,202205,202207,202210,202303,202305,202307
2022-03-23,O,2022-03-23 03:30:00,2022-03-23 13:00:00,2022-03-23 12:53:00,2022-03-23 12:55:00,11,,202205,202207,202210,202303,202305,202307
2022-03-24,O,2022-03-24 03:30:00,2022-03-24 13:00:00,2022-03-24 12:53:00,2022-03-24 12:55:00,10,,202205,202207,202210,202303,202305,202307
2022-03-25,O,2022-03-25 03:30:00,2022-03-25 13:00:00,2022-03-25 12:53:00,2022-03-25 12:55:00,9,,202205,202207,202210,202303,202305,202307
2022-03-28,O,2022-03-28 03:30:00,2022-03-28 13:00:00,2022-03-28 12:53:00,2022-03-28 12:55:00,8,,202205,202207,202210,202303,202305,202307
2022-03-29,O,2022-03-29 03:30:00,2022-03-29 13:00:00,2022-03-29 12:53:00,2022-03-29 12:55:00,7,,202205,202207,202210,202303,202305,202307
2022-03-30,O,2022-03-30 03:30:00,2022-03-30 13:00:00,2022-03-30 12:53:00,2022-03-30 12:55:00,6,,202205,202207,202210,202303,202305,202307
2022-03-31,O,2022-03-31 03:30:00,2022-03-31 13:00:00,2022-03-31 12:53:00,2022-03-31 12:55:00,5,,202205,202207,202210,202303,202305,202307
2022-04-01,O,2022-04-01 03:30:00,2022-04-01 13:00:00,2022-04-01 12:53:00,2022-04-01 12:55:00,4,,202205,202207,202210,202303,202305,202307
2022-04-04,O,2022-04-04 03:30:00,2022-04-04 13:00:00,2022-04-04 12:53:00,2022-04-04 12:55:00,3,,202205,202207,202210,202303,202305,202307
2022-04-05,O,2022-04-05 03:30:00,2022-04-05 13:00:00,2022-04-05 12:53:00,2022-04-05 12:55:00,2,,202205,202207,202210,202303,202305,202307
2022-04-06,O,2022-04-06 03:30:00,2022-04-06 13:00:00,2022-04-06 12:53:00,2022-04-06 12:55:00,1,,202205,202207,202210,202303,202305,202307
2022-04-07,O,2022-04-07 03:30:00,2022-04-07 13:00:00,2022-04-07 12:53:00,2022-04-07 12:55:00,0,,202205,202207,202210,202303,202305,202307
