date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Cocoa_N0,Cocoa_N1,Cocoa_N2,Cocoa_N3,Cocoa_N4,Cocoa_N5,Cocoa_N6
1990-01-01,X,,,,,,,,,,,,
1990-01-02,O,1990-01-02 04:45:00,1990-01-02 13:30:00,1990-01-02 11:48:00,1990-01-02 11:50:00,21,,199003,199005,199007,199009,199012,199103
1990-01-03,O,1990-01-03 04:45:00,1990-01-03 13:30:00,1990-01-03 11:48:00,1990-01-03 11:50:00,20,,199003,199005,199007,199009,199012,199103
1990-01-04,O,1990-01-04 04:45:00,1990-01-04 13:30:00,1990-01-04 11:48:00,1990-01-04 11:50:00,19,,199003,199005,199007,199009,199012,199103
1990-01-05,O,1990-01-05 04:45:00,1990-01-05 13:30:00,1990-01-05 11:48:00,1990-01-05 11:50:00,18,,199003,199005,199007,199009,199012,199103
1990-01-08,O,1990-01-08 04:45:00,1990-01-08 13:30:00,1990-01-08 11:48:00,1990-01-08 11:50:00,17,,199003,199005,199007,199009,199012,199103
1990-01-09,O,1990-01-09 04:45:00,1990-01-09 13:30:00,1990-01-09 11:48:00,1990-01-09 11:50:00,16,,199003,199005,199007,199009,199012,199103
1990-01-10,O,1990-01-10 04:45:00,1990-01-10 13:30:00,1990-01-10 11:48:00,1990-01-10 11:50:00,15,,199003,199005,199007,199009,199012,199103
1990-01-11,O,1990-01-11 04:45:00,1990-01-11 13:30:00,1990-01-11 11:48:00,1990-01-11 11:50:00,14,,199003,199005,199007,199009,199012,199103
1990-01-12,O,1990-01-12 04:45:00,1990-01-12 13:30:00,1990-01-12 11:48:00,1990-01-12 11:50:00,13,,199003,199005,199007,199009,199012,199103
1990-01-15,O,1990-01-15 04:45:00,1990-01-15 13:30:00,1990-01-15 11:48:00,1990-01-15 11:50:00,12,,199003,199005,199007,199009,199012,199103
1990-01-16,O,1990-01-16 04:45:00,1990-01-16 13:30:00,1990-01-16 11:48:00,1990-01-16 11:50:00,11,,199003,199005,199007,199009,199012,199103
1990-01-17,O,1990-01-17 04:45:00,1990-01-17 13:30:00,1990-01-17 11:48:00,1990-01-17 11:50:00,10,,199003,199005,199007,199009,199012,199103
1990-01-18,O,1990-01-18 04:45:00,1990-01-18 13:30:00,1990-01-18 11:48:00,1990-01-18 11:50:00,9,,199003,199005,199007,199009,199012,199103
1990-01-19,O,1990-01-19 04:45:00,1990-01-19 13:30:00,1990-01-19 11:48:00,1990-01-19 11:50:00,8,,199003,199005,199007,199009,199012,199103
1990-01-22,O,1990-01-22 04:45:00,1990-01-22 13:30:00,1990-01-22 11:48:00,1990-01-22 11:50:00,7,,199003,199005,199007,199009,199012,199103
1990-01-23,O,1990-01-23 04:45:00,1990-01-23 13:30:00,1990-01-23 11:48:00,1990-01-23 11:50:00,6,,199003,199005,199007,199009,199012,199103
1990-01-24,O,1990-01-24 04:45:00,1990-01-24 13:30:00,1990-01-24 11:48:00,1990-01-24 11:50:00,5,,199003,199005,199007,199009,199012,199103
1990-01-25,O,1990-01-25 04:45:00,1990-01-25 13:30:00,1990-01-25 11:48:00,1990-01-25 11:50:00,4,,199003,199005,199007,199009,199012,199103
1990-01-26,O,1990-01-26 04:45:00,1990-01-26 13:30:00,1990-01-26 11:48:00,1990-01-26 11:50:00,3,,199003,199005,199007,199009,199012,199103
1990-01-29,O,1990-01-29 04:45:00,1990-01-29 13:30:00,1990-01-29 11:48:00,1990-01-29 11:50:00,2,,199003,199005,199007,199009,199012,199103
1990-01-30,O,1990-01-30 04:45:00,1990-01-30 13:30:00,1990-01-30 11:48:00,1990-01-30 11:50:00,1,,199003,199005,199007,199009,199012,199103
1990-01-31,O,1990-01-31 04:45:00,1990-01-31 13:30:00,1990-01-31 11:48:00,1990-01-31 11:50:00,0,,199003,199005,199007,199009,199012,199103
1990-02-01,O,1990-02-01 04:45:00,1990-02-01 13:30:00,1990-02-01 11:48:00,1990-02-01 11:50:00,41,199003,199005,199007,199009,199012,199103,199105
1990-02-02,O,1990-02-02 04:45:00,1990-02-02 13:30:00,1990-02-02 11:48:00,1990-02-02 11:50:00,40,199003,199005,199007,199009,199012,199103,199105
1990-02-05,O,1990-02-05 04:45:00,1990-02-05 13:30:00,1990-02-05 11:48:00,1990-02-05 11:50:00,39,199003,199005,199007,199009,199012,199103,199105
1990-02-06,O,1990-02-06 04:45:00,1990-02-06 13:30:00,1990-02-06 11:48:00,1990-02-06 11:50:00,38,199003,199005,199007,199009,199012,199103,199105
1990-02-07,O,1990-02-07 04:45:00,1990-02-07 13:30:00,1990-02-07 11:48:00,1990-02-07 11:50:00,37,199003,199005,199007,199009,199012,199103,199105
1990-02-08,O,1990-02-08 04:45:00,1990-02-08 13:30:00,1990-02-08 11:48:00,1990-02-08 11:50:00,36,199003,199005,199007,199009,199012,199103,199105
1990-02-09,O,1990-02-09 04:45:00,1990-02-09 13:30:00,1990-02-09 11:48:00,1990-02-09 11:50:00,35,199003,199005,199007,199009,199012,199103,199105
1990-02-12,O,1990-02-12 04:45:00,1990-02-12 13:30:00,1990-02-12 11:48:00,1990-02-12 11:50:00,34,199003,199005,199007,199009,199012,199103,199105
1990-02-13,O,1990-02-13 04:45:00,1990-02-13 13:30:00,1990-02-13 11:48:00,1990-02-13 11:50:00,33,199003,199005,199007,199009,199012,199103,199105
1990-02-14,O,1990-02-14 04:45:00,1990-02-14 13:30:00,1990-02-14 11:48:00,1990-02-14 11:50:00,32,199003,199005,199007,199009,199012,199103,199105
1990-02-15,O,1990-02-15 04:45:00,1990-02-15 13:30:00,1990-02-15 11:48:00,1990-02-15 11:50:00,31,199003,199005,199007,199009,199012,199103,199105
1990-02-16,O,1990-02-16 04:45:00,1990-02-16 13:30:00,1990-02-16 11:48:00,1990-02-16 11:50:00,30,199003,199005,199007,199009,199012,199103,199105
1990-02-19,X,,,,,,,,,,,,
1990-02-20,O,1990-02-20 04:45:00,1990-02-20 13:30:00,1990-02-20 11:48:00,1990-02-20 11:50:00,29,199003,199005,199007,199009,199012,199103,199105
1990-02-21,O,1990-02-21 04:45:00,1990-02-21 13:30:00,1990-02-21 11:48:00,1990-02-21 11:50:00,28,199003,199005,199007,199009,199012,199103,199105
1990-02-22,O,1990-02-22 04:45:00,1990-02-22 13:30:00,1990-02-22 11:48:00,1990-02-22 11:50:00,27,199003,199005,199007,199009,199012,199103,199105
1990-02-23,O,1990-02-23 04:45:00,1990-02-23 13:30:00,1990-02-23 11:48:00,1990-02-23 11:50:00,26,199003,199005,199007,199009,199012,199103,199105
1990-02-26,O,1990-02-26 04:45:00,1990-02-26 13:30:00,1990-02-26 11:48:00,1990-02-26 11:50:00,25,199003,199005,199007,199009,199012,199103,199105
1990-02-27,O,1990-02-27 04:45:00,1990-02-27 13:30:00,1990-02-27 11:48:00,1990-02-27 11:50:00,24,199003,199005,199007,199009,199012,199103,199105
1990-02-28,O,1990-02-28 04:45:00,1990-02-28 13:30:00,1990-02-28 11:48:00,1990-02-28 11:50:00,23,199003,199005,199007,199009,199012,199103,199105
1990-03-01,O,1990-03-01 04:45:00,1990-03-01 13:30:00,1990-03-01 11:48:00,1990-03-01 11:50:00,22,199003,199005,199007,199009,199012,199103,199105
1990-03-02,O,1990-03-02 04:45:00,1990-03-02 13:30:00,1990-03-02 11:48:00,1990-03-02 11:50:00,21,199003,199005,199007,199009,199012,199103,199105
1990-03-05,O,1990-03-05 04:45:00,1990-03-05 13:30:00,1990-03-05 11:48:00,1990-03-05 11:50:00,20,199003,199005,199007,199009,199012,199103,199105
