date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,EuroStoxx600_N0,EuroStoxx600_N1,EuroStoxx600_N2,EuroStoxx600_N3,EuroStoxx600_N4,EuroStoxx600_N5,EuroStoxx600_N6
1990-11-01,O,1990-11-01 01:50:00,1990-11-01 16:00:00,1990-11-01 11:29:00,1990-11-01 11:30:00,4990,,,,,,,
1990-11-02,O,1990-11-02 01:50:00,1990-11-02 16:00:00,1990-11-02 11:29:00,1990-11-02 11:30:00,4989,,,,,,,
1990-11-05,O,1990-11-05 01:50:00,1990-11-05 16:00:00,1990-11-05 11:29:00,1990-11-05 11:30:00,4988,,,,,,,
1990-11-06,O,1990-11-06 01:50:00,1990-11-06 16:00:00,1990-11-06 11:29:00,1990-11-06 11:30:00,4987,,,,,,,
1990-11-07,O,1990-11-07 01:50:00,1990-11-07 16:00:00,1990-11-07 11:29:00,1990-11-07 11:30:00,4986,,,,,,,
1990-11-08,O,1990-11-08 01:50:00,1990-11-08 16:00:00,1990-11-08 11:29:00,1990-11-08 11:30:00,4985,,,,,,,
1990-11-09,O,1990-11-09 01:50:00,1990-11-09 16:00:00,1990-11-09 11:29:00,1990-11-09 11:30:00,4984,,,,,,,
1990-11-12,O,1990-11-12 01:50:00,1990-11-12 16:00:00,1990-11-12 11:29:00,1990-11-12 11:30:00,4983,,,,,,,
1990-11-13,O,1990-11-13 01:50:00,1990-11-13 16:00:00,1990-11-13 11:29:00,1990-11-13 11:30:00,4982,,,,,,,
1990-11-14,O,1990-11-14 01:50:00,1990-11-14 16:00:00,1990-11-14 11:29:00,1990-11-14 11:30:00,4981,,,,,,,
1990-11-15,O,1990-11-15 01:50:00,1990-11-15 16:00:00,1990-11-15 11:29:00,1990-11-15 11:30:00,4980,,,,,,,
1990-11-16,O,1990-11-16 01:50:00,1990-11-16 16:00:00,1990-11-16 11:29:00,1990-11-16 11:30:00,4979,,,,,,,
1990-11-19,O,1990-11-19 01:50:00,1990-11-19 16:00:00,1990-11-19 11:29:00,1990-11-19 11:30:00,4978,,,,,,,
1990-11-20,O,1990-11-20 01:50:00,1990-11-20 16:00:00,1990-11-20 11:29:00,1990-11-20 11:30:00,4977,,,,,,,
1990-11-21,O,1990-11-21 01:50:00,1990-11-21 16:00:00,1990-11-21 11:29:00,1990-11-21 11:30:00,4976,,,,,,,
1990-11-22,O,1990-11-22 01:50:00,1990-11-22 16:00:00,1990-11-22 11:29:00,1990-11-22 11:30:00,4975,,,,,,,
1990-11-23,O,1990-11-23 01:50:00,1990-11-23 16:00:00,1990-11-23 11:29:00,1990-11-23 11:30:00,4974,,,,,,,
1990-11-26,O,1990-11-26 01:50:00,1990-11-26 16:00:00,1990-11-26 11:29:00,1990-11-26 11:30:00,4973,,,,,,,
1990-11-27,O,1990-11-27 01:50:00,1990-11-27 16:00:00,1990-11-27 11:29:00,1990-11-27 11:30:00,4972,,,,,,,
1990-11-28,O,1990-11-28 01:50:00,1990-11-28 16:00:00,1990-11-28 11:29:00,1990-11-28 11:30:00,4971,,,,,,,
1990-11-29,O,1990-11-29 01:50:00,1990-11-29 16:00:00,1990-11-29 11:29:00,1990-11-29 11:30:00,4970,,,,,,,
1990-11-30,O,1990-11-30 01:50:00,1990-11-30 16:00:00,1990-11-30 11:29:00,1990-11-30 11:30:00,4969,,,,,,,
1990-12-03,O,1990-12-03 01:50:00,1990-12-03 16:00:00,1990-12-03 11:29:00,1990-12-03 11:30:00,4968,,,,,,,
1990-12-04,O,1990-12-04 01:50:00,1990-12-04 16:00:00,1990-12-04 11:29:00,1990-12-04 11:30:00,4967,,,,,,,
1990-12-05,O,1990-12-05 01:50:00,1990-12-05 16:00:00,1990-12-05 11:29:00,1990-12-05 11:30:00,4966,,,,,,,
1990-12-06,O,1990-12-06 01:50:00,1990-12-06 16:00:00,1990-12-06 11:29:00,1990-12-06 11:30:00,4965,,,,,,,
1990-12-07,O,1990-12-07 01:50:00,1990-12-07 16:00:00,1990-12-07 11:29:00,1990-12-07 11:30:00,4964,,,,,,,
1990-12-10,O,1990-12-10 01:50:00,1990-12-10 16:00:00,1990-12-10 11:29:00,1990-12-10 11:30:00,4963,,,,,,,
1990-12-11,O,1990-12-11 01:50:00,1990-12-11 16:00:00,1990-12-11 11:29:00,1990-12-11 11:30:00,4962,,,,,,,
1990-12-12,O,1990-12-12 01:50:00,1990-12-12 16:00:00,1990-12-12 11:29:00,1990-12-12 11:30:00,4961,,,,,,,
1990-12-13,O,1990-12-13 01:50:00,1990-12-13 16:00:00,1990-12-13 11:29:00,1990-12-13 11:30:00,4960,,,,,,,
1990-12-14,O,1990-12-14 01:50:00,1990-12-14 16:00:00,1990-12-14 11:29:00,1990-12-14 11:30:00,4959,,,,,,,
1990-12-17,O,1990-12-17 01:50:00,1990-12-17 16:00:00,1990-12-17 11:29:00,1990-12-17 11:30:00,4958,,,,,,,
1990-12-18,O,1990-12-18 01:50:00,1990-12-18 16:00:00,1990-12-18 11:29:00,1990-12-18 11:30:00,4957,,,,,,,
1990-12-19,O,1990-12-19 01:50:00,1990-12-19 16:00:00,1990-12-19 11:29:00,1990-12-19 11:30:00,4956,,,,,,,
1990-12-20,O,1990-12-20 01:50:00,1990-12-20 16:00:00,1990-12-20 11:29:00,1990-12-20 11:30:00,4955,,,,,,,
1990-12-21,O,1990-12-21 01:50:00,1990-12-21 16:00:00,1990-12-21 11:29:00,1990-12-21 11:30:00,4954,,,,,,,
1990-12-24,X,,,,,,,,,,,,
1990-12-25,X,,,,,,,,,,,,
1990-12-26,X,,,,,,,,,,,,
1990-12-27,O,1990-12-27 01:50:00,1990-12-27 16:00:00,1990-12-27 11:29:00,1990-12-27 11:30:00,4953,,,,,,,
1990-12-28,O,1990-12-28 01:50:00,1990-12-28 16:00:00,1990-12-28 11:29:00,1990-12-28 11:30:00,4952,,,,,,,
1990-12-31,X,,,,,,,,,,,,
1991-01-01,X,,,,,,,,,,,,
1991-01-02,O,1991-01-02 01:50:00,1991-01-02 16:00:00,1991-01-02 11:29:00,1991-01-02 11:30:00,4951,,,,,,,
1991-01-03,O,1991-01-03 01:50:00,1991-01-03 16:00:00,1991-01-03 11:29:00,1991-01-03 11:30:00,4950,,,,,,,
1991-01-04,O,1991-01-04 01:50:00,1991-01-04 16:00:00,1991-01-04 11:29:00,1991-01-04 11:30:00,4949,,,,,,,
1991-01-07,O,1991-01-07 01:50:00,1991-01-07 16:00:00,1991-01-07 11:29:00,1991-01-07 11:30:00,4948,,,,,,,
1991-01-08,O,1991-01-08 01:50:00,1991-01-08 16:00:00,1991-01-08 11:29:00,1991-01-08 11:30:00,4947,,,,,,,
1991-01-09,O,1991-01-09 01:50:00,1991-01-09 16:00:00,1991-01-09 11:29:00,1991-01-09 11:30:00,4946,,,,,,,
1991-01-10,O,1991-01-10 01:50:00,1991-01-10 16:00:00,1991-01-10 11:29:00,1991-01-10 11:30:00,4945,,,,,,,
1991-01-11,O,1991-01-11 01:50:00,1991-01-11 16:00:00,1991-01-11 11:29:00,1991-01-11 11:30:00,4944,,,,,,,
1991-01-14,O,1991-01-14 01:50:00,1991-01-14 16:00:00,1991-01-14 11:29:00,1991-01-14 11:30:00,4943,,,,,,,
1991-01-15,O,1991-01-15 01:50:00,1991-01-15 16:00:00,1991-01-15 11:29:00,1991-01-15 11:30:00,4942,,,,,,,
1991-01-16,O,1991-01-16 01:50:00,1991-01-16 16:00:00,1991-01-16 11:29:00,1991-01-16 11:30:00,4941,,,,,,,
1991-01-17,O,1991-01-17 01:50:00,1991-01-17 16:00:00,1991-01-17 11:29:00,1991-01-17 11:30:00,4940,,,,,,,
1991-01-18,O,1991-01-18 01:50:00,1991-01-18 16:00:00,1991-01-18 11:29:00,1991-01-18 11:30:00,4939,,,,,,,
1991-01-21,O,1991-01-21 01:50:00,1991-01-21 16:00:00,1991-01-21 11:29:00,1991-01-21 11:30:00,4938,,,,,,,
1991-01-22,O,1991-01-22 01:50:00,1991-01-22 16:00:00,1991-01-22 11:29:00,1991-01-22 11:30:00,4937,,,,,,,
1991-01-23,O,1991-01-23 01:50:00,1991-01-23 16:00:00,1991-01-23 11:29:00,1991-01-23 11:30:00,4936,,,,,,,
1991-01-24,O,1991-01-24 01:50:00,1991-01-24 16:00:00,1991-01-24 11:29:00,1991-01-24 11:30:00,4935,,,,,,,
1991-01-25,O,1991-01-25 01:50:00,1991-01-25 16:00:00,1991-01-25 11:29:00,1991-01-25 11:30:00,4934,,,,,,,
1991-01-28,O,1991-01-28 01:50:00,1991-01-28 16:00:00,1991-01-28 11:29:00,1991-01-28 11:30:00,4933,,,,,,,
1991-01-29,O,1991-01-29 01:50:00,1991-01-29 16:00:00,1991-01-29 11:29:00,1991-01-29 11:30:00,4932,,,,,,,
