date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,FeederCattle_N0,FeederCattle_N1,FeederCattle_N2,FeederCattle_N3,FeederCattle_N4,FeederCattle_N5,FeederCattle_N6
1990-01-01,X,,,,,,,,,,,,
1990-01-02,O,1990-01-02 09:30:00,1990-01-02 14:05:00,1990-01-02 13:59:30,1990-01-02 14:00:00,33,199001,199003,199004,199005,199008,199009,199010
1990-01-03,O,1990-01-03 09:30:00,1990-01-03 14:05:00,1990-01-03 13:59:30,1990-01-03 14:00:00,32,199001,199003,199004,199005,199008,199009,199010
1990-01-04,O,1990-01-04 09:30:00,1990-01-04 14:05:00,1990-01-04 13:59:30,1990-01-04 14:00:00,31,199001,199003,199004,199005,199008,199009,199010
1990-01-05,O,1990-01-05 09:30:00,1990-01-05 14:05:00,1990-01-05 13:59:30,1990-01-05 14:00:00,30,199001,199003,199004,199005,199008,199009,199010
1990-01-08,O,1990-01-08 09:30:00,1990-01-08 14:05:00,1990-01-08 13:59:30,1990-01-08 14:00:00,29,199001,199003,199004,199005,199008,199009,199010
1990-01-09,O,1990-01-09 09:30:00,1990-01-09 14:05:00,1990-01-09 13:59:30,1990-01-09 14:00:00,28,199001,199003,199004,199005,199008,199009,199010
1990-01-10,O,1990-01-10 09:30:00,1990-01-10 14:05:00,1990-01-10 13:59:30,1990-01-10 14:00:00,27,199001,199003,199004,199005,199008,199009,199010
1990-01-11,O,1990-01-11 09:30:00,1990-01-11 14:05:00,1990-01-11 13:59:30,1990-01-11 14:00:00,26,199001,199003,199004,199005,199008,199009,199010
1990-01-12,O,1990-01-12 09:30:00,1990-01-12 14:05:00,1990-01-12 13:59:30,1990-01-12 14:00:00,25,199001,199003,199004,199005,199008,199009,199010
1990-01-15,O,1990-01-15 09:30:00,1990-01-15 14:05:00,1990-01-15 13:59:30,1990-01-15 14:00:00,24,199001,199003,199004,199005,199008,199009,199010
1990-01-16,O,1990-01-16 09:30:00,1990-01-16 14:05:00,1990-01-16 13:59:30,1990-01-16 14:00:00,23,199001,199003,199004,199005,199008,199009,199010
