date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Gasoil_N0,Gasoil_N1,Gasoil_N2,Gasoil_N3,Gasoil_N4,Gasoil_N5,Gasoil_N6
1990-01-01,X,,,,,,,,,,,,
1990-01-02,O,1990-01-01 19:00:00,1990-01-02 17:00:00,1990-01-02 11:28:00,1990-01-02 11:30:00,18,199001,199002,199003,199004,199005,199006,199007
1990-01-03,O,1990-01-02 19:00:00,1990-01-03 17:00:00,1990-01-03 11:28:00,1990-01-03 11:30:00,17,199001,199002,199003,199004,199005,199006,199007
1990-01-04,O,1990-01-03 19:00:00,1990-01-04 17:00:00,1990-01-04 11:28:00,1990-01-04 11:30:00,16,199001,199002,199003,199004,199005,199006,199007
1990-01-05,O,1990-01-04 19:00:00,1990-01-05 17:00:00,1990-01-05 11:28:00,1990-01-05 11:30:00,15,199001,199002,199003,199004,199005,199006,199007
1990-01-08,O,1990-01-07 18:00:00,1990-01-08 17:00:00,1990-01-08 11:28:00,1990-01-08 11:30:00,14,199001,199002,199003,199004,199005,199006,199007
1990-01-09,O,1990-01-08 19:00:00,1990-01-09 17:00:00,1990-01-09 11:28:00,1990-01-09 11:30:00,13,199001,199002,199003,199004,199005,199006,199007
1990-01-10,O,1990-01-09 19:00:00,1990-01-10 17:00:00,1990-01-10 11:28:00,1990-01-10 11:30:00,12,199001,199002,199003,199004,199005,199006,199007
1990-01-11,O,1990-01-10 19:00:00,1990-01-11 17:00:00,1990-01-11 11:28:00,1990-01-11 11:30:00,11,,199002,199003,199004,199005,199006,199007
1990-01-12,O,1990-01-11 19:00:00,1990-01-12 17:00:00,1990-01-12 11:28:00,1990-01-12 11:30:00,10,,199002,199003,199004,199005,199006,199007
1990-01-15,O,1990-01-14 18:00:00,1990-01-15 17:00:00,1990-01-15 11:28:00,1990-01-15 11:30:00,9,,199002,199003,199004,199005,199006,199007
1990-01-16,O,1990-01-15 19:00:00,1990-01-16 17:00:00,1990-01-16 11:28:00,1990-01-16 11:30:00,8,,199002,199003,199004,199005,199006,199007
1990-01-17,O,1990-01-16 19:00:00,1990-01-17 17:00:00,1990-01-17 11:28:00,1990-01-17 11:30:00,7,,199002,199003,199004,199005,199006,199007
1990-01-18,O,1990-01-17 19:00:00,1990-01-18 17:00:00,1990-01-18 11:28:00,1990-01-18 11:30:00,6,,199002,199003,199004,199005,199006,199007
1990-01-19,O,1990-01-18 19:00:00,1990-01-19 17:00:00,1990-01-19 11:28:00,1990-01-19 11:30:00,5,,199002,199003,199004,199005,199006,199007
1990-01-22,O,1990-01-21 18:00:00,1990-01-22 17:00:00,1990-01-22 11:28:00,1990-01-22 11:30:00,4,,199002,199003,199004,199005,199006,199007
1990-01-23,O,1990-01-22 19:00:00,1990-01-23 17:00:00,1990-01-23 11:28:00,1990-01-23 11:30:00,3,,199002,199003,199004,199005,199006,199007
1990-01-24,O,1990-01-23 19:00:00,1990-01-24 17:00:00,1990-01-24 11:28:00,1990-01-24 11:30:00,2,,199002,199003,199004,199005,199006,199007
1990-01-25,O,1990-01-24 19:00:00,1990-01-25 17:00:00,1990-01-25 11:28:00,1990-01-25 11:30:00,1,,199002,199003,199004,199005,199006,199007
1990-01-26,O,1990-01-25 19:00:00,1990-01-26 17:00:00,1990-01-26 11:28:00,1990-01-26 11:30:00,0,,199002,199003,199004,199005,199006,199007
1990-01-29,O,1990-01-28 18:00:00,1990-01-29 17:00:00,1990-01-29 11:28:00,1990-01-29 11:30:00,18,199002,199003,199004,199005,199006,199007,199008
1990-01-30,O,1990-01-29 19:00:00,1990-01-30 17:00:00,1990-01-30 11:28:00,1990-01-30 11:30:00,17,199002,199003,199004,199005,199006,199007,199008
1990-01-31,O,1990-01-30 19:00:00,1990-01-31 17:00:00,1990-01-31 11:28:00,1990-01-31 11:30:00,16,199002,199003,199004,199005,199006,199007,199008
1990-02-01,O,1990-01-31 19:00:00,1990-02-01 17:00:00,1990-02-01 11:28:00,1990-02-01 11:30:00,15,199002,199003,199004,199005,199006,199007,199008
1990-02-02,O,1990-02-01 19:00:00,1990-02-02 17:00:00,1990-02-02 11:28:00,1990-02-02 11:30:00,14,199002,199003,199004,199005,199006,199007,199008
1990-02-05,O,1990-02-04 18:00:00,1990-02-05 17:00:00,1990-02-05 11:28:00,1990-02-05 11:30:00,13,199002,199003,199004,199005,199006,199007,199008
1990-02-06,O,1990-02-05 19:00:00,1990-02-06 17:00:00,1990-02-06 11:28:00,1990-02-06 11:30:00,12,199002,199003,199004,199005,199006,199007,199008
1990-02-07,O,1990-02-06 19:00:00,1990-02-07 17:00:00,1990-02-07 11:28:00,1990-02-07 11:30:00,11,199002,199003,199004,199005,199006,199007,199008
1990-02-08,O,1990-02-07 19:00:00,1990-02-08 17:00:00,1990-02-08 11:28:00,1990-02-08 11:30:00,10,199002,199003,199004,199005,199006,199007,199008
1990-02-09,O,1990-02-08 19:00:00,1990-02-09 17:00:00,1990-02-09 11:28:00,1990-02-09 11:30:00,9,199002,199003,199004,199005,199006,199007,199008
1990-02-12,O,1990-02-11 18:00:00,1990-02-12 17:00:00,1990-02-12 11:28:00,1990-02-12 11:30:00,8,,199003,199004,199005,199006,199007,199008
1990-02-13,O,1990-02-12 19:00:00,1990-02-13 17:00:00,1990-02-13 11:28:00,1990-02-13 11:30:00,7,,199003,199004,199005,199006,199007,199008
1990-02-14,O,1990-02-13 19:00:00,1990-02-14 17:00:00,1990-02-14 11:28:00,1990-02-14 11:30:00,6,,199003,199004,199005,199006,199007,199008
1990-02-15,O,1990-02-14 19:00:00,1990-02-15 17:00:00,1990-02-15 11:28:00,1990-02-15 11:30:00,5,,199003,199004,199005,199006,199007,199008
1990-02-16,O,1990-02-15 19:00:00,1990-02-16 17:00:00,1990-02-16 11:28:00,1990-02-16 11:30:00,4,,199003,199004,199005,199006,199007,199008
1990-02-19,O,1990-02-18 18:00:00,1990-02-19 17:00:00,1990-02-19 11:28:00,1990-02-19 11:30:00,3,,199003,199004,199005,199006,199007,199008
1990-02-20,O,1990-02-19 19:00:00,1990-02-20 17:00:00,1990-02-20 11:28:00,1990-02-20 11:30:00,2,,199003,199004,199005,199006,199007,199008
1990-02-21,O,1990-02-20 19:00:00,1990-02-21 17:00:00,1990-02-21 11:28:00,1990-02-21 11:30:00,1,,199003,199004,199005,199006,199007,199008
1990-02-22,O,1990-02-21 19:00:00,1990-02-22 17:00:00,1990-02-22 11:28:00,1990-02-22 11:30:00,0,,199003,199004,199005,199006,199007,199008
1990-02-23,O,1990-02-22 19:00:00,1990-02-23 17:00:00,1990-02-23 11:28:00,1990-02-23 11:30:00,22,199003,199004,199005,199006,199007,199008,199009
1990-02-26,O,1990-02-25 18:00:00,1990-02-26 17:00:00,1990-02-26 11:28:00,1990-02-26 11:30:00,21,199003,199004,199005,199006,199007,199008,199009
1990-02-27,O,1990-02-26 19:00:00,1990-02-27 17:00:00,1990-02-27 11:28:00,1990-02-27 11:30:00,20,199003,199004,199005,199006,199007,199008,199009
1990-02-28,O,1990-02-27 19:00:00,1990-02-28 17:00:00,1990-02-28 11:28:00,1990-02-28 11:30:00,19,199003,199004,199005,199006,199007,199008,199009
1990-03-01,O,1990-02-28 19:00:00,1990-03-01 17:00:00,1990-03-01 11:28:00,1990-03-01 11:30:00,18,199003,199004,199005,199006,199007,199008,199009
1990-03-02,O,1990-03-01 19:00:00,1990-03-02 17:00:00,1990-03-02 11:28:00,1990-03-02 11:30:00,17,199003,199004,199005,199006,199007,199008,199009
1990-03-05,O,1990-03-04 18:00:00,1990-03-05 17:00:00,1990-03-05 11:28:00,1990-03-05 11:30:00,16,199003,199004,199005,199006,199007,199008,199009
1990-03-06,O,1990-03-05 19:00:00,1990-03-06 17:00:00,1990-03-06 11:28:00,1990-03-06 11:30:00,15,199003,199004,199005,199006,199007,199008,199009
1990-03-07,O,1990-03-06 19:00:00,1990-03-07 17:00:00,1990-03-07 11:28:00,1990-03-07 11:30:00,14,199003,199004,199005,199006,199007,199008,199009
1990-03-08,O,1990-03-07 19:00:00,1990-03-08 17:00:00,1990-03-08 11:28:00,1990-03-08 11:30:00,13,199003,199004,199005,199006,199007,199008,199009
1990-03-09,O,1990-03-08 19:00:00,1990-03-09 17:00:00,1990-03-09 11:28:00,1990-03-09 11:30:00,12,,199004,199005,199006,199007,199008,199009
1990-03-12,O,1990-03-11 18:00:00,1990-03-12 17:00:00,1990-03-12 11:28:00,1990-03-12 11:30:00,11,,199004,199005,199006,199007,199008,199009
1990-03-13,O,1990-03-12 19:00:00,1990-03-13 17:00:00,1990-03-13 11:28:00,1990-03-13 11:30:00,10,,199004,199005,199006,199007,199008,199009
1990-03-14,O,1990-03-13 19:00:00,1990-03-14 17:00:00,1990-03-14 11:28:00,1990-03-14 11:30:00,9,,199004,199005,199006,199007,199008,199009
1990-03-15,O,1990-03-14 19:00:00,1990-03-15 17:00:00,1990-03-15 11:28:00,1990-03-15 11:30:00,8,,199004,199005,199006,199007,199008,199009
1990-03-16,O,1990-03-15 19:00:00,1990-03-16 17:00:00,1990-03-16 11:28:00,1990-03-16 11:30:00,7,,199004,199005,199006,199007,199008,199009
1990-03-19,O,1990-03-18 18:00:00,1990-03-19 17:00:00,1990-03-19 11:28:00,1990-03-19 11:30:00,6,,199004,199005,199006,199007,199008,199009
1990-03-20,O,1990-03-19 19:00:00,1990-03-20 17:00:00,1990-03-20 11:28:00,1990-03-20 11:30:00,5,,199004,199005,199006,199007,199008,199009
1990-03-21,O,1990-03-20 19:00:00,1990-03-21 17:00:00,1990-03-21 11:28:00,1990-03-21 11:30:00,4,,199004,199005,199006,199007,199008,199009
1990-03-22,O,1990-03-21 19:00:00,1990-03-22 17:00:00,1990-03-22 11:28:00,1990-03-22 11:30:00,3,,199004,199005,199006,199007,199008,199009
1990-03-23,O,1990-03-22 19:00:00,1990-03-23 17:00:00,1990-03-23 11:28:00,1990-03-23 11:30:00,2,,199004,199005,199006,199007,199008,199009
1990-03-26,O,1990-03-25 17:00:00,1990-03-26 16:00:00,1990-03-26 10:28:00,1990-03-26 10:30:00,1,,199004,199005,199006,199007,199008,199009
1990-03-27,O,1990-03-26 18:00:00,1990-03-27 16:00:00,1990-03-27 10:28:00,1990-03-27 10:30:00,0,,199004,199005,199006,199007,199008,199009
1990-03-28,O,1990-03-27 18:00:00,1990-03-28 16:00:00,1990-03-28 10:28:00,1990-03-28 10:30:00,17,199004,199005,199006,199007,199008,199009,199010
1990-03-29,O,1990-03-28 18:00:00,1990-03-29 16:00:00,1990-03-29 10:28:00,1990-03-29 10:30:00,16,199004,199005,199006,199007,199008,199009,199010
1990-03-30,O,1990-03-29 18:00:00,1990-03-30 16:00:00,1990-03-30 10:28:00,1990-03-30 10:30:00,15,199004,199005,199006,199007,199008,199009,199010
1990-04-02,O,1990-04-01 18:00:00,1990-04-02 17:00:00,1990-04-02 11:28:00,1990-04-02 11:30:00,14,199004,199005,199006,199007,199008,199009,199010
1990-04-03,O,1990-04-02 19:00:00,1990-04-03 17:00:00,1990-04-03 11:28:00,1990-04-03 11:30:00,13,199004,199005,199006,199007,199008,199009,199010
1990-04-04,O,1990-04-03 19:00:00,1990-04-04 17:00:00,1990-04-04 11:28:00,1990-04-04 11:30:00,12,199004,199005,199006,199007,199008,199009,199010
1990-04-05,O,1990-04-04 19:00:00,1990-04-05 17:00:00,1990-04-05 11:28:00,1990-04-05 11:30:00,11,199004,199005,199006,199007,199008,199009,199010
1990-04-06,O,1990-04-05 19:00:00,1990-04-06 17:00:00,1990-04-06 11:28:00,1990-04-06 11:30:00,10,199004,199005,199006,199007,199008,199009,199010
1990-04-09,O,1990-04-08 18:00:00,1990-04-09 17:00:00,1990-04-09 11:28:00,1990-04-09 11:30:00,9,199004,199005,199006,199007,199008,199009,199010
1990-04-10,O,1990-04-09 19:00:00,1990-04-10 17:00:00,1990-04-10 11:28:00,1990-04-10 11:30:00,8,199004,199005,199006,199007,199008,199009,199010
1990-04-11,O,1990-04-10 19:00:00,1990-04-11 17:00:00,1990-04-11 11:28:00,1990-04-11 11:30:00,7,,199005,199006,199007,199008,199009,199010
1990-04-12,O,1990-04-11 19:00:00,1990-04-12 17:00:00,1990-04-12 11:28:00,1990-04-12 11:30:00,6,,199005,199006,199007,199008,199009,199010
1990-04-13,X,,,,,,,,,,,,
1990-04-16,X,,,,,,,,,,,,
1990-04-17,O,1990-04-16 19:00:00,1990-04-17 17:00:00,1990-04-17 11:28:00,1990-04-17 11:30:00,5,,199005,199006,199007,199008,199009,199010
1990-04-18,O,1990-04-17 19:00:00,1990-04-18 17:00:00,1990-04-18 11:28:00,1990-04-18 11:30:00,4,,199005,199006,199007,199008,199009,199010
1990-04-19,O,1990-04-18 19:00:00,1990-04-19 17:00:00,1990-04-19 11:28:00,1990-04-19 11:30:00,3,,199005,199006,199007,199008,199009,199010
1990-04-20,O,1990-04-19 19:00:00,1990-04-20 17:00:00,1990-04-20 11:28:00,1990-04-20 11:30:00,2,,199005,199006,199007,199008,199009,199010
1990-04-23,O,1990-04-22 18:00:00,1990-04-23 17:00:00,1990-04-23 11:28:00,1990-04-23 11:30:00,1,,199005,199006,199007,199008,199009,199010
1990-04-24,O,1990-04-23 19:00:00,1990-04-24 17:00:00,1990-04-24 11:28:00,1990-04-24 11:30:00,0,,199005,199006,199007,199008,199009,199010
1990-04-25,O,1990-04-24 19:00:00,1990-04-25 17:00:00,1990-04-25 11:28:00,1990-04-25 11:30:00,20,199005,199006,199007,199008,199009,199010,199011
1990-04-26,O,1990-04-25 19:00:00,1990-04-26 17:00:00,1990-04-26 11:28:00,1990-04-26 11:30:00,19,199005,199006,199007,199008,199009,199010,199011
1990-04-27,O,1990-04-26 19:00:00,1990-04-27 17:00:00,1990-04-27 11:28:00,1990-04-27 11:30:00,18,199005,199006,199007,199008,199009,199010,199011
1990-04-30,O,1990-04-29 18:00:00,1990-04-30 17:00:00,1990-04-30 11:28:00,1990-04-30 11:30:00,17,199005,199006,199007,199008,199009,199010,199011
1990-05-01,O,1990-04-30 19:00:00,1990-05-01 17:00:00,1990-05-01 11:28:00,1990-05-01 11:30:00,16,199005,199006,199007,199008,199009,199010,199011
1990-05-02,O,1990-05-01 19:00:00,1990-05-02 17:00:00,1990-05-02 11:28:00,1990-05-02 11:30:00,15,199005,199006,199007,199008,199009,199010,199011
1990-05-03,O,1990-05-02 19:00:00,1990-05-03 17:00:00,1990-05-03 11:28:00,1990-05-03 11:30:00,14,199005,199006,199007,199008,199009,199010,199011
1990-05-04,O,1990-05-03 19:00:00,1990-05-04 17:00:00,1990-05-04 11:28:00,1990-05-04 11:30:00,13,199005,199006,199007,199008,199009,199010,199011
1990-05-07,X,,,,,,,,,,,,
1990-05-08,O,1990-05-07 19:00:00,1990-05-08 17:00:00,1990-05-08 11:28:00,1990-05-08 11:30:00,12,199005,199006,199007,199008,199009,199010,199011
1990-05-09,O,1990-05-08 19:00:00,1990-05-09 17:00:00,1990-05-09 11:28:00,1990-05-09 11:30:00,11,199005,199006,199007,199008,199009,199010,199011
