date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,MillingWheat_N0,MillingWheat_N1,MillingWheat_N2,MillingWheat_N3,MillingWheat_N4,MillingWheat_N5,MillingWheat_N6
1999-01-01,X,,,,,,,,,,,,
1999-01-04,O,1999-01-04 04:45:00,1999-01-04 12:30:00,1999-01-04 12:29:00,1999-01-04 12:30:00,27,,199903,199905,200003,200005,200103,200105
1999-01-05,O,1999-01-05 04:45:00,1999-01-05 12:30:00,1999-01-05 12:29:00,1999-01-05 12:30:00,26,,199903,199905,200003,200005,200103,200105
1999-01-06,O,1999-01-06 04:45:00,1999-01-06 12:30:00,1999-01-06 12:29:00,1999-01-06 12:30:00,25,,199903,199905,200003,200005,200103,200105
1999-01-07,O,1999-01-07 04:45:00,1999-01-07 12:30:00,1999-01-07 12:29:00,1999-01-07 12:30:00,24,,199903,199905,200003,200005,200103,200105
1999-01-08,O,1999-01-08 04:45:00,1999-01-08 12:30:00,1999-01-08 12:29:00,1999-01-08 12:30:00,23,,199903,199905,200003,200005,200103,200105
1999-01-11,O,1999-01-11 04:45:00,1999-01-11 12:30:00,1999-01-11 12:29:00,1999-01-11 12:30:00,22,,199903,199905,200003,200005,200103,200105
1999-01-12,O,1999-01-12 04:45:00,1999-01-12 12:30:00,1999-01-12 12:29:00,1999-01-12 12:30:00,21,,199903,199905,200003,200005,200103,200105
1999-01-13,O,1999-01-13 04:45:00,1999-01-13 12:30:00,1999-01-13 12:29:00,1999-01-13 12:30:00,20,,199903,199905,200003,200005,200103,200105
1999-01-14,O,1999-01-14 04:45:00,1999-01-14 12:30:00,1999-01-14 12:29:00,1999-01-14 12:30:00,19,,199903,199905,200003,200005,200103,200105
1999-01-15,O,1999-01-15 04:45:00,1999-01-15 12:30:00,1999-01-15 12:29:00,1999-01-15 12:30:00,18,,199903,199905,200003,200005,200103,200105
1999-01-18,O,1999-01-18 04:45:00,1999-01-18 12:30:00,1999-01-18 12:29:00,1999-01-18 12:30:00,17,,199903,199905,200003,200005,200103,200105
1999-01-19,O,1999-01-19 04:45:00,1999-01-19 12:30:00,1999-01-19 12:29:00,1999-01-19 12:30:00,16,,199903,199905,200003,200005,200103,200105
1999-01-20,O,1999-01-20 04:45:00,1999-01-20 12:30:00,1999-01-20 12:29:00,1999-01-20 12:30:00,15,,199903,199905,200003,200005,200103,200105
1999-01-21,O,1999-01-21 04:45:00,1999-01-21 12:30:00,1999-01-21 12:29:00,1999-01-21 12:30:00,14,,199903,199905,200003,200005,200103,200105
1999-01-22,O,1999-01-22 04:45:00,1999-01-22 12:30:00,1999-01-22 12:29:00,1999-01-22 12:30:00,13,,199903,199905,200003,200005,200103,200105
1999-01-25,O,1999-01-25 04:45:00,1999-01-25 12:30:00,1999-01-25 12:29:00,1999-01-25 12:30:00,12,,199903,199905,200003,200005,200103,200105
