date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,NOK_N0,NOK_N1,NOK_N2,NOK_N3,NOK_N4,NOK_N5,NOK_N6
2020-01-01,X,,,,,,,,,,,,
2020-01-02,O,2020-01-01 18:00:00,2020-01-02 17:00:00,2020-01-02 14:59:30,2020-01-02 15:00:00,45,,202003,202006,202009,202012,202103,202106
2020-01-03,O,2020-01-02 18:00:00,2020-01-03 17:00:00,2020-01-03 14:59:30,2020-01-03 15:00:00,44,,202003,202006,202009,202012,202103,202106
2020-01-06,O,2020-01-05 18:00:00,2020-01-06 17:00:00,2020-01-06 14:59:30,2020-01-06 15:00:00,43,,202003,202006,202009,202012,202103,202106
2020-01-07,O,2020-01-06 18:00:00,2020-01-07 17:00:00,2020-01-07 14:59:30,2020-01-07 15:00:00,42,,202003,202006,202009,202012,202103,202106
2020-01-08,O,2020-01-07 18:00:00,2020-01-08 17:00:00,2020-01-08 14:59:30,2020-01-08 15:00:00,41,,202003,202006,202009,202012,202103,202106
2020-01-09,O,2020-01-08 18:00:00,2020-01-09 17:00:00,2020-01-09 14:59:30,2020-01-09 15:00:00,40,,202003,202006,202009,202012,202103,202106
2020-01-10,O,2020-01-09 18:00:00,2020-01-10 17:00:00,2020-01-10 14:59:30,2020-01-10 15:00:00,39,,202003,202006,202009,202012,202103,202106
2020-01-13,O,2020-01-12 18:00:00,2020-01-13 17:00:00,2020-01-13 14:59:30,2020-01-13 15:00:00,38,,202003,202006,202009,202012,202103,202106
2020-01-14,O,2020-01-13 18:00:00,2020-01-14 17:00:00,2020-01-14 14:59:30,2020-01-14 15:00:00,37,,202003,202006,202009,202012,202103,202106
2020-01-15,O,2020-01-14 18:00:00,2020-01-15 17:00:00,2020-01-15 14:59:30,2020-01-15 15:00:00,36,,202003,202006,202009,202012,202103,202106
2020-01-16,O,2020-01-15 18:00:00,2020-01-16 17:00:00,2020-01-16 14:59:30,2020-01-16 15:00:00,35,,202003,202006,202009,202012,202103,202106
2020-01-17,O,2020-01-16 18:00:00,2020-01-17 17:00:00,2020-01-17 14:59:30,2020-01-17 15:00:00,34,,202003,202006,202009,202012,202103,202106
2020-01-20,X,,,,,,,,,,,,
2020-01-21,O,2020-01-20 18:00:00,2020-01-21 17:00:00,2020-01-21 14:59:30,2020-01-21 15:00:00,33,,202003,202006,202009,202012,202103,202106
2020-01-22,O,2020-01-21 18:00:00,2020-01-22 17:00:00,2020-01-22 14:59:30,2020-01-22 15:00:00,32,,202003,202006,202009,202012,202103,202106
2020-01-23,O,2020-01-22 18:00:00,2020-01-23 17:00:00,2020-01-23 14:59:30,2020-01-23 15:00:00,31,,202003,202006,202009,202012,202103,202106
2020-01-24,O,2020-01-23 18:00:00,2020-01-24 17:00:00,2020-01-24 14:59:30,2020-01-24 15:00:00,30,,202003,202006,202009,202012,202103,202106
2020-01-27,O,2020-01-26 18:00:00,2020-01-27 17:00:00,2020-01-27 14:59:30,2020-01-27 15:00:00,29,,202003,202006,202009,202012,202103,202106
2020-01-28,O,2020-01-27 18:00:00,2020-01-28 17:00:00,2020-01-28 14:59:30,2020-01-28 15:00:00,28,,202003,202006,202009,202012,202103,202106
2020-01-29,O,2020-01-28 18:00:00,2020-01-29 17:00:00,2020-01-29 14:59:30,2020-01-29 15:00:00,27,,202003,202006,202009,202012,202103,202106
2020-01-30,O,2020-01-29 18:00:00,2020-01-30 17:00:00,2020-01-30 14:59:30,2020-01-30 15:00:00,26,,202003,202006,202009,202012,202103,202106
2020-01-31,O,2020-01-30 18:00:00,2020-01-31 17:00:00,2020-01-31 14:59:30,2020-01-31 15:00:00,25,,202003,202006,202009,202012,202103,202106
2020-02-03,O,2020-02-02 18:00:00,2020-02-03 17:00:00,2020-02-03 14:59:30,2020-02-03 15:00:00,24,,202003,202006,202009,202012,202103,202106
2020-02-04,O,2020-02-03 18:00:00,2020-02-04 17:00:00,2020-02-04 14:59:30,2020-02-04 15:00:00,23,,202003,202006,202009,202012,202103,202106
2020-02-05,O,2020-02-04 18:00:00,2020-02-05 17:00:00,2020-02-05 14:59:30,2020-02-05 15:00:00,22,,202003,202006,202009,202012,202103,202106
2020-02-06,O,2020-02-05 18:00:00,2020-02-06 17:00:00,2020-02-06 14:59:30,2020-02-06 15:00:00,21,,202003,202006,202009,202012,202103,202106
2020-02-07,O,2020-02-06 18:00:00,2020-02-07 17:00:00,2020-02-07 14:59:30,2020-02-07 15:00:00,20,,202003,202006,202009,202012,202103,202106
2020-02-10,O,2020-02-09 18:00:00,2020-02-10 17:00:00,2020-02-10 14:59:30,2020-02-10 15:00:00,19,,202003,202006,202009,202012,202103,202106
2020-02-11,O,2020-02-10 18:00:00,2020-02-11 17:00:00,2020-02-11 14:59:30,2020-02-11 15:00:00,18,,202003,202006,202009,202012,202103,202106
2020-02-12,O,2020-02-11 18:00:00,2020-02-12 17:00:00,2020-02-12 14:59:30,2020-02-12 15:00:00,17,,202003,202006,202009,202012,202103,202106
2020-02-13,O,2020-02-12 18:00:00,2020-02-13 17:00:00,2020-02-13 14:59:30,2020-02-13 15:00:00,16,,202003,202006,202009,202012,202103,202106
2020-02-14,O,2020-02-13 18:00:00,2020-02-14 17:00:00,2020-02-14 14:59:30,2020-02-14 15:00:00,15,,202003,202006,202009,202012,202103,202106
2020-02-17,X,,,,,,,,,,,,
2020-02-18,O,2020-02-17 18:00:00,2020-02-18 17:00:00,2020-02-18 14:59:30,2020-02-18 15:00:00,14,,202003,202006,202009,202012,202103,202106
2020-02-19,O,2020-02-18 18:00:00,2020-02-19 17:00:00,2020-02-19 14:59:30,2020-02-19 15:00:00,13,,202003,202006,202009,202012,202103,202106
