date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Rapeseed_N0,Rapeseed_N1,Rapeseed_N2,Rapeseed_N3,Rapeseed_N4,Rapeseed_N5,Rapeseed_N6
1994-10-03,O,1994-10-03 04:45:00,1994-10-03 12:30:00,1994-10-03 12:29:00,1994-10-03 12:30:00,79,,,,,,,
1994-10-04,O,1994-10-04 04:45:00,1994-10-04 12:30:00,1994-10-04 12:29:00,1994-10-04 12:30:00,78,,,,,,,
1994-10-05,O,1994-10-05 04:45:00,1994-10-05 12:30:00,1994-10-05 12:29:00,1994-10-05 12:30:00,77,,,,,,,
1994-10-06,O,1994-10-06 04:45:00,1994-10-06 12:30:00,1994-10-06 12:29:00,1994-10-06 12:30:00,76,,,,,,,
1994-10-07,O,1994-10-07 04:45:00,1994-10-07 12:30:00,1994-10-07 12:29:00,1994-10-07 12:30:00,75,,,,,,,
1994-10-10,O,1994-10-10 04:45:00,1994-10-10 12:30:00,1994-10-10 12:29:00,1994-10-10 12:30:00,74,,,,,,,
1994-10-11,O,1994-10-11 04:45:00,1994-10-11 12:30:00,1994-10-11 12:29:00,1994-10-11 12:30:00,73,,,,,,,
1994-10-12,O,1994-10-12 04:45:00,1994-10-12 12:30:00,1994-10-12 12:29:00,1994-10-12 12:30:00,72,,,,,,,
1994-10-13,O,1994-10-13 04:45:00,1994-10-13 12:30:00,1994-10-13 12:29:00,1994-10-13 12:30:00,71,,,,,,,
1994-10-14,O,1994-10-14 04:45:00,1994-10-14 12:30:00,1994-10-14 12:29:00,1994-10-14 12:30:00,70,,,,,,,
1994-10-17,O,1994-10-17 04:45:00,1994-10-17 12:30:00,1994-10-17 12:29:00,1994-10-17 12:30:00,69,,,,,,,
1994-10-18,O,1994-10-18 04:45:00,1994-10-18 12:30:00,1994-10-18 12:29:00,1994-10-18 12:30:00,68,,,,,,,
1994-10-19,O,1994-10-19 04:45:00,1994-10-19 12:30:00,1994-10-19 12:29:00,1994-10-19 12:30:00,67,,,,,,,
1994-10-20,O,1994-10-20 04:45:00,1994-10-20 12:30:00,1994-10-20 12:29:00,1994-10-20 12:30:00,66,,,,,,,
1994-10-21,O,1994-10-21 04:45:00,1994-10-21 12:30:00,1994-10-21 12:29:00,1994-10-21 12:30:00,65,,,,,,,
1994-10-24,O,1994-10-24 04:45:00,1994-10-24 12:30:00,1994-10-24 12:29:00,1994-10-24 12:30:00,64,,,,,,,
1994-10-25,O,1994-10-25 04:45:00,1994-10-25 12:30:00,1994-10-25 12:29:00,1994-10-25 12:30:00,63,,,,,,,
1994-10-26,O,1994-10-26 04:45:00,1994-10-26 12:30:00,1994-10-26 12:29:00,1994-10-26 12:30:00,62,,,,,,,
1994-10-27,O,1994-10-27 04:45:00,1994-10-27 12:30:00,1994-10-27 12:29:00,1994-10-27 12:30:00,61,,,,,,,
