date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,RobustaCoffee_N0,RobustaCoffee_N1,RobustaCoffee_N2,RobustaCoffee_N3,RobustaCoffee_N4,RobustaCoffee_N5,RobustaCoffee_N6
1991-07-01,O,1991-07-01 04:00:00,1991-07-01 12:30:00,1991-07-01 12:23:00,1991-07-01 12:25:00,4448,,,,,,,
1991-07-02,O,1991-07-02 04:00:00,1991-07-02 12:30:00,1991-07-02 12:23:00,1991-07-02 12:25:00,4447,,,,,,,
1991-07-03,O,1991-07-03 04:00:00,1991-07-03 12:30:00,1991-07-03 12:23:00,1991-07-03 12:25:00,4446,,,,,,,
1991-07-04,O,1991-07-04 04:00:00,1991-07-04 12:30:00,1991-07-04 12:23:00,1991-07-04 12:25:00,4445,,,,,,,
1991-07-05,O,1991-07-05 04:00:00,1991-07-05 12:30:00,1991-07-05 12:23:00,1991-07-05 12:25:00,4444,,,,,,,
1991-07-08,O,1991-07-08 04:00:00,1991-07-08 12:30:00,1991-07-08 12:23:00,1991-07-08 12:25:00,4443,,,,,,,
1991-07-09,O,1991-07-09 04:00:00,1991-07-09 12:30:00,1991-07-09 12:23:00,1991-07-09 12:25:00,4442,,,,,,,
1991-07-10,O,1991-07-10 04:00:00,1991-07-10 12:30:00,1991-07-10 12:23:00,1991-07-10 12:25:00,4441,,,,,,,
1991-07-11,O,1991-07-11 04:00:00,1991-07-11 12:30:00,1991-07-11 12:23:00,1991-07-11 12:25:00,4440,,,,,,,
1991-07-12,O,1991-07-12 04:00:00,1991-07-12 12:30:00,1991-07-12 12:23:00,1991-07-12 12:25:00,4439,,,,,,,
1991-07-15,O,1991-07-15 04:00:00,1991-07-15 12:30:00,1991-07-15 12:23:00,1991-07-15 12:25:00,4438,,,,,,,
1991-07-16,O,1991-07-16 04:00:00,1991-07-16 12:30:00,1991-07-16 12:23:00,1991-07-16 12:25:00,4437,,,,,,,
1991-07-17,O,1991-07-17 04:00:00,1991-07-17 12:30:00,1991-07-17 12:23:00,1991-07-17 12:25:00,4436,,,,,,,
1991-07-18,O,1991-07-18 04:00:00,1991-07-18 12:30:00,1991-07-18 12:23:00,1991-07-18 12:25:00,4435,,,,,,,
1991-07-19,O,1991-07-19 04:00:00,1991-07-19 12:30:00,1991-07-19 12:23:00,1991-07-19 12:25:00,4434,,,,,,,
1991-07-22,O,1991-07-22 04:00:00,1991-07-22 12:30:00,1991-07-22 12:23:00,1991-07-22 12:25:00,4433,,,,,,,
1991-07-23,O,1991-07-23 04:00:00,1991-07-23 12:30:00,1991-07-23 12:23:00,1991-07-23 12:25:00,4432,,,,,,,
1991-07-24,O,1991-07-24 04:00:00,1991-07-24 12:30:00,1991-07-24 12:23:00,1991-07-24 12:25:00,4431,,,,,,,
1991-07-25,O,1991-07-25 04:00:00,1991-07-25 12:30:00,1991-07-25 12:23:00,1991-07-25 12:25:00,4430,,,,,,,
1991-07-26,O,1991-07-26 04:00:00,1991-07-26 12:30:00,1991-07-26 12:23:00,1991-07-26 12:25:00,4429,,,,,,,
1991-07-29,O,1991-07-29 04:00:00,1991-07-29 12:30:00,1991-07-29 12:23:00,1991-07-29 12:25:00,4428,,,,,,,
1991-07-30,O,1991-07-30 04:00:00,1991-07-30 12:30:00,1991-07-30 12:23:00,1991-07-30 12:25:00,4427,,,,,,,
1991-07-31,O,1991-07-31 04:00:00,1991-07-31 12:30:00,1991-07-31 12:23:00,1991-07-31 12:25:00,4426,,,,,,,
1991-08-01,O,1991-08-01 04:00:00,1991-08-01 12:30:00,1991-08-01 12:23:00,1991-08-01 12:25:00,4425,,,,,,,
1991-08-02,O,1991-08-02 04:00:00,1991-08-02 12:30:00,1991-08-02 12:23:00,1991-08-02 12:25:00,4424,,,,,,,
1991-08-05,O,1991-08-05 04:00:00,1991-08-05 12:30:00,1991-08-05 12:23:00,1991-08-05 12:25:00,4423,,,,,,,
1991-08-06,O,1991-08-06 04:00:00,1991-08-06 12:30:00,1991-08-06 12:23:00,1991-08-06 12:25:00,4422,,,,,,,
1991-08-07,O,1991-08-07 04:00:00,1991-08-07 12:30:00,1991-08-07 12:23:00,1991-08-07 12:25:00,4421,,,,,,,
1991-08-08,O,1991-08-08 04:00:00,1991-08-08 12:30:00,1991-08-08 12:23:00,1991-08-08 12:25:00,4420,,,,,,,
1991-08-09,O,1991-08-09 04:00:00,1991-08-09 12:30:00,1991-08-09 12:23:00,1991-08-09 12:25:00,4419,,,,,,,
1991-08-12,O,1991-08-12 04:00:00,1991-08-12 12:30:00,1991-08-12 12:23:00,1991-08-12 12:25:00,4418,,,,,,,
1991-08-13,O,1991-08-13 04:00:00,1991-08-13 12:30:00,1991-08-13 12:23:00,1991-08-13 12:25:00,4417,,,,,,,
1991-08-14,O,1991-08-14 04:00:00,1991-08-14 12:30:00,1991-08-14 12:23:00,1991-08-14 12:25:00,4416,,,,,,,
1991-08-15,O,1991-08-15 04:00:00,1991-08-15 12:30:00,1991-08-15 12:23:00,1991-08-15 12:25:00,4415,,,,,,,
1991-08-16,O,1991-08-16 04:00:00,1991-08-16 12:30:00,1991-08-16 12:23:00,1991-08-16 12:25:00,4414,,,,,,,
1991-08-19,O,1991-08-19 04:00:00,1991-08-19 12:30:00,1991-08-19 12:23:00,1991-08-19 12:25:00,4413,,,,,,,
1991-08-20,O,1991-08-20 04:00:00,1991-08-20 12:30:00,1991-08-20 12:23:00,1991-08-20 12:25:00,4412,,,,,,,
1991-08-21,O,1991-08-21 04:00:00,1991-08-21 12:30:00,1991-08-21 12:23:00,1991-08-21 12:25:00,4411,,,,,,,
1991-08-22,O,1991-08-22 04:00:00,1991-08-22 12:30:00,1991-08-22 12:23:00,1991-08-22 12:25:00,4410,,,,,,,
1991-08-23,O,1991-08-23 04:00:00,1991-08-23 12:30:00,1991-08-23 12:23:00,1991-08-23 12:25:00,4409,,,,,,,
1991-08-26,X,,,,,,,,,,,,
1991-08-27,O,1991-08-27 04:00:00,1991-08-27 12:30:00,1991-08-27 12:23:00,1991-08-27 12:25:00,4408,,,,,,,
1991-08-28,O,1991-08-28 04:00:00,1991-08-28 12:30:00,1991-08-28 12:23:00,1991-08-28 12:25:00,4407,,,,,,,
1991-08-29,O,1991-08-29 04:00:00,1991-08-29 12:30:00,1991-08-29 12:23:00,1991-08-29 12:25:00,4406,,,,,,,
1991-08-30,O,1991-08-30 04:00:00,1991-08-30 12:30:00,1991-08-30 12:23:00,1991-08-30 12:25:00,4405,,,,,,,
1991-09-02,O,1991-09-02 04:00:00,1991-09-02 12:30:00,1991-09-02 12:23:00,1991-09-02 12:25:00,4404,,,,,,,
1991-09-03,O,1991-09-03 04:00:00,1991-09-03 12:30:00,1991-09-03 12:23:00,1991-09-03 12:25:00,4403,,,,,,,
1991-09-04,O,1991-09-04 04:00:00,1991-09-04 12:30:00,1991-09-04 12:23:00,1991-09-04 12:25:00,4402,,,,,,,
1991-09-05,O,1991-09-05 04:00:00,1991-09-05 12:30:00,1991-09-05 12:23:00,1991-09-05 12:25:00,4401,,,,,,,
1991-09-06,O,1991-09-06 04:00:00,1991-09-06 12:30:00,1991-09-06 12:23:00,1991-09-06 12:25:00,4400,,,,,,,
1991-09-09,O,1991-09-09 04:00:00,1991-09-09 12:30:00,1991-09-09 12:23:00,1991-09-09 12:25:00,4399,,,,,,,
1991-09-10,O,1991-09-10 04:00:00,1991-09-10 12:30:00,1991-09-10 12:23:00,1991-09-10 12:25:00,4398,,,,,,,
1991-09-11,O,1991-09-11 04:00:00,1991-09-11 12:30:00,1991-09-11 12:23:00,1991-09-11 12:25:00,4397,,,,,,,
1991-09-12,O,1991-09-12 04:00:00,1991-09-12 12:30:00,1991-09-12 12:23:00,1991-09-12 12:25:00,4396,,,,,,,
1991-09-13,O,1991-09-13 04:00:00,1991-09-13 12:30:00,1991-09-13 12:23:00,1991-09-13 12:25:00,4395,,,,,,,
1991-09-16,O,1991-09-16 04:00:00,1991-09-16 12:30:00,1991-09-16 12:23:00,1991-09-16 12:25:00,4394,,,,,,,
1991-09-17,O,1991-09-17 04:00:00,1991-09-17 12:30:00,1991-09-17 12:23:00,1991-09-17 12:25:00,4393,,,,,,,
1991-09-18,O,1991-09-18 04:00:00,1991-09-18 12:30:00,1991-09-18 12:23:00,1991-09-18 12:25:00,4392,,,,,,,
1991-09-19,O,1991-09-19 04:00:00,1991-09-19 12:30:00,1991-09-19 12:23:00,1991-09-19 12:25:00,4391,,,,,,,
1991-09-20,O,1991-09-20 04:00:00,1991-09-20 12:30:00,1991-09-20 12:23:00,1991-09-20 12:25:00,4390,,,,,,,
1991-09-23,O,1991-09-23 04:00:00,1991-09-23 12:30:00,1991-09-23 12:23:00,1991-09-23 12:25:00,4389,,,,,,,
1991-09-24,O,1991-09-24 04:00:00,1991-09-24 12:30:00,1991-09-24 12:23:00,1991-09-24 12:25:00,4388,,,,,,,
1991-09-25,O,1991-09-25 04:00:00,1991-09-25 12:30:00,1991-09-25 12:23:00,1991-09-25 12:25:00,4387,,,,,,,
1991-09-26,O,1991-09-26 04:00:00,1991-09-26 12:30:00,1991-09-26 12:23:00,1991-09-26 12:25:00,4386,,,,,,,
1991-09-27,O,1991-09-27 04:00:00,1991-09-27 12:30:00,1991-09-27 12:23:00,1991-09-27 12:25:00,4385,,,,,,,
1991-09-30,O,1991-09-30 04:00:00,1991-09-30 12:30:00,1991-09-30 12:23:00,1991-09-30 12:25:00,4384,,,,,,,
1991-10-01,O,1991-10-01 04:00:00,1991-10-01 12:30:00,1991-10-01 12:23:00,1991-10-01 12:25:00,4383,,,,,,,
1991-10-02,O,1991-10-02 04:00:00,1991-10-02 12:30:00,1991-10-02 12:23:00,1991-10-02 12:25:00,4382,,,,,,,
1991-10-03,O,1991-10-03 04:00:00,1991-10-03 12:30:00,1991-10-03 12:23:00,1991-10-03 12:25:00,4381,,,,,,,
1991-10-04,O,1991-10-04 04:00:00,1991-10-04 12:30:00,1991-10-04 12:23:00,1991-10-04 12:25:00,4380,,,,,,,
1991-10-07,O,1991-10-07 04:00:00,1991-10-07 12:30:00,1991-10-07 12:23:00,1991-10-07 12:25:00,4379,,,,,,,
1991-10-08,O,1991-10-08 04:00:00,1991-10-08 12:30:00,1991-10-08 12:23:00,1991-10-08 12:25:00,4378,,,,,,,
1991-10-09,O,1991-10-09 04:00:00,1991-10-09 12:30:00,1991-10-09 12:23:00,1991-10-09 12:25:00,4377,,,,,,,
1991-10-10,O,1991-10-10 04:00:00,1991-10-10 12:30:00,1991-10-10 12:23:00,1991-10-10 12:25:00,4376,,,,,,,
1991-10-11,O,1991-10-11 04:00:00,1991-10-11 12:30:00,1991-10-11 12:23:00,1991-10-11 12:25:00,4375,,,,,,,
1991-10-14,O,1991-10-14 04:00:00,1991-10-14 12:30:00,1991-10-14 12:23:00,1991-10-14 12:25:00,4374,,,,,,,
1991-10-15,O,1991-10-15 04:00:00,1991-10-15 12:30:00,1991-10-15 12:23:00,1991-10-15 12:25:00,4373,,,,,,,
