date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Sugar_N0,Sugar_N1,Sugar_N2,Sugar_N3,Sugar_N4,Sugar_N5,Sugar_N6
1990-01-01,X,,,,,,,,,,,,
1990-01-02,O,1990-01-02 03:30:00,1990-01-02 13:00:00,1990-01-02 12:53:00,1990-01-02 12:55:00,25,,199003,199005,199007,199010,199103,199105
1990-01-03,O,1990-01-03 03:30:00,1990-01-03 13:00:00,1990-01-03 12:53:00,1990-01-03 12:55:00,24,,199003,199005,199007,199010,199103,199105
1990-01-04,O,1990-01-04 03:30:00,1990-01-04 13:00:00,1990-01-04 12:53:00,1990-01-04 12:55:00,23,,199003,199005,199007,199010,199103,199105
1990-01-05,O,1990-01-05 03:30:00,1990-01-05 13:00:00,1990-01-05 12:53:00,1990-01-05 12:55:00,22,,199003,199005,199007,199010,199103,199105
1990-01-08,O,1990-01-08 03:30:00,1990-01-08 13:00:00,1990-01-08 12:53:00,1990-01-08 12:55:00,21,,199003,199005,199007,199010,199103,199105
1990-01-09,O,1990-01-09 03:30:00,1990-01-09 13:00:00,1990-01-09 12:53:00,1990-01-09 12:55:00,20,,199003,199005,199007,199010,199103,199105
1990-01-10,O,1990-01-10 03:30:00,1990-01-10 13:00:00,1990-01-10 12:53:00,1990-01-10 12:55:00,19,,199003,199005,199007,199010,199103,199105
1990-01-11,O,1990-01-11 03:30:00,1990-01-11 13:00:00,1990-01-11 12:53:00,1990-01-11 12:55:00,18,,199003,199005,199007,199010,199103,199105
1990-01-12,O,1990-01-12 03:30:00,1990-01-12 13:00:00,1990-01-12 12:53:00,1990-01-12 12:55:00,17,,199003,199005,199007,199010,199103,199105
1990-01-15,O,1990-01-15 03:30:00,1990-01-15 13:00:00,1990-01-15 12:53:00,1990-01-15 12:55:00,16,,199003,199005,199007,199010,199103,199105
1990-01-16,O,1990-01-16 03:30:00,1990-01-16 13:00:00,1990-01-16 12:53:00,1990-01-16 12:55:00,15,,199003,199005,199007,199010,199103,199105
1990-01-17,O,1990-01-17 03:30:00,1990-01-17 13:00:00,1990-01-17 12:53:00,1990-01-17 12:55:00,14,,199003,199005,199007,199010,199103,199105
1990-01-18,O,1990-01-18 03:30:00,1990-01-18 13:00:00,1990-01-18 12:53:00,1990-01-18 12:55:00,13,,199003,199005,199007,199010,199103,199105
1990-01-19,O,1990-01-19 03:30:00,1990-01-19 13:00:00,1990-01-19 12:53:00,1990-01-19 12:55:00,12,,199003,199005,199007,199010,199103,199105
1990-01-22,O,1990-01-22 03:30:00,1990-01-22 13:00:00,1990-01-22 12:53:00,1990-01-22 12:55:00,11,,199003,199005,199007,199010,199103,199105
1990-01-23,O,1990-01-23 03:30:00,1990-01-23 13:00:00,1990-01-23 12:53:00,1990-01-23 12:55:00,10,,199003,199005,199007,199010,199103,199105
1990-01-24,O,1990-01-24 03:30:00,1990-01-24 13:00:00,1990-01-24 12:53:00,1990-01-24 12:55:00,9,,199003,199005,199007,199010,199103,199105
1990-01-25,O,1990-01-25 03:30:00,1990-01-25 13:00:00,1990-01-25 12:53:00,1990-01-25 12:55:00,8,,199003,199005,199007,199010,199103,199105
1990-01-26,O,1990-01-26 03:30:00,1990-01-26 13:00:00,1990-01-26 12:53:00,1990-01-26 12:55:00,7,,199003,199005,199007,199010,199103,199105
